architecture,regularization,seed,condition,probe,split,accuracy,balanced_accuracy,macro_f1
234x234,task_only,11,sum_ce_reuse_c0,l2_fixed250_linear,test,0.5068493150684932,0.49423423798423793,0.4884514326106506
234x234,task_only,11,sum_ce_reuse_c0,l2_fixed250_linear,train,0.9208261617900172,0.92039460802164,0.9325935041326731
234x234,task_only,11,sum_ce_reuse_c0,l2_fixed250_linear,val,0.40476190476190477,0.38886483886483886,0.3972194472194472
234x234,task_only,11,sum_ce_reuse_c0,l2_wholecount_linear,test,0.410958904109589,0.3955509768009768,0.3648428922721875
234x234,task_only,11,sum_ce_reuse_c0,l2_wholecount_linear,train,0.927710843373494,0.9287238393024081,0.9368420250021122
234x234,task_only,11,sum_ce_reuse_c0,l2_wholecount_linear,val,0.40476190476190477,0.38777657527657533,0.3824166291271554
234x234,task_only,11,sum_ce_reuse_c0,l2_wholecount_matched_biasfree,test,0.4383561643835616,0.4188055000555,0.408573647037831
234x234,task_only,11,sum_ce_reuse_c0,l2_wholecount_matched_biasfree,train,0.8537005163511188,0.8518361652594374,0.8589281932478454
234x234,task_only,11,sum_ce_reuse_c0,l2_wholecount_matched_biasfree,val,0.35714285714285715,0.3549362674362675,0.3567611267202919
234x234,task_only,11,mean_ce,l2_fixed250_linear,test,0.6575342465753424,0.646065046065046,0.6489974538077005
234x234,task_only,11,mean_ce,l2_fixed250_linear,train,0.9948364888123924,0.9949115971174795,0.9950482949511822
234x234,task_only,11,mean_ce,l2_fixed250_linear,val,0.6031746031746031,0.6011363636363637,0.6116152222386604
234x234,task_only,11,mean_ce,l2_wholecount_linear,test,0.6027397260273972,0.5881715506715507,0.5873774421089
234x234,task_only,11,mean_ce,l2_wholecount_linear,train,0.9311531841652324,0.9303936574317603,0.9329902688792235
234x234,task_only,11,mean_ce,l2_wholecount_linear,val,0.6190476190476191,0.6042147667147667,0.6106385947338633
234x234,task_only,11,mean_ce,l2_wholecount_matched_biasfree,test,0.4931506849315068,0.48656343656343654,0.48385942587968317
234x234,task_only,11,mean_ce,l2_wholecount_matched_biasfree,train,0.9328743545611016,0.9347021840774153,0.9353729308155295
234x234,task_only,11,mean_ce,l2_wholecount_matched_biasfree,val,0.5555555555555556,0.5663480038480039,0.5491744122700509
234x234,task_only,23,sum_ce_reuse_c0,l2_fixed250_linear,test,0.5068493150684932,0.49849802974802965,0.501253401389271
234x234,task_only,23,sum_ce_reuse_c0,l2_fixed250_linear,train,0.9328743545611016,0.9322007893986682,0.9409330221997448
234x234,task_only,23,sum_ce_reuse_c0,l2_fixed250_linear,val,0.49206349206349204,0.47123617123617123,0.48454763167132087
234x234,task_only,23,sum_ce_reuse_c0,l2_wholecount_linear,test,0.4589041095890411,0.4531739094239094,0.43613202053787264
234x234,task_only,23,sum_ce_reuse_c0,l2_wholecount_linear,train,0.8588640275387264,0.8544079133006607,0.8711539860982893
234x234,task_only,23,sum_ce_reuse_c0,l2_wholecount_linear,val,0.47619047619047616,0.4559583934583935,0.4702224057083391
