epoch,train_ba,val_ba,train_task_loss,train_reg_loss,train_total_loss,val_loss,condition,seed,train_loss,val_mean_loss,val_sum_loss,val_mean_logit_l2,val_sum_logit_l2,val_mean_grad_w_fro,val_sum_grad_w_fro,val_mean_corr_length_logit_l2,val_sum_corr_length_logit_l2,val_mean_corr_length_grad_w_fro,val_sum_corr_length_grad_w_fro
1.0,0.1113007582865223,0.101521164021164,4.419678441013199,0.0,4.419678441013199,2.7304086685180664,sum_ce_reuse_c0,11,,,,,,,,,,,
2.0,0.1024813940407277,0.1220238095238095,3.0042176968874905,0.0,3.0042176968874905,2.449525833129883,sum_ce_reuse_c0,11,,,,,,,,,,,
3.0,0.1145084080528046,0.1289682539682539,2.653770894479013,0.0,2.653770894479013,2.424452543258667,sum_ce_reuse_c0,11,,,,,,,,,,,
4.0,0.1472728414255003,0.1220238095238095,2.4725559898580003,0.0,2.4725559898580003,2.426637887954712,sum_ce_reuse_c0,11,,,,,,,,,,,
5.0,0.1655523125678075,0.1220238095238095,2.332859092653311,0.0,2.332859092653311,2.4268627166748047,sum_ce_reuse_c0,11,,,,,,,,,,,
6.0,0.2116698841327987,0.1220238095238095,2.263237368834819,0.0,2.263237368834819,2.415148973464966,sum_ce_reuse_c0,11,,,,,,,,,,,
7.0,0.2451130537459646,0.1081349206349206,2.188316967319088,0.0,2.188316967319088,2.4072365760803223,sum_ce_reuse_c0,11,,,,,,,,,,,
8.0,0.2613905569528056,0.1289682539682539,2.124403855066086,0.0,2.124403855066086,2.4048476219177246,sum_ce_reuse_c0,11,,,,,,,,,,,
9.0,0.2832738124836734,0.1359126984126984,2.066342581980405,0.0,2.066342581980405,2.3926186561584477,sum_ce_reuse_c0,11,,,,,,,,,,,
10.0,0.2843066781241509,0.1373015873015872,1.9974645470588013,0.0,1.9974645470588013,2.3944315910339355,sum_ce_reuse_c0,11,,,,,,,,,,,
11.0,0.3067864661518517,0.1373015873015872,1.9673780787627173,0.0,1.9673780787627173,2.3835222721099854,sum_ce_reuse_c0,11,,,,,,,,,,,
12.0,0.3106729808716997,0.1422619047619047,1.9227707796375848,0.0,1.9227707796375848,2.379971027374268,sum_ce_reuse_c0,11,,,,,,,,,,,
13.0,0.3228560938631738,0.1373015873015872,1.8695859433041175,0.0,1.8695859433041175,2.389823198318481,sum_ce_reuse_c0,11,,,,,,,,,,,
14.0,0.3471332312800201,0.1303571428571428,1.8245877121894167,0.0,1.8245877121894167,2.398730754852295,sum_ce_reuse_c0,11,,,,,,,,,,,
15.0,0.3621914340795318,0.1220238095238095,1.7829100279307406,0.0,1.7829100279307406,2.417757511138916,sum_ce_reuse_c0,11,,,,,,,,,,,
16.0,0.3814815260008699,0.1567460317460317,1.7444523341068918,0.0,1.7444523341068918,2.401345729827881,sum_ce_reuse_c0,11,,,,,,,,,,,
17.0,0.4030474117375395,0.1567460317460317,1.7102187141493963,0.0,1.7102187141493963,2.3930699825286865,sum_ce_reuse_c0,11,,,,,,,,,,,
18.0,0.4157539644440922,0.1981481481481481,1.672864144722484,0.0,1.672864144722484,2.39025616645813,sum_ce_reuse_c0,11,,,,,,,,,,,
19.0,0.4407533874133187,0.1779100529100529,1.626524595918836,0.0,1.626524595918836,2.371046781539917,sum_ce_reuse_c0,11,,,,,,,,,,,
20.0,0.4662435881880675,0.2106481481481481,1.5900247895163635,0.0,1.5900247895163635,2.3837270736694336,sum_ce_reuse_c0,11,,,,,,,,,,,
21.0,0.477480685109313,0.2086640211640211,1.5472046223031468,0.0,1.5472046223031468,2.373900890350342,sum_ce_reuse_c0,11,,,,,,,,,,,
22.0,0.4845087478664269,0.1898148148148148,1.5114330459584877,0.0,1.5114330459584877,2.4015471935272217,sum_ce_reuse_c0,11,,,,,,,,,,,
23.0,0.5061998300919138,0.2074074074074074,1.482540890394923,0.0,1.482540890394923,2.3914709091186523,sum_ce_reuse_c0,11,,,,,,,,,,,
24.0,0.4953220424811951,0.1955026455026455,1.4358274128268795,0.0,1.4358274128268795,2.383061408996582,sum_ce_reuse_c0,11,,,,,,,,,,,
