model_state,split,readout_scale,n,mean_logit_l2_mean,mean_logit_l2_std,std_logit_l2_mean,std_logit_l2_std,corr_length_logit_l2_mean,corr_length_logit_l2_std,mean_output_w_grad_fro_mean,mean_output_w_grad_fro_std,std_output_w_grad_fro_mean,std_output_w_grad_fro_std,corr_length_output_w_grad_fro_mean,corr_length_output_w_grad_fro_std
initial_shared_weights,val,mean,3,0.051380218317111336,0.013885429529343693,0.08430240799983342,0.018516372898915688,0.08911345803071906,0.05024827183404972,0.3038899352153142,0.07406172301563421,0.483741154273351,0.09233390882292611,0.09310897679436586,0.02883508919156724
initial_shared_weights,val,sum,3,4.8134765625,1.282023169388998,8.18920103708903,1.9060610587980769,0.17156439903232357,0.041900693498529,36.06672732035319,8.657961950717851,65.34824244181316,13.493154187912443,0.18402190342032235,0.02589610790544858
trained_mean_model,test,mean,3,8.567984739939371,1.0478657592094578,1.8417230447133381,0.09464898128248783,0.2600513336253143,0.011730166209060628,3.4247109095255532,0.08540026163281515,1.4437783161799114,0.13631255367369696,-0.08122499206879069,0.03943220757121677
trained_mean_model,test,sum,3,718.4081013997396,87.5720119875259,257.27984110514325,25.77175699805198,0.8098198193266835,0.02011644763404717,223.99032592773438,5.273976182091971,279.4140218098958,4.310455066725118,0.03984277693287632,0.017402007157913887
trained_mean_model,train,mean,3,8.262763182322184,1.1480495546017715,2.4685301780700684,0.12025497836414016,-0.07816237406392697,0.03213801699378537,2.2260703245798745,0.49270599431846146,0.9939312736193339,0.06510312427905293,0.11327046308617901,0.08595342355114298
trained_mean_model,train,sum,3,843.5031534830729,120.08925066973283,345.59410603841144,38.25186821259106,0.5308507871577749,0.05219103019239789,77.2200501759847,39.1119568513868,205.3223622639974,53.882084692257564,0.18346973175633885,0.040349219646078224
trained_mean_model,val,mean,3,7.755998134613037,1.0264854723528982,2.848060687383016,0.05279957895267125,0.1671297368206954,0.020835172992435463,2.9523466428120932,0.05746526790183951,1.3547120889027913,0.04718969223623404,0.09833890727041132,0.03277252591413779
trained_mean_model,val,sum,3,712.1570434570312,94.23017323459518,332.79615275065106,23.0832254127346,0.5630031077851596,0.049660956442882945,210.14399210611978,2.0838954721832628,283.1939290364583,10.631038598157469,0.20921750807362463,0.024546037582245918
trained_sum_model,test,mean,3,0.3811430136362712,0.04395592083282652,0.24127398431301117,0.037919743714278316,0.04048934604717292,0.06484872047548709,1.2732234795888264,0.08870339320296357,0.7882103323936462,0.03847639681724769,0.0797851430513818,0.021537727900064727
trained_sum_model,test,sum,3,31.689276377360027,3.4655256149239793,21.161715825398762,2.905443968787405,0.36787850221710516,0.05296734304492327,80.0183614095052,4.798933395761379,93.55514272054036,6.8500359217114,0.11038012086536224,0.05368514741848655
trained_sum_model,train,mean,3,0.35290677348772687,0.041128694801035356,0.25154312948385876,0.03409612391281517,-0.17444433635917336,0.017808034873898333,1.1308367252349854,0.05738456225056094,0.8254213531812032,0.026328639508930326,-0.12037814562817972,0.020417641408841107
trained_sum_model,train,sum,3,34.966593424479164,4.072616530729345,26.289032618204754,3.5493894022572716,0.11100938321808884,0.007587547013586341,3.8785878817240396,0.48964766101991813,8.385613282521566,1.9447193161885277,0.11882307588736753,0.022060557479613274
trained_sum_model,val,mean,3,0.2622830073038737,0.02361697950695477,0.24257981280485788,0.019825898037847917,0.12002004093542191,0.03820037722059156,0.8022637168566386,0.07806050277282862,0.7199695110321045,0.029723956001185763,0.11335591212437851,0.013629876191110222
trained_sum_model,val,sum,3,24.379353205362957,2.005904516147847,24.37232780456543,1.85545736620926,0.269033467818077,0.019301278157817455,48.09616470336914,5.5745479613440425,74.32167561848958,6.688491313391251,0.08375936855992754,0.055425309578235285
