condition,probe,split,n,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
mean_ce,l2_fixed250_linear,test,3,0.6095890410958904,0.03492479118899166,0.5960102397602397,0.035543716560959934,0.5956456792341664,0.037730373115426555
mean_ce,l2_fixed250_linear,train,3,0.9529546758462422,0.06045096309866596,0.9512202652136628,0.06294781203227845,0.9534403002280349,0.05998018637638536
mean_ce,l2_fixed250_linear,val,3,0.6084656084656085,0.019797129030549934,0.6012245470578804,0.025493503054216025,0.6082346931951513,0.025155488687507426
mean_ce,l2_wholecount_linear,test,3,0.5684931506849314,0.025627790320369426,0.5576354201354201,0.022398590282351017,0.5478074705650124,0.02855535768435503
mean_ce,l2_wholecount_linear,train,3,0.9001721170395869,0.07494506387978397,0.8971345841523343,0.07719463124307609,0.90058142460511,0.07561257672329431
mean_ce,l2_wholecount_linear,val,3,0.5767195767195767,0.044109343916754126,0.5698112073112073,0.04610575465321358,0.5750560964833299,0.04171882452056058
mean_ce,l2_wholecount_matched_biasfree,test,3,0.4748858447488584,0.025830384700878447,0.47130439005439007,0.02231694856948897,0.4708526477137456,0.02319884773661661
mean_ce,l2_wholecount_matched_biasfree,train,3,0.8783706253585772,0.051679715547394346,0.880181694978476,0.05157225569093473,0.8797324332749773,0.05245815275143142
mean_ce,l2_wholecount_matched_biasfree,val,3,0.5291005291005292,0.019797129030549976,0.5355238896905563,0.02185789665990439,0.5289312614293196,0.014491345771128766
sum_ce_reuse_c0,l2_fixed250_linear,test,3,0.4840182648401827,0.032287980876098084,0.47515355015355015,0.030049582396891504,0.47244466651708733,0.03211743499783618
sum_ce_reuse_c0,l2_fixed250_linear,train,3,0.9213998852553069,0.009143647418536559,0.9204867917158697,0.00952702821679785,0.932215714175665,0.007276789395603266
sum_ce_reuse_c0,l2_fixed250_linear,val,3,0.4338624338624338,0.041154362926201164,0.4167849126182459,0.03850702902842161,0.42781929155692405,0.04015450716576752
sum_ce_reuse_c0,l2_wholecount_linear,test,3,0.43607305936073054,0.019640012025211488,0.42247335997335994,0.023675676637087025,0.39566806662700466,0.029891074539823582
sum_ce_reuse_c0,l2_wholecount_linear,train,3,0.825588066551922,0.09978171062448496,0.8181231211897283,0.10820421756910235,0.8349147801970261,0.1013120778892298
sum_ce_reuse_c0,l2_wholecount_linear,val,3,0.4338624338624339,0.030623907150238678,0.4130050505050506,0.030526690884564958,0.41485926217580316,0.03934019107636793
sum_ce_reuse_c0,l2_wholecount_matched_biasfree,test,3,0.41324200913242004,0.03551677896370785,0.4048692048692048,0.03404850700728688,0.3831894999012215,0.03869044658225557
sum_ce_reuse_c0,l2_wholecount_matched_biasfree,train,3,0.8582903040734365,0.02271829015860396,0.8589573599702106,0.022657108389180725,0.8637762297891345,0.021792810038362864
sum_ce_reuse_c0,l2_wholecount_matched_biasfree,val,3,0.373015873015873,0.028246238761987588,0.37360910694244026,0.029859969465069837,0.36823431379682275,0.03174975261847212
