architecture,condition,seed,best_epoch,best_val_balanced_accuracy,best_val_task_ce,test_balanced_accuracy,test_accuracy,test_macro_f1,test_task_ce,test_long_valid_fr_hz,test_long_tail_fr_hz,test_long_tail_valid_ratio,output_weight_energy_long_fraction,output_weight_norm_s6,output_weight_norm_s7
mid_long,wc_only,11,48,0.3753066378066378,1.9698153734207153,0.34825313575313577,0.363013698630137,0.31573082976686345,2.0175565464855874,14.016598819779734,23.018367837401723,1.6422220635236422,0.3365492309148449,0.2770165801048279,0.2589924931526184
mid_long,wc_only,23,45,0.37252886002886004,1.87729811668396,0.3703990453990454,0.3835616438356164,0.36685074734735174,1.898237408023991,16.938243554545743,25.97068012496996,1.5332569779940475,0.35921951177928757,0.25881361961364746,0.2550223767757416
mid_long,wc_only,37,50,0.3824134199134199,1.9445607662200928,0.44721250971250964,0.4589041095890411,0.4434126686293869,1.8004947312890667,17.01057149168481,28.969684485185567,1.703040047734238,0.3332150876145416,0.24928419291973114,0.24180766940116882
mid_long,sat,11,48,0.3753066378066378,1.9698153734207153,0.34825313575313577,0.363013698630137,0.31573082976686345,2.0175565464855874,14.016598819779734,23.018367837401723,1.6422220635236422,0.3365492309148449,0.2770165801048279,0.2589924931526184
mid_long,sat,23,45,0.37252886002886004,1.87729811668396,0.3703990453990454,0.3835616438356164,0.36685074734735174,1.898237408023991,16.938243554545743,25.97068012496996,1.5332569779940475,0.35921951177928757,0.25881361961364746,0.2550223767757416
mid_long,sat,37,50,0.3824134199134199,1.9445607662200928,0.44721250971250964,0.4589041095890411,0.4434126686293869,1.8004947312890667,17.01057149168481,28.969684485185567,1.703040047734238,0.3332150876145416,0.24928419291973114,0.24180766940116882
mid_long,relative_tail,11,42,0.33360389610389607,2.0655150413513184,0.33274087024087023,0.3493150684931507,0.302312891144964,1.9870753222948885,13.701284357347976,23.02743159268033,1.680676861533113,0.3421839798222667,0.26781725883483887,0.25125259160995483
mid_long,relative_tail,23,50,0.3648268398268398,2.0794291496276855,0.34017024642024646,0.3493150684931507,0.3169785495029123,1.9854236628911266,9.275647701095018,15.54379098431009,1.675763405985665,0.3216278133012337,0.23953160643577576,0.2533141076564789
mid_long,relative_tail,37,37,0.3652477152477152,1.9518396854400635,0.38763181263181257,0.3972602739726027,0.3728968253968254,1.9015453482327396,16.53797847833633,30.057060459367598,1.8174567404801245,0.3272442719102782,0.2296634018421173,0.21918465197086334
mid_long,sat_relative_tail,11,43,0.3024170274170274,2.1165740489959717,0.32321706071706074,0.3356164383561644,0.3027287731331849,2.0361280833205133,12.656631638738995,20.534349572561542,1.62241820404338,0.3291614546606878,0.26846063137054443,0.24754750728607178
