architecture,condition,seed,best_epoch,best_val_balanced_accuracy,best_val_task_ce,test_balanced_accuracy,test_accuracy,test_macro_f1,test_task_ce,test_long_valid_fr_hz,test_long_tail_fr_hz,test_long_tail_valid_ratio,output_weight_energy_long_fraction,output_weight_norm_s6,output_weight_norm_s7
mid_long,sat_relative_tail,23,37,0.3160834535834536,2.0882513523101807,0.292982017982018,0.3013698630136986,0.27839402030690025,2.012822925227962,7.116665088832087,12.226181893088887,1.7179650497077588,0.299317185901579,0.19592277705669403,0.21908260881900787
mid_long,sat_relative_tail,37,49,0.3779160654160654,1.95127534866333,0.46262765012765006,0.4794520547945205,0.459624981416102,1.8416301877531287,16.356464388273533,29.187489271123013,1.7844620070856174,0.331506449003406,0.2518118917942047,0.23883701860904694
mid_long,sat_relative_tail_capacity,11,48,0.3232503607503608,2.0870473384857178,0.34180472305472304,0.3493150684931507,0.3224603602311857,2.0424203056178682,12.89242323834769,20.31324887561369,1.5755958751953805,0.3547610694404702,0.2853390872478485,0.2649359107017517
mid_long,sat_relative_tail_capacity,23,40,0.3050625300625301,2.0533595085144043,0.3073419635919636,0.3150684931506849,0.2971867202793355,2.0682998226113516,4.516267474517972,7.881072544374635,1.7450411404642934,0.28714030546353236,0.19517351686954498,0.22570067644119263
mid_long,sat_relative_tail_capacity,37,37,0.3527537277537278,1.9398350715637207,0.42199120324120315,0.4383561643835616,0.4156336409957595,1.8420594489737734,16.230111395121334,29.421773612112474,1.812789382391822,0.3229767868398062,0.22852693498134613,0.21900470554828644
short_mid_long,wc_only,11,45,0.12698412698412698,2.4386487007141113,0.12608225108225107,0.13013698630136986,0.07365694734115787,2.3963016385901463,4.570923664363028,9.25629141346517,2.0250374088789473,0.3450788208319002,0.2155768722295761,0.24788756668567657
short_mid_long,wc_only,23,17,0.17896825396825397,2.2828452587127686,0.19021256521256522,0.21232876712328766,0.1558787119313435,2.2624314451870853,6.133737258985768,12.091049541662375,1.9712369524712356,0.32862285898716476,0.18531788885593414,0.18825849890708923
short_mid_long,wc_only,37,45,0.17361111111111113,2.3686764240264893,0.18065268065268061,0.18493150684931506,0.13850146766813434,2.281139991054796,5.898450566442614,11.039104610842173,1.871526172253727,0.34760537602164765,0.2549155354499817,0.23722639679908752
short_mid_long,sat,11,45,0.1550925925925926,2.3924379348754883,0.13636363636363635,0.14383561643835616,0.08732320983904147,2.378838996364646,4.26103695288586,9.629827994644145,2.259972889491648,0.338194246291588,0.2113211303949356,0.25036361813545227
short_mid_long,sat,23,17,0.176984126984127,2.290473222732544,0.1709054834054834,0.1917808219178082,0.1368580765639589,2.236275218937495,6.207579917321468,11.889174992275208,1.915267326498684,0.32845316640403516,0.18506185710430145,0.19021517038345337
short_mid_long,sat,37,30,0.15416666666666665,2.4171454906463623,0.1185064935064935,0.1232876712328767,0.08646367052164154,2.3914621398873526,4.384234276878412,8.866549936485049,2.0223713826711966,0.3476503395486329,0.23051516711711884,0.2154778242111206
short_mid_long,relative_tail,11,35,0.15416666666666667,2.4105288982391357,0.12608225108225107,0.13013698630136986,0.09290032361117917,2.3841489112540466,3.0496386758812206,7.0288048889346655,2.304799235569646,0.33568029260065924,0.20611976087093353,0.2292155921459198
short_mid_long,relative_tail,23,8,0.15972222222222224,2.3869524002075195,0.10173160173160171,0.1095890410958904,0.08490263756606892,2.393619076846397,2.3865694720565496,5.447042263192227,2.282373225237987,0.3334188216574251,0.17191044986248016,0.17953011393547058
short_mid_long,relative_tail,37,43,0.1492063492063492,2.4132823944091797,0.17261904761904764,0.1780821917808219,0.11755436323583938,2.30429295970969,5.2718608981034425,9.894324853228962,1.8768182705253957,0.36016871147260926,0.2463051974773407,0.24187162518501282
short_mid_long,sat_relative_tail,11,23,0.14583333333333334,2.4145336151123047,0.11255411255411256,0.11643835616438356,0.06667369012501756,2.4139442215227103,3.7286124522705038,8.661104816836612,2.322876117511895,0.32968079152351837,0.19266808032989502,0.2096942514181137
short_mid_long,sat_relative_tail,23,50,0.17559523809523805,2.304459571838379,0.17334748584748583,0.1917808219178082,0.15154006951952156,2.2800970796036393,6.743664994162012,12.37614584406221,1.835225482697648,0.35332355901605855,0.23676474392414093,0.254789799451828
short_mid_long,sat_relative_tail,37,39,0.1263888888888889,2.4646143913269043,0.10984848484848486,0.1095890410958904,0.06158315177923021,2.431657023625831,1.1409637413613556,2.4713839393003054,2.166049498077425,0.33183880621620393,0.2379087209701538,0.2206934541463852
short_mid_long,sat_relative_tail_capacity,11,26,0.13194444444444445,2.429441213607788,0.08874458874458874,0.08904109589041095,0.04338373767586131,2.4746493901291937,2.994225125437849,6.6118721461187215,2.20820809028241,0.3370907783255924,0.1940162032842636,0.2118450403213501
short_mid_long,sat_relative_tail_capacity,23,11,0.1775793650793651,2.311497926712036,0.15205627705627708,0.17123287671232876,0.12170891050201398,2.293617415101561,5.301397961437723,10.475229168812442,1.9759371480898205,0.3339432309031872,0.17634233832359314,0.18333598971366882
short_mid_long,sat_relative_tail_capacity,37,42,0.15555555555555553,2.364891290664673,0.15954878454878454,0.1643835616438356,0.11948709280352282,2.332889625470932,4.468175076524977,8.546571909225118,1.9127656734238854,0.34909368648413835,0.2564156651496887,0.23063893616199493
