architecture,condition,best_val_balanced_accuracy_mean,best_val_balanced_accuracy_std,best_val_task_ce_mean,best_val_task_ce_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_task_ce_mean,test_task_ce_std,test_long_valid_fr_hz_mean,test_long_valid_fr_hz_std,test_long_tail_fr_hz_mean,test_long_tail_fr_hz_std,test_long_tail_valid_ratio_mean,test_long_tail_valid_ratio_std,output_weight_energy_long_fraction_mean,output_weight_energy_long_fraction_std,output_weight_norm_s6_mean,output_weight_norm_s6_std,output_weight_norm_s7_mean,output_weight_norm_s7_std
mid_long,relative_tail,0.3545594837261503,0.01814929126647809,2.032261292139689,0.06999376201057894,0.3535143097643097,0.029779219416217372,0.365296803652968,0.027681177289913553,0.3307294220149006,0.03724698396848379,1.9580147778062515,0.04891093284701165,13.171636845593108,3.660021440449181,22.876094345452675,7.257818193900135,1.724632335999634,0.08042582335122504,0.3303520216779262,0.010624621262607277,0.245670755704244,0.019803940672519258,0.24125045041243234,0.019137321070371395
mid_long,sat,0.3767496392496392,0.005097825114815214,1.9305580854415894,0.04782172100899526,0.3886215636215636,0.051935388237552525,0.4018264840182648,0.0504870876426849,0.37533141524786734,0.06426199724454552,1.9054295619328816,0.108709489983575,15.988471288670096,1.7080745322726776,25.98624414918575,2.975688851288827,1.6261730297506425,0.08602180715600989,0.34299461010289134,0.014149724509448326,0.26170479754606885,0.014090440274303706,0.25194084644317627,0.008997300358162246
mid_long,sat_relative_tail,0.3321388488055155,0.04022882016039622,2.0520335833231607,0.08840084940606031,0.3596089096089096,0.09048859113638662,0.3721461187214612,0.09449407345467978,0.34691592495206236,0.09836434112796998,1.9635270654338681,0.10620696394146928,12.043253705281538,4.650338389884016,20.649340245591148,8.4812383608882,1.708281753612252,0.08145473094641459,0.31999502985522427,0.017945881771184242,0.23873176674048105,0.03799674105341316,0.23515571157137552,0.014585150918460564
mid_long,sat_relative_tail_capacity,0.3270222061888729,0.024068292374288716,2.0267473061879477,0.07712988958618143,0.3570459632959633,0.058824600220533506,0.3675799086757991,0.06364091262450389,0.3450935738354269,0.062382810335397006,1.9842598590676646,0.12382711667121656,11.212934035995666,6.034819619067075,19.205365010700266,10.813001693147568,1.7111421326838319,0.12217629479736197,0.3216260539146029,0.03383061172640253,0.2363465130329132,0.045588560748170304,0.2365470975637436,0.024812346525232523
mid_long,wc_only,0.3767496392496392,0.005097825114815214,1.9305580854415894,0.04782172100899526,0.3886215636215636,0.051935388237552525,0.4018264840182648,0.0504870876426849,0.37533141524786734,0.06426199724454552,1.9054295619328816,0.108709489983575,15.988471288670096,1.7080745322726776,25.98624414918575,2.975688851288827,1.6261730297506425,0.08602180715600989,0.34299461010289134,0.014149724509448326,0.26170479754606885,0.014090440274303706,0.25194084644317627,0.008997300358162246
short_mid_long,relative_tail,0.15436507936507937,0.005260743485540824,2.403587897618612,0.014472396687330337,0.13347763347763347,0.036017721425596075,0.13926940639269406,0.03514795506470469,0.09845244147102916,0.01701920406043525,2.360686982603378,0.04906766116992891,3.5693563486804045,1.5112268188031133,7.456724001785285,2.254310689383366,2.1546635771110094,0.24088221660925735,0.34308927524356453,0.01483438300480601,0.20811180273691812,0.037237357468899106,0.21687244375546774,0.03295270839188699
short_mid_long,sat,0.16208112874779543,0.0129146758391046,2.3666855494181314,0.06714800728365482,0.14192520442520443,0.02663854003293352,0.15296803652968036,0.03514795506470468,0.10354831897488063,0.028850297484461173,2.335525451729831,0.08618464172982578,4.950950382361913,1.0900150165292364,10.1285176411348,1.5718091740444664,2.065870532887176,0.17642169181171674,0.33809925074808533,0.009598939123719865,0.2089660515387853,0.022817989505965152,0.21868553757667542,0.030202251745861677
short_mid_long,sat_relative_tail,0.14927248677248675,0.024782797114890502,2.394535859425863,0.08192877532174822,0.13191669441669443,0.03590561187692906,0.13926940639269406,0.045604987112872544,0.09326563714125645,0.050531282359734635,2.3752327749173934,0.08286456559778546,3.8710803959312905,2.8040663630274003,7.836211533399709,5.003640054430389,2.108050366095656,0.24894519455427033,0.3382810522519269,0.013071802253904039,0.22244718174139658,0.02579580065684766,0.22839250167210898,0.023512945641024508
short_mid_long,sat_relative_tail_capacity,0.15502645502645504,0.02282206072786367,2.368610143661499,0.05905952193890851,0.13344988344988346,0.038896747269492334,0.1415525114155251,0.04560498711287255,0.09485991366046603,0.04459351566057368,2.367052143567229,0.09522842132268718,4.254599387800183,1.1683203990792197,8.544557741385427,1.9316792989141043,2.0323036372653718,0.15557776591237163,0.3400425652376393,0.007994927176540885,0.20892473558584848,0.04206700213695088,0.2086066553990046,0.02381716898273718
short_mid_long,wc_only,0.15985449735449736,0.028592318568313957,2.3633901278177896,0.07803612516374087,0.16564916564916563,0.03459773684012753,0.17579908675799086,0.04185000634662867,0.12267904231354525,0.04333435705254129,2.313291024944009,0.07249533712972352,5.534370496597137,0.842622279451729,10.79548185532324,1.432995968801032,1.9559335112013034,0.07789140792525068,0.34043568528023754,0.010307910508655167,0.21860343217849731,0.0348973946262582,0.2244574874639511,0.03179921721116011
