architecture,condition,seed,kappa,median_raw_grad_ratio,calibration_batches,active_calibration_batches,inactive_calibration_batches,calibration_status
mid_long,wc_only,11,0.0,0.0,0,0,0,legacy
mid_long,wc_only,23,0.0,0.0,0,0,0,legacy
mid_long,wc_only,37,0.0,0.0,0,0,0,legacy
mid_long,sat,11,1.0,0.0,5,0,5,inactive_regularizer_unit_scale
mid_long,sat,23,1.0,0.0,5,0,5,inactive_regularizer_unit_scale
mid_long,sat,37,1.0,0.0,5,0,5,inactive_regularizer_unit_scale
mid_long,relative_tail,11,5.953249425166066e-11,839877458.9997169,5,0,0,legacy
mid_long,relative_tail,23,3.287265900000393e-05,1521.0208580934698,5,0,0,legacy
mid_long,relative_tail,37,3.232396178001896e-11,1546840091.578981,5,0,0,legacy
mid_long,sat_relative_tail,11,8.834724260853028e-10,56594861.96026711,5,0,0,legacy
mid_long,sat_relative_tail,23,4.800502273268839e-05,1041.5576777959352,5,0,0,legacy
mid_long,sat_relative_tail,37,2.419881226578721e-11,2066217112.2626152,5,0,0,legacy
mid_long,sat_relative_tail_capacity,11,9.33915741090671e-10,53538020.401720226,5,0,0,legacy
mid_long,sat_relative_tail_capacity,23,2.488008930533211e-05,2009.6390887666303,5,0,0,legacy
mid_long,sat_relative_tail_capacity,37,2.468336993974831e-10,202565533.4828638,5,0,0,legacy
short_mid_long,wc_only,11,0.0,0.0,0,0,0,legacy
short_mid_long,wc_only,23,0.0,0.0,0,0,0,legacy
short_mid_long,wc_only,37,0.0,0.0,0,0,0,legacy
short_mid_long,sat,11,1.0,0.0,5,0,5,inactive_regularizer_unit_scale
short_mid_long,sat,23,1.0,0.0,5,0,5,inactive_regularizer_unit_scale
short_mid_long,sat,37,1.0,0.0,5,0,5,inactive_regularizer_unit_scale
short_mid_long,relative_tail,11,2.78112349315042e-10,179783458.4589434,5,0,0,legacy
short_mid_long,relative_tail,23,1.1010957763640715e-05,4540.931050076771,5,0,0,legacy
short_mid_long,relative_tail,37,1.0788970416412019e-11,4634362508.20938,5,0,0,legacy
short_mid_long,sat_relative_tail,11,1.95126985239272e-12,25624338908.67946,5,0,0,legacy
short_mid_long,sat_relative_tail,23,2.2570801661727136e-10,221525140.08744323,5,0,0,legacy
short_mid_long,sat_relative_tail,37,2.1783194656806377e-08,2295347.4358444023,5,0,0,legacy
short_mid_long,sat_relative_tail_capacity,11,1.5213824651035347e-10,328648457.22142166,5,0,0,legacy
short_mid_long,sat_relative_tail_capacity,23,5.3273233916199605e-11,938557626.8685228,5,0,0,legacy
short_mid_long,sat_relative_tail_capacity,37,1.2675811377753825e-11,3944520670.9016275,5,0,0,legacy
