variant,l1_init,topology,fusion,architecture_case,layer,support,fixed250_ba_count,fixed250_ba_mean,fixed250_ba_std,whole_ba_count,whole_ba_mean,whole_ba_std,temporal_gap_count,temporal_gap_mean,temporal_gap_std
original,dynamics_only,dense,off,B,l1,valid,3,0.6181011186525893,0.02990712185387866,3,0.448720710117769,0.01814428558626733,3,0.1693804085348204,0.035781931508405376
original,dynamics_only,dense,off,B,l1,window,3,0.635106104407575,0.018085217991659186,3,0.44238734440940325,0.007509592898715097,3,0.19271875999817176,0.02024807283743441
original,dynamics_only,dense,off,B,rsnn,valid,3,0.5115610288404406,0.006362682703697423,3,0.43799129111629115,0.037721919189891207,3,0.07356973772414947,0.03619694119708014
original,dynamics_only,dense,off,B,rsnn,window,3,0.43478249691484977,0.036256654793109334,3,0.36612352788823377,0.01132310534624195,3,0.06865896902661604,0.026495685499197955
original,dynamics_only,dense,off,B,readout,valid,3,0.5115610288404406,0.006362682703697423,3,0.43799129111629115,0.037721919189891207,3,0.07356973772414947,0.03619694119708014
original,dynamics_only,dense,off,B,readout,window,3,0.43478249691484977,0.036256654793109334,3,0.36612352788823377,0.01132310534624195,3,0.06865896902661604,0.026495685499197955
original,dynamics_only,dense,on,D,l1,valid,3,0.6380371398753751,0.01277251250006816,3,0.44460874773374776,0.04807571069660451,3,0.1934283921416274,0.04201396937704581
original,dynamics_only,dense,on,D,l1,window,3,0.6534111857641268,0.004788220571705305,3,0.43722919237625124,0.023007911284962313,3,0.21618199338787566,0.01827959107480979
original,dynamics_only,dense,on,D,rsnn,valid,3,0.5240449365449366,0.06125603913514573,3,0.39360226510961804,0.05990422852158197,3,0.13044267143531849,0.00850700128227508
original,dynamics_only,dense,on,D,rsnn,window,3,0.4752102948794125,0.07070918643287794,3,0.31687096264302145,0.04173217902953883,3,0.15833933223639104,0.04187072630601287
original,dynamics_only,dense,on,D,readout,valid,3,0.5397081676493442,0.03737633247894547,3,0.4674390016301781,0.050753569754165284,3,0.07226916601916604,0.019316172492810344
original,dynamics_only,dense,on,D,readout,window,3,0.4974069503481268,0.04294011030761859,3,0.42200545233633474,0.038131552276103466,3,0.07540149801179212,0.00845376930944367
original,dynamics_only,diagonal,off,B,l1,valid,3,0.6297661284793638,0.040906894425411615,3,0.491573493227905,0.03772578249017889,3,0.1381926352514588,0.017937815852354634
original,dynamics_only,diagonal,off,B,l1,window,3,0.6283355329311212,0.0539313248610564,3,0.48080855691149815,0.03692988906642836,3,0.14752697601962303,0.017958287224880926
original,dynamics_only,diagonal,off,B,rsnn,valid,3,0.5459160324969149,0.012209298651573455,3,0.473685335633865,0.02017690691472403,3,0.07223069686304982,0.03054618199626868
original,dynamics_only,diagonal,off,B,rsnn,window,3,0.507586898395722,0.02032228423792701,3,0.43106193915017443,0.013922034817596152,3,0.07652495924554753,0.033192458303791555
original,dynamics_only,diagonal,off,B,readout,valid,3,0.5459160324969149,0.012209298651573455,3,0.473685335633865,0.02017690691472403,3,0.07223069686304982,0.03054618199626868
original,dynamics_only,diagonal,off,B,readout,window,3,0.507586898395722,0.02032228423792701,3,0.43106193915017443,0.013922034817596152,3,0.07652495924554753,0.033192458303791555
original,dynamics_only,diagonal,on,D,l1,valid,3,0.6241381099836981,0.028517259159093145,3,0.40649695484254306,0.029199740988619573,3,0.21764115514115512,0.03202216601035058
original,dynamics_only,diagonal,on,D,l1,window,3,0.6128516499840029,0.021524116962597834,3,0.40819764385940854,0.04339349682335022,3,0.20465400612459436,0.05978097354485528
original,dynamics_only,diagonal,on,D,rsnn,valid,3,0.6268655636302695,0.024291639327184103,3,0.4866723894297424,0.042363916836054755,3,0.14019317420052715,0.026530002995216736
original,dynamics_only,diagonal,on,D,rsnn,window,3,0.61568836936484,0.007989952292019481,3,0.4770874754330637,0.057363174051383754,3,0.1386008939317763,0.05081401697210945
original,dynamics_only,diagonal,on,D,readout,valid,3,0.5197049206240383,0.030287892320694107,3,0.4665599242805125,0.019523033595945403,3,0.05314499634352569,0.02127500038846109
original,dynamics_only,diagonal,on,D,readout,window,3,0.4728924330027271,0.04222381139730665,3,0.35123410766793123,0.03329299039308302,3,0.12165832533479587,0.00966607351742304
original,dynamics_only,ff,off,A,l1,valid,3,0.6556279708853238,0.024143617296774667,3,0.509885240032299,0.028271525947965927,3,0.14574273085302494,0.05238779144578099
original,dynamics_only,ff,off,A,l1,window,3,0.6544763243292655,0.025514574629047583,3,0.47452199216905094,0.03385778068491042,3,0.17995433216021453,0.05936778553758197
original,dynamics_only,ff,off,A,rsnn,valid,3,0.6401302809391045,0.01064556043488608,3,0.5440886999710529,0.0165757661633647,3,0.09604158096805156,0.02710187152832937
original,dynamics_only,ff,off,A,rsnn,window,3,0.6539442787604552,0.024336470474404185,3,0.5102232734585675,0.02677880559922107,3,0.1437210053018876,0.05055453814439492
original,dynamics_only,ff,off,A,readout,valid,3,0.6401302809391045,0.01064556043488608,3,0.5440886999710529,0.0165757661633647,3,0.09604158096805156,0.02710187152832937
original,dynamics_only,ff,off,A,readout,window,3,0.6539442787604552,0.024336470474404185,3,0.5102232734585675,0.02677880559922107,3,0.1437210053018876,0.05055453814439492
original,dynamics_only,ff,on,C,l1,valid,3,0.6559317248655484,0.01317710205544044,3,0.4445773249082072,0.04487545223751816,3,0.21135439995734115,0.043314551972667995
original,dynamics_only,ff,on,C,l1,window,3,0.6465829105534988,0.007955973271188813,3,0.4166805688864512,0.04419487355392139,3,0.2299023416670476,0.05147515838289901
original,dynamics_only,ff,on,C,rsnn,valid,3,0.656772475890123,0.026625383965085195,3,0.5184819061657296,0.006423777777830284,3,0.13829056972439327,0.021997655882247363
original,dynamics_only,ff,on,C,rsnn,window,3,0.6821636900681018,0.0256340949685975,3,0.5002115327482973,0.02008471104668109,3,0.18195215731980444,0.01793209156598126
original,dynamics_only,ff,on,C,readout,valid,3,0.5842794460441519,0.06623178853770578,3,0.517996852004205,0.015873148317312007,3,0.06628259403994696,0.05206549211984156
original,dynamics_only,ff,on,C,readout,window,3,0.632884605862547,0.055573334368546404,3,0.5203463271477977,0.033720822773278654,3,0.1125382787147493,0.04479374087287721
original,pretrained_frozen,dense,off,B,l1,valid,3,0.638188207489678,0.028817801455853057,3,0.4766412713103889,0.016232047248011753,3,0.16154693617928914,0.01462858066869837
original,pretrained_frozen,dense,off,B,l1,window,3,0.6397252121516828,0.025577252569375868,3,0.47092022220698687,0.017374675946193855,3,0.16880498994469587,0.009001101332829473
original,pretrained_frozen,dense,off,B,rsnn,valid,3,0.4917805982144217,0.030641447648654133,3,0.40416842824931054,0.05827957824947461,3,0.08761216996511118,0.05203383619083227
original,pretrained_frozen,dense,off,B,rsnn,window,3,0.39114395272483504,0.02800158038786569,3,0.352384087862029,0.02898838613472936,3,0.03875986486280605,0.025034908805198007
original,pretrained_frozen,dense,off,B,readout,valid,3,0.4917805982144217,0.030641447648654133,3,0.40416842824931054,0.05827957824947461,3,0.08761216996511118,0.05203383619083227
original,pretrained_frozen,dense,off,B,readout,window,3,0.39114395272483504,0.02800158038786569,3,0.352384087862029,0.02898838613472936,3,0.03875986486280605,0.025034908805198007
original,pretrained_frozen,dense,on,D,l1,valid,3,0.638188207489678,0.028817801455853057,3,0.4766412713103889,0.016232047248011753,3,0.16154693617928914,0.01462858066869837
original,pretrained_frozen,dense,on,D,l1,window,3,0.6397252121516828,0.025577252569375868,3,0.47092022220698687,0.017374675946193855,3,0.16880498994469587,0.009001101332829473
original,pretrained_frozen,dense,on,D,rsnn,valid,3,0.5051008291817115,0.019343344785858498,3,0.39092737328031446,0.05769736781446055,3,0.114173455901397,0.051621896874992475
original,pretrained_frozen,dense,on,D,rsnn,window,3,0.402240399850694,0.01087895515746018,3,0.31397801544860365,0.014448105143360803,3,0.08826238440209026,0.019881650214242694
original,pretrained_frozen,dense,on,D,readout,valid,3,0.5045387890976126,0.03443063963454616,3,0.43434700511906393,0.039596049969429344,3,0.07019178397854874,0.022212414916399276
original,pretrained_frozen,dense,on,D,readout,window,3,0.44146970268293795,0.01746081640791798,3,0.3828698942669531,0.033030354147966116,3,0.05859980841598483,0.015576641310815492
original,pretrained_frozen,diagonal,off,B,l1,valid,3,0.638188207489678,0.028817801455853057,3,0.4766412713103889,0.016232047248011753,3,0.16154693617928914,0.01462858066869837
original,pretrained_frozen,diagonal,off,B,l1,window,3,0.6397252121516828,0.025577252569375868,3,0.47092022220698687,0.017374675946193855,3,0.16880498994469587,0.009001101332829473
original,pretrained_frozen,diagonal,off,B,rsnn,valid,3,0.6053002689032101,0.0466660840839877,3,0.49420558335999515,0.018250613175348887,3,0.11109468554321496,0.032050446746549104
original,pretrained_frozen,diagonal,off,B,rsnn,window,3,0.5453299015799017,0.04379926179260711,3,0.49458041958041954,0.026193453702488715,3,0.05074948199948209,0.024067963324191567
original,pretrained_frozen,diagonal,off,B,readout,valid,3,0.6053002689032101,0.0466660840839877,3,0.49420558335999515,0.018250613175348887,3,0.11109468554321496,0.032050446746549104
original,pretrained_frozen,diagonal,off,B,readout,window,3,0.5453299015799017,0.04379926179260711,3,0.49458041958041954,0.026193453702488715,3,0.05074948199948209,0.024067963324191567
original,pretrained_frozen,diagonal,on,D,l1,valid,3,0.638188207489678,0.028817801455853057,3,0.4766412713103889,0.016232047248011753,3,0.16154693617928914,0.01462858066869837
original,pretrained_frozen,diagonal,on,D,l1,window,3,0.6397252121516828,0.025577252569375868,3,0.47092022220698687,0.017374675946193855,3,0.16880498994469587,0.009001101332829473
original,pretrained_frozen,diagonal,on,D,rsnn,valid,3,0.6358670604994136,0.010619362425410192,3,0.48591728940993645,0.012364757778608872,3,0.14994977108947702,0.015487513542037486
original,pretrained_frozen,diagonal,on,D,rsnn,window,3,0.6165641616009263,0.02339401344164731,3,0.5076564571049865,0.02071107442607028,3,0.10890770449593988,0.04159279773357829
original,pretrained_frozen,diagonal,on,D,readout,valid,3,0.5452348237274708,0.026357761911266885,3,0.4772638717491659,0.04094758575381754,3,0.06797095197830492,0.03364443648694528
original,pretrained_frozen,diagonal,on,D,readout,window,3,0.5076235583588525,0.01935997500396782,3,0.4047118050794521,0.019840886646544105,3,0.10291175327940033,0.02130716833253846
original,pretrained_frozen,ff,off,A,l1,valid,3,0.638188207489678,0.028817801455853057,3,0.4766412713103889,0.016232047248011753,3,0.16154693617928914,0.01462858066869837
original,pretrained_frozen,ff,off,A,l1,window,3,0.6397252121516828,0.025577252569375868,3,0.47092022220698687,0.017374675946193855,3,0.16880498994469587,0.009001101332829473
original,pretrained_frozen,ff,off,A,rsnn,valid,3,0.6213827090665326,0.016540094105086917,3,0.5263180447003976,0.029072259011493736,3,0.09506466436613502,0.015584408347282802
original,pretrained_frozen,ff,off,A,rsnn,window,3,0.633576860231272,0.06400599733822093,3,0.5076363179304355,0.020280836836638297,3,0.1259405423008365,0.044241035234448764
original,pretrained_frozen,ff,off,A,readout,valid,3,0.6213827090665326,0.016540094105086917,3,0.5263180447003976,0.029072259011493736,3,0.09506466436613502,0.015584408347282802
original,pretrained_frozen,ff,off,A,readout,window,3,0.633576860231272,0.06400599733822093,3,0.5076363179304355,0.020280836836638297,3,0.1259405423008365,0.044241035234448764
original,pretrained_frozen,ff,on,C,l1,valid,3,0.638188207489678,0.028817801455853057,3,0.4766412713103889,0.016232047248011753,3,0.16154693617928914,0.01462858066869837
original,pretrained_frozen,ff,on,C,l1,window,3,0.6397252121516828,0.025577252569375868,3,0.47092022220698687,0.017374675946193855,3,0.16880498994469587,0.009001101332829473
original,pretrained_frozen,ff,on,C,rsnn,valid,3,0.6271979314258727,0.019973695796686414,3,0.49256488337370685,0.03846903196250282,3,0.13463304805216572,0.018913043513730236
original,pretrained_frozen,ff,on,C,rsnn,window,3,0.6426945263342322,0.036045893503883375,3,0.5024113209774975,0.011340166549179858,3,0.14028320535673475,0.04520287752394912
