variant,l1_init,topology,fusion,architecture_case,layer,state,support,aggregation,count,mean,std
original,dynamics_only,ff,off,A,l1,pre_reset,valid,whole_mean,3,0.525097315538492,0.03705237430805079
original,dynamics_only,ff,off,A,l1,pre_reset,valid,fixed250_ordered_mean,3,0.6974168056888645,0.02250722089051196
original,dynamics_only,ff,off,A,l1,pre_reset,window,whole_mean,3,0.5840887666255313,0.04910060106995176
original,dynamics_only,ff,off,A,l1,pre_reset,window,fixed250_ordered_mean,3,0.6789108563005621,0.04323212018249783
original,dynamics_only,ff,off,A,l1,communication,valid,whole_mean,3,0.4781809897618721,0.03357625436308886
original,dynamics_only,ff,off,A,l1,communication,valid,fixed250_ordered_mean,3,0.6411598545789722,0.034457741737125076
original,dynamics_only,ff,off,A,l1,communication,valid,whole_count,3,0.509885240032299,0.028271525947965927
original,dynamics_only,ff,off,A,l1,communication,valid,fixed250_count,3,0.6556279708853238,0.024143617296774667
original,dynamics_only,ff,off,A,l1,communication,window,whole_mean,3,0.47452199216905094,0.03385778068491042
original,dynamics_only,ff,off,A,l1,communication,window,fixed250_ordered_mean,3,0.6544763243292655,0.025514574629047583
original,dynamics_only,ff,off,A,l1,communication,window,whole_count,3,0.47452199216905094,0.03385778068491042
original,dynamics_only,ff,off,A,l1,communication,window,fixed250_count,3,0.6544763243292655,0.025514574629047583
original,dynamics_only,ff,off,A,rsnn,pre_reset,valid,whole_mean,3,0.42860895912366503,0.006437356615435221
original,dynamics_only,ff,off,A,rsnn,pre_reset,valid,fixed250_ordered_mean,3,0.6025310609869433,0.038471353571146144
original,dynamics_only,ff,off,A,rsnn,pre_reset,window,whole_mean,3,0.4433808294102411,0.027569961158046326
original,dynamics_only,ff,off,A,rsnn,pre_reset,window,fixed250_ordered_mean,3,0.6286712334506452,0.02513163560928604
original,dynamics_only,ff,off,A,rsnn,communication,valid,whole_mean,3,0.5033196786873257,0.023204638125864343
original,dynamics_only,ff,off,A,rsnn,communication,valid,fixed250_ordered_mean,3,0.6418871501592089,0.01302214030819005
original,dynamics_only,ff,off,A,rsnn,communication,valid,whole_count,3,0.5440886999710529,0.0165757661633647
original,dynamics_only,ff,off,A,rsnn,communication,valid,fixed250_count,3,0.6401302809391045,0.01064556043488608
original,dynamics_only,ff,off,A,rsnn,communication,window,whole_mean,3,0.5102232734585675,0.02677880559922107
original,dynamics_only,ff,off,A,rsnn,communication,window,fixed250_ordered_mean,3,0.6539442787604552,0.024336470474404185
original,dynamics_only,ff,off,A,rsnn,communication,window,whole_count,3,0.5102232734585675,0.02677880559922107
original,dynamics_only,ff,off,A,rsnn,communication,window,fixed250_count,3,0.6539442787604552,0.024336470474404185
original,dynamics_only,ff,off,A,readout,pre_reset,valid,whole_mean,3,0.42860895912366503,0.006437356615435221
original,dynamics_only,ff,off,A,readout,pre_reset,valid,fixed250_ordered_mean,3,0.6025310609869433,0.038471353571146144
original,dynamics_only,ff,off,A,readout,pre_reset,window,whole_mean,3,0.4433808294102411,0.027569961158046326
original,dynamics_only,ff,off,A,readout,pre_reset,window,fixed250_ordered_mean,3,0.6286712334506452,0.02513163560928604
original,dynamics_only,ff,off,A,readout,communication,valid,whole_mean,3,0.5033196786873257,0.023204638125864343
original,dynamics_only,ff,off,A,readout,communication,valid,fixed250_ordered_mean,3,0.6418871501592089,0.01302214030819005
original,dynamics_only,ff,off,A,readout,communication,valid,whole_count,3,0.5440886999710529,0.0165757661633647
original,dynamics_only,ff,off,A,readout,communication,valid,fixed250_count,3,0.6401302809391045,0.01064556043488608
original,dynamics_only,ff,off,A,readout,communication,window,whole_mean,3,0.5102232734585675,0.02677880559922107
original,dynamics_only,ff,off,A,readout,communication,window,fixed250_ordered_mean,3,0.6539442787604552,0.024336470474404185
original,dynamics_only,ff,off,A,readout,communication,window,whole_count,3,0.5102232734585675,0.02677880559922107
original,dynamics_only,ff,off,A,readout,communication,window,fixed250_count,3,0.6539442787604552,0.024336470474404185
postencode_mask,dynamics_only,ff,off,A,l1,pre_reset,valid,whole_mean,3,0.49776574188338896,0.01899868929177327
postencode_mask,dynamics_only,ff,off,A,l1,pre_reset,valid,fixed250_ordered_mean,3,0.7379201612657496,0.019726246821839356
postencode_mask,dynamics_only,ff,off,A,l1,pre_reset,window,whole_mean,3,0.5033772395904749,0.0166842589391936
postencode_mask,dynamics_only,ff,off,A,l1,pre_reset,window,fixed250_ordered_mean,3,0.7426200637597696,0.01267598585794951
postencode_mask,dynamics_only,ff,off,A,l1,communication,valid,whole_mean,3,0.49974599882688114,0.018274381104202313
postencode_mask,dynamics_only,ff,off,A,l1,communication,valid,fixed250_ordered_mean,3,0.6706203246644424,0.024931539169988443
postencode_mask,dynamics_only,ff,off,A,l1,communication,valid,whole_count,3,0.5567494324847265,0.033273374514553075
postencode_mask,dynamics_only,ff,off,A,l1,communication,valid,fixed250_count,3,0.6870984543778662,0.005055092143861894
postencode_mask,dynamics_only,ff,off,A,l1,communication,window,whole_mean,3,0.556108406843701,0.030082365425743104
postencode_mask,dynamics_only,ff,off,A,l1,communication,window,fixed250_ordered_mean,3,0.6896709363621129,0.0075334691303691826
postencode_mask,dynamics_only,ff,off,A,l1,communication,window,whole_count,3,0.556108406843701,0.030082365425743104
postencode_mask,dynamics_only,ff,off,A,l1,communication,window,fixed250_count,3,0.6896709363621129,0.0075334691303691826
postencode_mask,dynamics_only,ff,off,A,rsnn,pre_reset,valid,whole_mean,3,0.5320417599829365,0.029545641150701484
postencode_mask,dynamics_only,ff,off,A,rsnn,pre_reset,valid,fixed250_ordered_mean,3,0.6342124582933407,0.03427942183904565
postencode_mask,dynamics_only,ff,off,A,rsnn,pre_reset,window,whole_mean,3,0.533474117113823,0.035299988982157034
postencode_mask,dynamics_only,ff,off,A,rsnn,pre_reset,window,fixed250_ordered_mean,3,0.6081824085500557,0.038803956228119794
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,valid,whole_mean,3,0.5524837839176074,0.05286600065548411
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,valid,fixed250_ordered_mean,3,0.6501642556789616,0.030757842359834697
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,valid,whole_count,3,0.5911171004921005,0.04729903725519891
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,valid,fixed250_count,3,0.6672937900879078,0.01750765978246407
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,window,whole_mean,3,0.5292813599798893,0.04918450346584216
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,window,fixed250_ordered_mean,3,0.6598561025031614,0.030680487766382263
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,window,whole_count,3,0.5292813599798893,0.04918450346584216
postencode_mask,dynamics_only,ff,off,A,rsnn,communication,window,fixed250_count,3,0.6598561025031614,0.030680487766382263
postencode_mask,dynamics_only,ff,off,A,readout,pre_reset,valid,whole_mean,3,0.5320417599829365,0.029545641150701484
postencode_mask,dynamics_only,ff,off,A,readout,pre_reset,valid,fixed250_ordered_mean,3,0.6342124582933407,0.03427942183904565
postencode_mask,dynamics_only,ff,off,A,readout,pre_reset,window,whole_mean,3,0.533474117113823,0.035299988982157034
postencode_mask,dynamics_only,ff,off,A,readout,pre_reset,window,fixed250_ordered_mean,3,0.6081824085500557,0.038803956228119794
postencode_mask,dynamics_only,ff,off,A,readout,communication,valid,whole_mean,3,0.5524837839176074,0.05286600065548411
postencode_mask,dynamics_only,ff,off,A,readout,communication,valid,fixed250_ordered_mean,3,0.6501642556789616,0.030757842359834697
postencode_mask,dynamics_only,ff,off,A,readout,communication,valid,whole_count,3,0.5911171004921005,0.04729903725519891
postencode_mask,dynamics_only,ff,off,A,readout,communication,valid,fixed250_count,3,0.6672937900879078,0.01750765978246407
postencode_mask,dynamics_only,ff,off,A,readout,communication,window,whole_mean,3,0.5292813599798893,0.04918450346584216
postencode_mask,dynamics_only,ff,off,A,readout,communication,window,fixed250_ordered_mean,3,0.6598561025031614,0.030680487766382263
postencode_mask,dynamics_only,ff,off,A,readout,communication,window,whole_count,3,0.5292813599798893,0.04918450346584216
postencode_mask,dynamics_only,ff,off,A,readout,communication,window,fixed250_count,3,0.6598561025031614,0.030680487766382263
original,dynamics_only,ff,on,C,l1,pre_reset,valid,whole_mean,3,0.5147880578027638,0.014984856166124681
original,dynamics_only,ff,on,C,l1,pre_reset,valid,fixed250_ordered_mean,3,0.6893158108231637,0.014793151648031723
original,dynamics_only,ff,on,C,l1,pre_reset,window,whole_mean,3,0.5133075190060484,0.04314210586592936
original,dynamics_only,ff,on,C,l1,pre_reset,window,fixed250_ordered_mean,3,0.6404346538537714,0.007737127163999427
original,dynamics_only,ff,on,C,l1,communication,valid,whole_mean,3,0.4043213050565992,0.04687215678913971
original,dynamics_only,ff,on,C,l1,communication,valid,fixed250_ordered_mean,3,0.603445131937779,0.014698768525623716
original,dynamics_only,ff,on,C,l1,communication,valid,whole_count,3,0.4445773249082072,0.04487545223751816
original,dynamics_only,ff,on,C,l1,communication,valid,fixed250_count,3,0.6559317248655484,0.01317710205544044
original,dynamics_only,ff,on,C,l1,communication,window,whole_mean,3,0.4166805688864512,0.04419487355392139
original,dynamics_only,ff,on,C,l1,communication,window,fixed250_ordered_mean,3,0.6465829105534988,0.007955973271188813
original,dynamics_only,ff,on,C,l1,communication,window,whole_count,3,0.4166805688864512,0.04419487355392139
original,dynamics_only,ff,on,C,l1,communication,window,fixed250_count,3,0.6465829105534988,0.007955973271188813
