variant,l1_init,topology,fusion,architecture_case,seed,best_epoch,stopped_epoch,native_train_ba,native_val_ba,native_test_ba,window_test_ba,output_lif_test_ba,parameter_count,trainable_parameter_count,recurrent_param_count,l1_source_available,l1_relative_frobenius_drift,l1_cosine_similarity_to_source,mean_abs_external_input,mean_abs_recurrent_input,recurrent_to_external_abs_ratio,recurrent_weight_norm,l1_pre_valid_fixed250_ba,l1_pre_valid_whole_ba,l1_pre_valid_temporal_gap,l1_comm_valid_fixed250_ba,l1_comm_valid_whole_ba,l1_comm_valid_temporal_gap,l1_comm_window_fixed250_ba,l1_comm_window_whole_ba,l1_comm_window_temporal_gap,rsnn_pre_valid_fixed250_ba,rsnn_pre_valid_whole_ba,rsnn_pre_valid_temporal_gap,rsnn_comm_valid_fixed250_ba,rsnn_comm_valid_whole_ba,rsnn_comm_valid_temporal_gap,rsnn_comm_window_fixed250_ba,rsnn_comm_window_whole_ba,rsnn_comm_window_temporal_gap,readout_pre_valid_fixed250_ba,readout_pre_valid_whole_ba,readout_pre_valid_temporal_gap,readout_comm_valid_fixed250_ba,readout_comm_valid_whole_ba,readout_comm_valid_temporal_gap,readout_comm_window_fixed250_ba,readout_comm_window_whole_ba,readout_comm_window_temporal_gap
original,dynamics_only,dense,off,B,11,99,100,0.756222890569992,0.47769938394938394,0.4193920254582019,0.2333613282142694,0.32803016019927783,38144,38144,16384,False,,,0.2458648681640625,0.34194880723953247,1.390799790929684,6.994437217712402,0.6909446558343616,0.4780741521550345,0.21287050367932708,0.5844919786096258,0.4449767756753051,0.13951520293432068,0.618026418026418,0.4381140305772659,0.1799123874491521,0.4821748308880662,0.4165843959961606,0.06559043489190558,0.5064159696512637,0.4577231591937474,0.04869281045751628,0.3955295317427671,0.357025572466749,0.03850395927601813,0.4821748308880662,0.4165843959961606,0.06559043489190558,0.5064159696512637,0.4577231591937474,0.04869281045751628,0.3955295317427671,0.357025572466749,0.03850395927601813
original,dynamics_only,dense,off,B,23,68,98,0.6754847802375324,0.48479402541902544,0.36948186617304263,0.20956168014991547,0.30032651172357056,38144,38144,16384,False,,,0.2120034545660019,0.3266158401966095,1.5406156511233922,6.788125514984131,0.689167695050048,0.4896490356049179,0.19951865944513014,0.6280314456785047,0.468444912930207,0.15958653274829765,0.6332397790118378,0.4510583778966132,0.18218140111522463,0.4938075609031491,0.371860288404406,0.1219472724987431,0.5095915318341789,0.3944960064445359,0.11509552538964302,0.4670164598473421,0.3788047328488506,0.0882117269984915,0.4938075609031491,0.371860288404406,0.1219472724987431,0.5095915318341789,0.3944960064445359,0.11509552538964302,0.4670164598473421,0.3788047328488506,0.0882117269984915
original,dynamics_only,dense,off,B,37,71,100,0.678258082173295,0.4388479575979576,0.36741710087298324,0.253812874217286,0.29489350518762286,38144,38144,16384,False,,,0.2334543615579605,0.34250178933143616,1.4671038358236115,6.874701976776123,0.7153881861602449,0.4890027252159605,0.2263854609442844,0.6417799316696375,0.4327404417477947,0.20903948992184285,0.6540521161844691,0.4379896247543307,0.21606249143013845,0.5280804367201426,0.3956866458704693,0.1323937908496733,0.5186755850358792,0.4617547077105901,0.05692087732528911,0.4418014991544403,0.3625402783491018,0.07926122080533848,0.5280804367201426,0.3956866458704693,0.1323937908496733,0.5186755850358792,0.4617547077105901,0.05692087732528911,0.4418014991544403,0.3625402783491018,0.07926122080533848
original,dynamics_only,dense,on,D,11,80,100,0.8188184117959354,0.5055857337107337,0.44008238493532614,0.19864481923305452,0.3344909787924493,70912,70912,16384,False,,,0.18574805557727814,0.4532271921634674,2.440010425707568,7.133045673370361,0.7142648201471732,0.5284763643219526,0.18578845582522063,0.6519266476987066,0.4595608231637644,0.19236582453494216,0.6545627370995016,0.4390561440193793,0.21550659308012232,0.5396594622697564,0.4093367212852508,0.13032274098450558,0.4932152406417112,0.3723536267653915,0.12086161387631966,0.4500447061108825,0.2798181189725308,0.1702265871383517,0.5167650772430185,0.3512170631655926,0.16554801407742586,0.5239571906851319,0.4643766568398921,0.059580533845239814,0.4577121612048083,0.3917930721239545,0.06591908908085381
original,dynamics_only,dense,on,D,23,68,98,0.7604822012545748,0.5289824758574758,0.4637566273595685,0.18743786850404498,0.34119346748023216,70912,70912,16384,False,,,0.17969053983688354,0.38533103466033936,2.144414697680405,6.911318302154541,0.6701380319027378,0.5097376479729421,0.16040038392979572,0.6353875291375292,0.4834317439096851,0.1519557852278441,0.657518625165684,0.4592691622103387,0.19824946295534535,0.5705999474381828,0.4123800219388454,0.1582199254993374,0.5945909890762833,0.4612343742858449,0.13335661479043837,0.555059789067142,0.3620786484757073,0.19298114059143473,0.5736463903743316,0.4295795911604735,0.14406679921385812,0.5823819358745829,0.5196544060514648,0.06272752982311802,0.5429855683532154,0.464850141688377,0.07813542666483841
original,dynamics_only,dense,on,D,37,40,70,0.5538481891964148,0.4246364746364746,0.35702400132547196,0.1678255976050094,0.27908725261666434,70912,70912,16384,False,,,0.15531064569950104,0.3904869854450226,2.5142319361709866,6.721194267272949,0.6878913570090041,0.4720532531194296,0.21583810388957447,0.6267972427898898,0.3908336761277938,0.235963566662096,0.6481521950271949,0.4133622708990356,0.2347899241281593,0.5334725935828877,0.370593948535125,0.16287864504776267,0.4843285799168151,0.3472187942776177,0.1371097856391974,0.420526389460213,0.3087161204808263,0.11181026897938667,0.547790404040404,0.4078692753325106,0.13992112870789342,0.5127853763883176,0.4182859419991773,0.09449943438914027,0.4915231214863568,0.4093731431966727,0.08214997828968412
original,dynamics_only,diagonal,off,B,11,97,100,0.972133286247027,0.5454413641913641,0.449493806846748,0.2872401903651904,0.3489140557155263,21888,21888,128,False,,,0.1317559778690338,0.07521754503250122,0.570885255068031,1.875713586807251,0.6614938982586042,0.4865158942364824,0.17497800402212177,0.5888374697198228,0.4671612905068787,0.12167617921294405,0.5765608574432103,0.4487176630558984,0.1278431943873119,0.5388524669774669,0.4067540506878742,0.13209841628959273,0.5318181818181819,0.4915938228438228,0.040224358974359053,0.4958767539649893,0.4313251291192467,0.06455162484574262,0.5388524669774669,0.4067540506878742,0.13209841628959273,0.5318181818181819,0.4915938228438228,0.040224358974359053,0.4958767539649893,0.4313251291192467,0.06455162484574262
original,dynamics_only,diagonal,off,B,23,97,100,0.983170931195504,0.5619706682206682,0.4554164381370264,0.3284939325380502,0.40596976552858904,21888,21888,128,False,,,0.12938524782657623,0.07487989962100983,0.5787359909947106,1.8993645906448364,0.6977021344668404,0.5234497120526532,0.17425242241418715,0.6706512237762237,0.5350248811645871,0.13562634261163653,0.6841916049636638,0.5211736996663469,0.16301790529731697,0.5777287867361396,0.4315620857900269,0.14616670094611267,0.5530351592851593,0.4776373748800219,0.07539778440513745,0.4958309052059053,0.4448505130490425,0.050980392156862786,0.5777287867361396,0.4315620857900269,0.14616670094611267,0.5530351592851593,0.4776373748800219,0.07539778440513745,0.4958309052059053,0.4448505130490425,0.050980392156862786
original,dynamics_only,diagonal,off,B,37,94,100,0.9753304028455222,0.5285287629037628,0.4300506478815302,0.3245972165089812,0.37474647493029845,21888,21888,128,False,,,0.12948700785636902,0.07285787910223007,0.562665554702185,1.8499733209609985,0.6860414095708213,0.4929670003199415,0.19307440925087976,0.629809691942045,0.4725343080122491,0.15727538392979584,0.6242541363864894,0.4725343080122492,0.1517198283742402,0.5315212361168243,0.4202090189222542,0.11131221719457013,0.5528947563874033,0.4518248091777503,0.10106994720965295,0.5310530360162713,0.4170101752822341,0.11404286073403719,0.5315212361168243,0.4202090189222542,0.11131221719457013,0.5528947563874033,0.4518248091777503,0.10106994720965295,0.5310530360162713,0.4170101752822341,0.11404286073403719
original,dynamics_only,diagonal,on,D,11,67,97,0.9858907070992671,0.47707882395382395,0.4160794883221354,0.23035887723387724,0.3372619006810183,54656,54656,128,False,,,0.11155106127262115,0.017657702788710594,0.15829255757196872,1.1822705268859863,0.684124045888752,0.4749535799168152,0.20917046597193678,0.6561050265094382,0.4116161616161616,0.24448886489327665,0.6262476290049819,0.4222656428538782,0.2039819861511037,0.6227822626719685,0.4082387791946616,0.21454348347730684,0.617122726130079,0.4992654200374788,0.1178573060926002,0.6235625485625486,0.5061237373737374,0.11743881118881117,0.4638270430549842,0.3802938891174185,0.08353315393756566,0.4913845753919283,0.4627470976735683,0.028637477718360005,0.4358117372823255,0.3196798299739476,0.11613190730837786
original,dynamics_only,diagonal,on,D,23,36,66,0.8763312730742888,0.4985857892107892,0.41134592531651365,0.2811423054070113,0.3994586704145527,54656,54656,128,False,,,0.10358260571956635,0.012278972193598747,0.11854280077527822,0.9000468850135803,0.6631483100233101,0.4810049019607844,0.1821434080625257,0.6013120457973399,0.375076128936423,0.22623591686091687,0.6242837024087023,0.359515545728781,0.2647681566799213,0.630257752868047,0.443729003839298,0.186528749028749,0.6089577905754376,0.4394397881530234,0.16951800242241422,0.6075874697198227,0.4110115578865579,0.19657591183326478,0.528906857031857,0.4083780394442159,0.12052881758764111,0.5516365578865579,0.4877081048036931,0.06392845308286477,0.5188484105763517,0.3860288404406052,0.13281957013574647
original,dynamics_only,diagonal,on,D,37,70,100,0.980406623312363,0.4589126151626151,0.4001264054572877,0.2173092634489693,0.36742809886192246,54656,54656,128,False,,,0.10333842784166336,0.019627731293439865,0.18993642252341753,1.180362582206726,0.6846129564879565,0.5140014397367338,0.17061151675122266,0.6149972576443165,0.4327985739750446,0.18219868366927183,0.5880236185383244,0.4428117429955664,0.145211875542758,0.6395164884135472,0.3980609260021024,0.24145556241144484,0.6545161741852918,0.5213119600987248,0.13320421408656702,0.6159150898121487,0.5141271310388957,0.10178795877325297,0.4899095593948535,0.410117292837881,0.07979226655697247,0.5160936285936285,0.4492245703642762,0.0668690582293523,0.4640171511495041,0.3479936525892408,0.11602349856026328
original,dynamics_only,ff,off,A,11,99,100,0.9095049965671222,0.5255029692529692,0.5036054835687188,0.4659370857900271,0.4029767413958591,21760,21760,0,False,,,0.23569932579994202,0.0,0.0,0.0,0.6783616710087298,0.4864074854883678,0.19195418552036198,0.6604542312262901,0.5021631758764112,0.15829105534987886,0.6509975318798848,0.4781639928698751,0.17283353901000975,0.5939146841720372,0.4360401240915947,0.15787456008044248,0.630696386946387,0.5608500159970748,0.06984637094931212,0.634053630193336,0.5375421351524293,0.09651149504090673,0.5939146841720372,0.4360401240915947,0.15787456008044248,0.630696386946387,0.5608500159970748,0.06984637094931212,0.634053630193336,0.5375421351524293,0.09651149504090673
original,dynamics_only,ff,off,A,23,89,100,0.8833191476677458,0.5872721028971029,0.5048178333104804,0.4155000228529641,0.43921640042963567,21760,21760,0,False,,,0.22674643993377686,0.0,0.0,0.0,0.691639100278806,0.5286244800950683,0.1630146201837377,0.6294357603181132,0.5412154634581106,0.08822029686000266,0.6308796391516979,0.506411541889483,0.12446809726221486,0.5690985077014488,0.4250447061108826,0.1440538015905662,0.6380223330590978,0.5437111499611499,0.09431118309794795,0.6466984608528726,0.5091083344759816,0.13759012637689105,0.5690985077014488,0.4250447061108826,0.1440538015905662,0.6380223330590978,0.5437111499611499,0.09431118309794795,0.6466984608528726,0.5091083344759816,0.13759012637689105
original,dynamics_only,ff,off,A,37,100,100,0.9175468107632633,0.5352251914751914,0.4859974176150647,0.4605276463732346,0.4382095845331139,21760,21760,0,False,,,0.2379155308008194,0.0,0.0,0.0,0.7222496457790576,0.5602599810320399,0.1619896647470177,0.6769939211115682,0.4862770807623749,0.19071684034919328,0.6815518019562137,0.4389904417477947,0.24256136020841895,0.6445799910873441,0.4247420471685177,0.21983794391882638,0.6516721228118286,0.527704933954934,0.12396718885689462,0.6810807452351569,0.4840193507472919,0.19706139448786503,0.6445799910873441,0.4247420471685177,0.21983794391882638,0.6516721228118286,0.527704933954934,0.12396718885689462,0.6810807452351569,0.4840193507472919,0.19706139448786503
