contrast,variant,l1_init,topology,fusion,delta_native_test_ba_count,delta_native_test_ba_mean,delta_native_test_ba_std,delta_window_test_ba_count,delta_window_test_ba_mean,delta_window_test_ba_std,delta_output_lif_test_ba_count,delta_output_lif_test_ba_mean,delta_output_lif_test_ba_std,delta_l1_pre_valid_fixed250_ba_count,delta_l1_pre_valid_fixed250_ba_mean,delta_l1_pre_valid_fixed250_ba_std,delta_l1_pre_valid_whole_ba_count,delta_l1_pre_valid_whole_ba_mean,delta_l1_pre_valid_whole_ba_std,delta_l1_pre_valid_temporal_gap_count,delta_l1_pre_valid_temporal_gap_mean,delta_l1_pre_valid_temporal_gap_std,delta_l1_comm_valid_fixed250_ba_count,delta_l1_comm_valid_fixed250_ba_mean,delta_l1_comm_valid_fixed250_ba_std,delta_l1_comm_valid_whole_ba_count,delta_l1_comm_valid_whole_ba_mean,delta_l1_comm_valid_whole_ba_std,delta_l1_comm_valid_temporal_gap_count,delta_l1_comm_valid_temporal_gap_mean,delta_l1_comm_valid_temporal_gap_std,delta_rsnn_comm_valid_fixed250_ba_count,delta_rsnn_comm_valid_fixed250_ba_mean,delta_rsnn_comm_valid_fixed250_ba_std,delta_rsnn_comm_valid_whole_ba_count,delta_rsnn_comm_valid_whole_ba_mean,delta_rsnn_comm_valid_whole_ba_std,delta_rsnn_comm_valid_temporal_gap_count,delta_rsnn_comm_valid_temporal_gap_mean,delta_rsnn_comm_valid_temporal_gap_std,delta_readout_comm_valid_fixed250_ba_count,delta_readout_comm_valid_fixed250_ba_mean,delta_readout_comm_valid_fixed250_ba_std,delta_readout_comm_valid_whole_ba_count,delta_readout_comm_valid_whole_ba_mean,delta_readout_comm_valid_whole_ba_std,delta_readout_comm_valid_temporal_gap_count,delta_readout_comm_valid_temporal_gap_mean,delta_readout_comm_valid_temporal_gap_std,delta_readout_pre_valid_fixed250_ba_count,delta_readout_pre_valid_fixed250_ba_mean,delta_readout_pre_valid_fixed250_ba_std,delta_readout_pre_valid_whole_ba_count,delta_readout_pre_valid_whole_ba_mean,delta_readout_pre_valid_whole_ba_std,delta_readout_pre_valid_temporal_gap_count,delta_readout_pre_valid_temporal_gap_mean,delta_readout_pre_valid_temporal_gap_std,delta_recurrent_to_external_abs_ratio_count,delta_recurrent_to_external_abs_ratio_mean,delta_recurrent_to_external_abs_ratio_std
pretrained_trainable_minus_dynamics_only,original,pretrained_trainable_vs_dynamics_only,ff,off,3,0.026528196748784944,0.010409401035441057,3,0.014317191523073813,0.0077851697517519495,3,0.009740980696863041,0.03132133548970731,3,-0.015933372183372246,0.02305769545353248,3,0.01323943621737735,0.032502746390400815,3,-0.029172808400749595,0.0369951181555773,3,0.03228747695659462,0.019941062336908715,3,0.020206781236192944,0.05815095952426995,3,0.012080695720401676,0.07150851597614645,3,0.008951125127595735,0.05489000882949033,3,0.016319444444444442,0.009068736385640512,3,-0.007368319316848708,0.05446520156110217,3,0.008951125127595735,0.05489000882949033,3,0.016319444444444442,0.009068736385640512,3,-0.007368319316848708,0.05446520156110217,3,-0.006181060225177874,0.04851594905549793,3,0.03340351097704033,0.01199052840720124,3,-0.0395845712022182,0.05445555078960445,3,0.0,0.0
pretrained_frozen_minus_dynamics_only,original,pretrained_frozen_vs_dynamics_only,ff,off,3,-0.008185550832609615,0.027202262940478308,3,0.006695251915840121,0.0320013734055729,3,-0.02412373166049636,0.0362469484882435,3,-0.018021276109511358,0.03363500721028849,3,-0.008861522464463645,0.022210538287133548,3,-0.009159753645047711,0.011711766268317568,3,-0.01743976339564579,0.04218762782705737,3,-0.03324396872190999,0.03457196758841483,3,0.015804205326264198,0.06201895150534199,3,-0.01874757187257185,0.026925305983569046,3,-0.0177706552706553,0.02284752752245796,3,-0.000976916601916548,0.02711630768036652,3,-0.01874757187257185,0.026925305983569046,3,-0.0177706552706553,0.02284752752245796,3,-0.000976916601916548,0.02711630768036652,3,-0.012778710940475668,0.0735335771221801,3,-0.02308749257278664,0.024477936781080047,3,0.01030878163231097,0.09722544112174501,3,0.0,0.0
pretrained_trainable_minus_frozen,original,pretrained_trainable_vs_pretrained_frozen,ff,off,3,0.03471374758139456,0.018056173421665527,3,0.0076219396072336925,0.024518768189125927,3,0.033864712357359404,0.013905059734844695,3,0.002087903926139112,0.011400447892969127,3,0.022100958681840994,0.03154750651519652,3,-0.020013054755701882,0.032514141325480916,3,0.04972724035224041,0.02260777393471802,3,0.05345074995810293,0.024788303838077595,3,-0.003723509605862522,0.02238435974571781,3,0.027698697000167583,0.03232344000717585,3,0.03409009971509974,0.02887743774926701,3,-0.0063914027149321595,0.058189730475313804,3,0.027698697000167583,0.03232344000717585,3,0.03409009971509974,0.02887743774926701,3,-0.0063914027149321595,0.058189730475313804,3,0.006597650715297794,0.02550590035940734,3,0.05649100354982697,0.018053860911949375,3,-0.04989335283452917,0.042906508823012,3,0.0,0.0
pretrained_trainable_minus_dynamics_only,original,pretrained_trainable_vs_dynamics_only,diagonal,off,3,0.019758053765406697,0.01966067008496981,3,-0.00524099402775872,0.015531314406684012,3,0.029136529320352895,0.017106012164298762,3,0.009480076024193615,0.04965986132131141,3,0.016198228514405038,0.017184091858894943,3,-0.0067181524902114225,0.03531487077718734,3,0.03359918948154239,0.05096718308514659,3,0.027395276292335142,0.060012909603773486,3,0.006203913189207248,0.009084585550944485,3,0.03582006909212795,0.05535408493621991,3,0.026631463579992982,0.01747476351125041,3,0.009188605512134962,0.07282881121707815,3,0.03582006909212795,0.05535408493621991,3,0.026631463579992982,0.01747476351125041,3,0.009188605512134962,0.07282881121707815,3,0.05425793569175926,0.028370365854303515,3,0.04372110052257113,0.04318576872554158,3,0.01053683516918813,0.018283822067153076,3,-0.07239419140109553,0.015313276612314821
pretrained_frozen_minus_dynamics_only,original,pretrained_frozen_vs_dynamics_only,diagonal,off,3,-0.010508840288252053,0.016390699413598643,3,-0.008389037433155075,0.010540652218239119,3,0.013222867818456071,0.043290987278259245,3,-0.0023502845194021496,0.03929206890907995,3,0.015258257537669332,0.0273580260578675,3,-0.01760854205707148,0.034767220131502935,3,0.008422079010314257,0.06204814012437375,3,-0.014932221917516067,0.04769529208584225,3,0.023354300927830324,0.03243742319322119,3,0.059384236406295275,0.05789875440476343,3,0.02052024772613013,0.005424742386571346,3,0.03886398868016514,0.062019830767114634,3,0.059384236406295275,0.05789875440476343,3,0.02052024772613013,0.005424742386571346,3,0.03886398868016514,0.062019830767114634,3,0.03137193008516544,0.02870779762679697,3,0.014373419336654628,0.040336173173438086,3,0.016998510748510814,0.035089477037516185,3,-0.04762129923860403,0.05269788502129276
pretrained_trainable_minus_frozen,original,pretrained_trainable_vs_pretrained_frozen,diagonal,off,3,0.03026689405365875,0.0035468003445024545,3,0.0031480434053963537,0.00878200198086111,3,0.015913661501896825,0.03589944069313319,3,0.011830360543595764,0.03076186028663322,3,0.0009399709767357045,0.010424979248148378,3,0.01089038956686006,0.03925128953245464,3,0.025177110471228132,0.011449160288263597,3,0.04232749820985121,0.02802227341324173,3,-0.01715038773862308,0.03804626985672065,3,-0.023564167314167328,0.0166328739256826,3,0.006111215853862854,0.015409725845036708,3,-0.029675383168030183,0.025827631732131734,3,-0.023564167314167328,0.0166328739256826,3,0.006111215853862854,0.015409725845036708,3,-0.029675383168030183,0.025827631732131734,3,0.022886005606593818,0.0205272031783744,3,0.0293476811859165,0.024344485188843818,3,-0.006461675579322683,0.04374249330621347,3,-0.024772892162491494,0.06625272935411708
pretrained_trainable_minus_dynamics_only,original,pretrained_trainable_vs_dynamics_only,dense,off,3,0.01689681505857978,0.028822300226665563,3,0.026299857549857548,0.06326429583271406,3,0.011078783689077831,0.03535279070432971,3,0.010416238173591164,0.020975651822193783,3,0.02262505332358274,0.010761352741290796,3,-0.012208815149991578,0.017476143521328355,3,0.041046399134634336,0.025716838774010493,3,0.06944320657555951,0.021324865975081556,3,-0.02839680744092517,0.00700554966413925,3,-0.025701014671602945,0.06169058842441663,3,-0.006220862470862454,0.04621718259570706,3,-0.01948015220074049,0.03423306819673228,3,-0.025701014671602945,0.06169058842441663,3,-0.006220862470862454,0.04621718259570706,3,-0.01948015220074049,0.03423306819673228,3,-0.03503349863643981,0.08938093546029771,3,0.014609757072992427,0.06840953584173265,3,-0.04964325570943223,0.03560365793573866,3,-0.00352126355515181,0.06453297144421102
pretrained_frozen_minus_dynamics_only,original,pretrained_frozen_vs_dynamics_only,dense,off,3,-0.041938569328275166,0.036942497832346176,3,0.046575435729847486,0.07694141869765514,3,-0.02987910782028431,0.020603588694001855,3,-0.019104649435531734,0.023586314280111265,3,0.03343826652650187,0.01242817212306184,3,-0.05254291596203361,0.027056236462939292,3,0.020087088837088724,0.05840612654232572,3,0.027920561192619986,0.025359492583858143,3,-0.00783347235553126,0.05038932653277886,3,-0.019780430626018863,0.037002502850253687,3,-0.03382286286698057,0.09565798908489628,3,0.014042432240961708,0.08775570467903739,3,-0.019780430626018863,0.037002502850253687,3,-0.03382286286698057,0.09565798908489628,3,0.014042432240961708,0.08775570467903739,3,-0.030164436598260125,0.06165910059592354,3,-0.022411711382299564,0.06842645401920042,3,-0.007752725215960561,0.040503791437422894,3,0.3654502609633797,0.08618852654742916
pretrained_trainable_minus_frozen,original,pretrained_trainable_vs_pretrained_frozen,dense,off,3,0.05883538438685495,0.04632679687551648,3,-0.02027557817998994,0.09251694760392896,3,0.04095789150936214,0.022194635163710265,3,0.029520887609122897,0.009923168495275744,3,-0.010813213202919133,0.02314953721584388,3,0.04033410081204203,0.015716133342128947,3,0.020959310297545608,0.03333641673241453,3,0.04152264538293952,0.022037263514996155,3,-0.020563335085393913,0.04438217495959739,3,-0.00592058404558408,0.024809104034060774,3,0.027602000396118116,0.06048018846005618,3,-0.0335225844417022,0.06850954435692266,3,-0.00592058404558408,0.024809104034060774,3,0.027602000396118116,0.06048018846005618,3,-0.0335225844417022,0.06850954435692266,3,-0.004869062038179679,0.02808556633925179,3,0.03702146845529199,0.021500937920300073,3,-0.04189053049347167,0.022583208341809463,3,-0.3689715245185315,0.02266342326083194
diagonal_minus_ff,original,dynamics_only,diagonal_vs_ff,off,3,-0.053153280542986424,0.0033762959674555246,3,-0.13387780520133466,0.04587985272896565,3,-0.050257476728064965,0.015463458449792975,3,-0.015670991590109207,0.021161032325654264,3,-0.024119780002132978,0.03748228826935751,3,0.00844878841202377,0.024151544476583988,3,-0.02586184240596005,0.05936127425001509,3,-0.01831174680439392,0.014939191382596457,3,-0.007550095601566127,0.0476198567039065,3,-0.09421424844218966,0.00799104012698952,3,-0.07040336433718791,0.00500281169786277,3,-0.023810884105001744,0.005412453834637895,3,-0.09421424844218966,0.00799104012698952,3,-0.07040336433718791,0.00500281169786277,3,-0.023810884105001744,0.005412453834637895,3,-0.053163564376799734,0.060866730741614056,3,-0.009100573990279895,0.018333539449789507,3,-0.04406299038651984,0.05754157596048947,3,0.5707622669216422,0.008035924042768506
