interaction,variant,l1_init,topology,fusion,interaction_native_test_ba_count,interaction_native_test_ba_mean,interaction_native_test_ba_std,interaction_window_test_ba_count,interaction_window_test_ba_mean,interaction_window_test_ba_std,interaction_output_lif_test_ba_count,interaction_output_lif_test_ba_mean,interaction_output_lif_test_ba_std,interaction_l1_pre_valid_fixed250_ba_count,interaction_l1_pre_valid_fixed250_ba_mean,interaction_l1_pre_valid_fixed250_ba_std,interaction_l1_pre_valid_whole_ba_count,interaction_l1_pre_valid_whole_ba_mean,interaction_l1_pre_valid_whole_ba_std,interaction_l1_pre_valid_temporal_gap_count,interaction_l1_pre_valid_temporal_gap_mean,interaction_l1_pre_valid_temporal_gap_std,interaction_l1_comm_valid_fixed250_ba_count,interaction_l1_comm_valid_fixed250_ba_mean,interaction_l1_comm_valid_fixed250_ba_std,interaction_l1_comm_valid_whole_ba_count,interaction_l1_comm_valid_whole_ba_mean,interaction_l1_comm_valid_whole_ba_std,interaction_l1_comm_valid_temporal_gap_count,interaction_l1_comm_valid_temporal_gap_mean,interaction_l1_comm_valid_temporal_gap_std,interaction_rsnn_comm_valid_fixed250_ba_count,interaction_rsnn_comm_valid_fixed250_ba_mean,interaction_rsnn_comm_valid_fixed250_ba_std,interaction_rsnn_comm_valid_whole_ba_count,interaction_rsnn_comm_valid_whole_ba_mean,interaction_rsnn_comm_valid_whole_ba_std,interaction_rsnn_comm_valid_temporal_gap_count,interaction_rsnn_comm_valid_temporal_gap_mean,interaction_rsnn_comm_valid_temporal_gap_std,interaction_readout_comm_valid_fixed250_ba_count,interaction_readout_comm_valid_fixed250_ba_mean,interaction_readout_comm_valid_fixed250_ba_std,interaction_readout_comm_valid_whole_ba_count,interaction_readout_comm_valid_whole_ba_mean,interaction_readout_comm_valid_whole_ba_std,interaction_readout_comm_valid_temporal_gap_count,interaction_readout_comm_valid_temporal_gap_mean,interaction_readout_comm_valid_temporal_gap_std,interaction_readout_pre_valid_fixed250_ba_count,interaction_readout_pre_valid_fixed250_ba_mean,interaction_readout_pre_valid_fixed250_ba_std,interaction_readout_pre_valid_whole_ba_count,interaction_readout_pre_valid_whole_ba_mean,interaction_readout_pre_valid_whole_ba_std,interaction_readout_pre_valid_temporal_gap_count,interaction_readout_pre_valid_temporal_gap_mean,interaction_readout_pre_valid_temporal_gap_std,interaction_recurrent_to_external_abs_ratio_count,interaction_recurrent_to_external_abs_ratio_mean,interaction_recurrent_to_external_abs_ratio_std
recurrence_x_fusion,original,dynamics_only,diagonal,on_vs_off,3,-0.02370199925346983,0.04864801416885947,3,-0.03573413242530884,0.01032984821510974,3,0.015201029906912281,0.061990822987668635,3,0.003650284900284998,0.021206102912979224,3,-0.0006816372625196668,0.046499769997905865,3,0.004331922162804665,0.027002807569594757,3,-0.005931772475890162,0.08070967057043613,3,-0.01976862326127027,0.07197709061350929,3,0.013836850785380106,0.008789604382350045,3,0.0643073361823362,0.03677869358758473,3,0.03859384760120058,0.044302999378225315,3,0.025713488581135608,0.014452542700063797,3,0.02963972302207594,0.08122650743316591,3,0.01896643661349547,0.030675824311242092,3,0.01067328640858047,0.05066503695982149,3,-0.014481209150326746,0.03443200207145803,3,-0.06592808743544039,0.014703428647355844,3,0.05144687828511365,0.025629201609043636,3,-0.4151716732980874,0.043789024873543046
recurrence_x_fusion,original,dynamics_only,dense,on_vs_off,3,0.04695836570836572,0.030854300743414265,3,-0.012836367064308166,0.008289963011071,3,0.03420207923884392,0.04376167078210661,3,0.00036555220378757064,0.00041885229997194577,3,0.028156375215198665,0.01195675618668989,3,-0.027790823011411097,0.011824823259968368,3,0.019632267242561285,0.048999806481309256,3,0.06119595274007047,0.07744561855448767,3,-0.04156368549750918,0.05536893530445635,3,-0.004158287246522563,0.05335303283352345,3,-0.018782232201349853,0.1039847831431568,3,0.014623944954827292,0.051013622174965315,3,0.08399797370385605,0.10117883916574578,3,0.055539558480734885,0.10702822468086233,3,0.028458415223121165,0.01293838995708027,3,0.08538481534805072,0.028061681068988917,3,-0.04450457630604684,0.07422600543614598,3,0.12988939165409755,0.04716073746565994,3,0.9000459272274238,0.2565594374947552
recurrence_x_fusion,original,pretrained_trainable,diagonal,on_vs_off,3,0.007899745951216489,0.05335263180416702,3,-0.024104211420387905,0.034020360512954546,3,-0.03105689245395125,0.051140020829587164,3,-0.023297311348781918,0.03244894825698431,3,0.021316530691530555,0.02110841387120515,3,-0.04461384204031247,0.02250882193379042,3,0.05034136615018977,0.003773636861233541,3,-0.042255273321449884,0.05029617685909841,3,0.09259663947163965,0.046525051530622356,3,0.026752203406615178,0.03709055387686604,3,0.042764037433155246,0.01204666909061441,3,-0.016011834026540068,0.029369823023763456,3,0.01597198417051367,0.09649320441097557,3,0.02475266427472315,0.02110303728041048,3,-0.008780680104209479,0.08502445345935218,3,-0.031752765208647615,0.06893524887079304,3,-0.04563175114645707,0.03859455573028182,3,0.013878985937809452,0.03086312912403473,3,-0.34848303099389727,0.01648665109040182
recurrence_x_fusion,original,pretrained_trainable,dense,on_vs_off,3,0.017082971494736126,0.02974791710535195,3,-0.0418732003290827,0.11228196418363326,3,0.011781750384691592,0.024085140548797956,3,-0.029913720538720618,0.010333793023472662,3,0.042813504578210426,0.04387306375221955,3,-0.07272722511693104,0.053829757977722936,3,0.03690363285951522,0.027993008051266022,3,-0.03113563995916944,0.037255738141521715,3,0.06803927281868466,0.05429512866449337,3,0.007541763791763874,0.018528472943510683,3,-0.013649266038971875,0.03558182724472037,3,0.021191029830735748,0.017055467202660657,3,0.10231914735591226,0.0653674732179086,3,0.05025619124883831,0.003002785859170473,3,0.052062956107073954,0.06274185016742743,3,0.07557851326233676,0.08357315883190701,3,-0.031719009476362435,0.07724431689872752,3,0.10729752273869919,0.030312665444717102,3,0.9179578143341255,0.2569573061025819
recurrence_x_fusion,original,pretrained_frozen,diagonal,on_vs_off,3,-0.01699893924158617,0.04080260680494278,3,-0.061962384021207524,0.017864898358595335,3,-0.022021973124914312,0.04966641066223031,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.02475156923686339,0.024107424083630605,3,0.025464867376632044,0.03877417633160848,3,-0.0007132981397686514,0.061454725268132865,3,-0.007160785837256434,0.1091808304614962,3,-0.005845597757362468,0.06967125915966936,3,-0.001315188079893966,0.03951009690781008,3,-0.01911121966269032,0.043592204366483825,3,-0.06545184118713525,0.07592611183464638,3,0.046340621524444923,0.1111692710035759,3,-0.3605845524093265,0.05691629432593557
recurrence_x_fusion,original,pretrained_frozen,dense,on_vs_off,3,0.015246021679845253,0.03821570312281152,3,-0.06092885872297635,0.12455829659425316,3,-0.01531377119612413,0.017347029238640566,3,0.0,0.0,3,-0.0027777777777778048,0.004811252243246928,3,0.0027777777777778048,0.004811252243246928,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.007505008607949744,0.02486917856333706,3,0.020512106357694626,0.08258208275202096,3,-0.013007097749744881,0.060688926832914665,3,0.0656628502216738,0.0458364296273042,3,0.041274690723220174,0.024691976878359254,3,0.024388159498453632,0.0691574702787134,3,0.054226370035193504,0.03141966859646751,3,-0.04524886877828047,0.11119805479613216,3,0.09947523881347398,0.09744281043863626,3,0.792516926079826,0.11388177912682367
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,diagonal,off,3,-0.006770142983378247,0.009263331526905305,3,-0.019558185550832535,0.020287689499409105,3,0.019395548623489856,0.02311746208580784,3,0.02541344820756586,0.043883536208468445,3,0.0029587922970276868,0.04955260424252191,3,0.022454655910538173,0.007274767954679383,3,0.0013117125249477724,0.05043818036707393,3,0.007188495056142201,0.04722466615870658,3,-0.005876782531194428,0.06676725499372053,3,0.02686894396453221,0.035147397094317655,3,0.010312019135548542,0.02469104128326168,3,0.01655692482898367,0.05314805689125192,3,0.02686894396453221,0.035147397094317655,3,0.010312019135548542,0.02469104128326168,3,0.01655692482898367,0.05314805689125192,3,0.06043899591693713,0.038785958724028166,3,0.010317589545530803,0.035381668825641505,3,0.05012140637140633,0.051078732521634966,3,-0.07239419140109553,0.015313276612314821
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,dense,off,3,-0.009631381690205165,0.01867370236421166,3,0.011982666026783736,0.0638346387378478,3,0.001337802992214791,0.05947548995486322,3,0.02634961035696341,0.011600999698004754,3,0.00938561710620539,0.021798074150872714,3,0.01696399325075802,0.03193546184334925,3,0.008758922178039715,0.015793923247127035,3,0.04923642533936656,0.05609679069461259,3,-0.040477503161326846,0.06587536882808902,3,-0.03465213979919868,0.027830590359072312,3,-0.022540306915306896,0.046940936075453216,3,-0.012111832883891782,0.0612455872779648,3,-0.03465213979919868,0.027830590359072312,3,-0.022540306915306896,0.046940936075453216,3,-0.012111832883891782,0.0612455872779648,3,-0.028852438411261932,0.04144113764165436,3,-0.0187937539040479,0.0765130040883578,3,-0.010058684507214033,0.04890243178899434,3,-0.00352126355515181,0.06453297144421102
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,diagonal,on,3,0.024831602221308074,0.03941516038754376,3,-0.007928264545911603,0.022434758239985055,3,-0.026862373737373674,0.038678557140290726,3,-0.0015341480415010562,0.02499560295200033,3,0.02495696025107791,0.019985127994176826,3,-0.026491108292578964,0.01947450416011976,3,0.057584851151027704,0.03232916797066448,3,-0.015298155004037417,0.07900948420230762,3,0.07288300615506511,0.04789247539293938,3,-0.010686188811188805,0.025113913207411114,3,0.014482208967503204,0.041051081439212427,3,-0.02516839777869201,0.04845477759073473,3,0.013201205112969941,0.13492377446239054,3,0.01609824679677622,0.03943776602628473,3,-0.0028970416838062785,0.1039100360394964,3,0.04316743985861626,0.06899235837765368,3,0.030613925834514128,0.025816505813382132,3,0.012553514024102133,0.05627087731968017,3,-0.005705549096905353,0.02592142703533629
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,dense,on,3,-0.03950677590383476,0.002822717814371882,3,-0.017054167237990792,0.04944443704111542,3,-0.02108252586193754,0.04062225839046591,3,-0.003929662385544781,0.010206449581926803,3,0.02404274646921715,0.06625864573363523,3,-0.027972408854761932,0.07541232688731538,3,0.02603028779499365,0.016796997090225457,3,-0.04309516735987334,0.09284191567897193,3,0.069125455154867,0.08171702587871771,3,-0.022952088760912242,0.05697451214888674,3,-0.017407340752928917,0.035472877320462996,3,-0.0055447480079833245,0.02286347663977124,3,-0.016330966147142467,0.12786284329633194,3,-0.027823674147203475,0.05946003641011414,3,0.011492708000061006,0.07140503894105027,3,-0.038658740496975895,0.08334250018432965,3,-0.006008187074363495,0.05113180614475209,3,-0.032650553422612395,0.03616589530472202,3,0.014390623551549927,0.21411495817074433
recurrence_x_fusion,postencode_mask,dynamics_only,diagonal,on_vs_off,3,0.004864443835031984,0.03439691562382933,3,-0.13416703802733218,0.05444802283461982,3,-0.027509207840090255,0.0033097620584664296,3,0.0025833847525023788,0.015618980903906244,3,0.013469394167923624,0.037872363144222654,3,-0.010886009415421246,0.05331014242652411,3,0.00426645794292857,0.03448422474275743,3,-0.03793144491673911,0.028009404314266545,3,0.04219790285966768,0.06078723002429097,3,0.0077678176942883965,0.04356944000848723,3,-0.011714238920121245,0.045062655866547306,3,0.019482056614409642,0.02588585006447111,3,-0.02134200222435508,0.03699519730999949,3,-0.00632355797796974,0.02764331400975961,3,-0.01501844424638534,0.047882190194824904,3,-0.010184804302451389,0.05141371119542316,3,-0.04199684438655029,0.048627973841659344,3,0.0318120400840989,0.009556559999836392,3,-0.3824524813194814,0.061559498992743086
recurrence_x_fusion,postencode_mask,dynamics_only,dense,on_vs_off,3,0.0935573685573685,0.03780227447179432,3,-0.052265109618050865,0.039407402493972836,3,0.05757061565885094,0.018281983788054953,3,0.008522298779651752,0.009126884527951745,3,0.013892269223151657,0.024536093463358576,3,-0.005369970443499905,0.027758165357531853,3,0.012878311775370502,0.017568777417686133,3,0.03918040701128933,0.07716099439308892,3,-0.026302095235918827,0.06331076335061228,3,-0.03568171343906631,0.08520143558029836,3,0.0032147454941572153,0.05049182355041775,3,-0.03889645893322352,0.07205689226459683,3,0.04390878048966294,0.07103787490941377,3,0.06457976255770372,0.015898206276563458,3,-0.020670982068040782,0.06378199957286187,3,0.07715370141840729,0.08490021170369681,3,0.05263804142480605,0.020816133408982296,3,0.02451565999360124,0.0757411724628425,3,0.5742050020553827,0.30873637981298213
recurrence_x_fusion,postencode_mask,pretrained_trainable,diagonal,on_vs_off,3,-0.01872571872571871,0.0072503304203598165,3,-0.05401817001081701,0.022209719834442653,3,0.02825783285342104,0.03673281777533109,3,-0.018067934244404782,0.016211510079432664,3,-0.005874306793424562,0.04648963575236639,3,-0.012193627450980219,0.060048055751093614,3,0.0032460730990144424,0.050022388535988824,3,-0.038701399363164,0.03200840982840014,3,0.04194747246217845,0.08110468996355046,3,0.06390712364977058,0.043920944865623736,3,0.04539522296875231,0.04191121988400139,3,0.018511900681018267,0.03992133346774572,3,0.03929005362828893,0.04632573783290326,3,0.0359538065420418,0.028838290290033056,3,0.003336247086247135,0.03686220974097116,3,-0.028704989182930334,0.037580045199037,3,-0.04307850374026839,0.03894179227646721,3,0.01437351455733806,0.03771282473189136,3,-0.3678897005315096,0.039617465666064965
recurrence_x_fusion,postencode_mask,pretrained_trainable,dense,on_vs_off,3,0.09409179464326518,0.08538742165438055,3,0.0349403251976782,0.049858845382948803,3,0.09579115057056237,0.047716399966087356,3,0.008365041820924235,0.015964693658673264,3,-0.032172164708929474,0.06090270972148554,3,0.04053720652985371,0.07467742489038186,3,-0.019689113990584445,0.026489153878398074,3,-0.043637401541813337,0.015128265769785692,3,0.02394828755122889,0.022734339435172807,3,0.058350949159772604,0.027786140248414606,3,0.09927784633666988,0.07940500460984529,3,-0.04092689717689727,0.06158437440803308,3,0.12358735355058877,0.005417648546382961,3,0.1063663120648416,0.03501255122059925,3,0.017221041485747175,0.03761760427845228,3,0.0853202081143258,0.043337112000038654,3,0.04671902852049916,0.012240994163947241,3,0.03860117959382664,0.03390518632531106,3,0.6587203826246494,0.4019957024912998
recurrence_x_fusion,postencode_mask,pretrained_frozen,diagonal,on_vs_off,3,0.01385084822584822,0.03958654739577,3,-0.05759970557764673,0.016190130551597404,3,0.03571970649176531,0.02779070406450139,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.028779023264317322,0.04125919798554234,3,0.013575517619635232,0.05544327033233515,3,0.015203505644682092,0.0700504341242147,3,-0.01839273199567315,0.0502456327903878,3,0.02760285738226916,0.019462479594190958,3,-0.04599558937794231,0.03292204452444326,3,-0.011426053521641796,0.023561472053261926,3,0.0008322763837468883,0.052552087514938166,3,-0.012258329905388684,0.028999354187527984,3,-0.3814434442209036,0.07312824527241236
