variant,l1_init,topology,fusion,architecture_case,layer,mean_events_per_neuron_step_count,mean_events_per_neuron_step_mean,mean_events_per_neuron_step_std,mean_events_per_neuron_s_count,mean_events_per_neuron_s_mean,mean_events_per_neuron_s_std,nonzero_fraction_count,nonzero_fraction_mean,nonzero_fraction_std,dead_neuron_fraction_count,dead_neuron_fraction_mean,dead_neuron_fraction_std,post_valid_event_fraction_count,post_valid_event_fraction_mean,post_valid_event_fraction_std
original,dynamics_only,ff,off,A,l1,3,0.10879920204956543,0.002704111918346447,3,6.963148931172188,0.1730631627741726,3,0.10879920204956543,0.002704111918346447,3,0.026041666666666668,0.011933790872280834,3,0.07592342752065333,0.004276022706451165
original,dynamics_only,ff,off,A,readout,3,0.439671209429567,0.008618486233739871,3,28.138957403492288,0.5515831189593517,3,0.439671209429567,0.008618486233739871,3,0.0,0.0,3,0.15800830460232362,0.00826021395896957
original,dynamics_only,ff,off,A,rsnn,3,0.439671209429567,0.008618486233739871,3,28.138957403492288,0.5515831189593517,3,0.439671209429567,0.008618486233739871,3,0.0,0.0,3,0.15800830460232362,0.00826021395896957
postencode_mask,dynamics_only,ff,off,A,l1,3,0.0873775301464255,0.005090371142906656,3,5.592161929371232,0.325783753146026,3,0.0873775301464255,0.005090371142906656,3,0.036458333333333336,0.022552744890219755,3,0.020562061261604692,0.001823145898913685
postencode_mask,dynamics_only,ff,off,A,readout,3,0.3959128592122778,0.01218319401485013,3,25.33842298958578,0.7797244169504083,3,0.3959128592122778,0.01218319401485013,3,0.0,0.0,3,0.09280253440781921,0.0020886857305138827
postencode_mask,dynamics_only,ff,off,A,rsnn,3,0.3959128592122778,0.01218319401485013,3,25.33842298958578,0.7797244169504083,3,0.3959128592122778,0.01218319401485013,3,0.0,0.0,3,0.09280253440781921,0.0020886857305138827
original,dynamics_only,ff,on,C,l1,3,0.07003752398011119,0.008168119604809555,3,4.482401534727116,0.5227596547078115,3,0.07003752398011119,0.008168119604809555,3,0.026041666666666668,0.022552744890219755,3,0.06937555604222788,0.0026955959075951703
original,dynamics_only,ff,on,C,readout,3,0.44172756513781225,0.0034818015083549272,3,28.270564168819984,0.22283529653471534,3,0.44172756513781225,0.0034818015083549272,3,0.0,0.0,3,0.18496297626747107,0.0009170933448749138
original,dynamics_only,ff,on,C,rsnn,3,0.21733306294534493,0.025506540088557798,3,13.909316028502076,1.632418565667699,3,0.21733306294534493,0.025506540088557798,3,0.0026041666666666665,0.004510548978043952,3,0.13468899919109265,0.007259962052312927
postencode_mask,dynamics_only,ff,on,C,l1,3,0.05652990050700807,0.005572985449919372,3,3.6179136324485164,0.3566710687948398,3,0.05652990050700807,0.005572985449919372,3,0.036458333333333336,0.019661027175184247,3,0.01756494237318412,0.001756371327137129
