interaction,variant,l1_init,topology,fusion,seed,interaction_native_test_ba,interaction_window_test_ba,interaction_output_lif_test_ba,interaction_l1_pre_valid_fixed250_ba,interaction_l1_pre_valid_whole_ba,interaction_l1_pre_valid_temporal_gap,interaction_l1_comm_valid_fixed250_ba,interaction_l1_comm_valid_whole_ba,interaction_l1_comm_valid_temporal_gap,interaction_rsnn_comm_valid_fixed250_ba,interaction_rsnn_comm_valid_whole_ba,interaction_rsnn_comm_valid_temporal_gap,interaction_readout_comm_valid_fixed250_ba,interaction_readout_comm_valid_whole_ba,interaction_readout_comm_valid_temporal_gap,interaction_readout_pre_valid_fixed250_ba,interaction_readout_pre_valid_whole_ba,interaction_readout_pre_valid_temporal_gap,interaction_recurrent_to_external_abs_ratio
recurrence_x_fusion,original,dynamics_only,diagonal,on_vs_off,11,-0.03959176036381912,-0.03056155445861322,-0.027872331916449555,0.00010840874811479662,-0.02390934229169528,0.024017751039810076,0.07604523744229619,0.053850867269985,0.022194370172311184,0.08996983408748105,0.05574852027057914,0.03422131381690191,-0.0007211538461538436,0.005244183920654566,-0.0059653377668084095,-0.04957422071392653,-0.08235794026235205,0.032783719548425516,-0.4125926974960623
recurrence_x_fusion,original,dynamics_only,dense,on_vs_off,11,0.014512917637917677,-0.008396750308514944,-0.00975935828877006,0.000798425430778571,0.03805518419488996,-0.037256758764111386,0.0762123497417615,0.12398004364916143,-0.04776769390739993,-0.0085354392339686,-0.03729260935143275,0.028757170117464148,0.05725367361396794,0.04074440673705376,0.016509266876914175,0.06004144956350849,-0.12126511152246439,0.18130656108597287,1.0492106347778838
recurrence_x_fusion,original,pretrained_trainable,diagonal,on_vs_off,11,-0.04539255678961562,-0.03648661387631977,-0.017059166323872166,0.005697243932537899,0.024324123588829294,-0.018626879656291395,0.04739347662141791,-0.08302196169843234,0.13041543831985025,0.00442647630147619,0.04545154600301682,-0.04102506970154063,-0.08831199437817094,0.0038715777686368358,-0.09218357214680778,-0.08929867110014184,-0.08102661227661234,-0.008272058823529493,-0.3481060566909393
recurrence_x_fusion,original,pretrained_trainable,dense,on_vs_off,11,-0.01624660062160066,-0.10334081767905295,0.016028783308195016,-0.018339646464646697,-0.007769579276932226,-0.010570067187714471,0.0675465057818001,-0.059022778691896316,0.12656928447369642,0.014966977466977505,0.0010121006444535618,0.013954876822523943,0.030987048082636526,0.04683443598884779,-0.015847387906211263,0.08467637346313811,-0.056082602038484475,0.14075897550162259,0.7797172564104538
recurrence_x_fusion,original,pretrained_frozen,diagonal,on_vs_off,11,-0.05227758352758349,-0.042338543809131934,-0.07396933132227257,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027482117555647223,0.0625442776178069,-0.06529248937337162,-0.12493558320764209,-0.08093362927921738,-0.04400195392842471,-0.024697341057635214,-0.11999462955345308,0.09529728849581787,-0.29500032622422534
recurrence_x_fusion,original,pretrained_frozen,dense,on_vs_off,11,0.02801659125188538,0.06841506124594374,-0.03524812605694966,0.0,-0.008333333333333415,0.008333333333333415,0.0,0.0,0.0,0.03554650006855886,0.09731149161296221,-0.06176499154440335,0.03900900978106869,0.04450257667169444,-0.005493566890625745,0.07611079688285577,-0.0878912141779788,0.16400201106083456,0.7148668081665288
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,diagonal,off,11,-0.001469302756067381,0.0038322992367110786,0.002163175876411294,0.02162490287490293,-0.006870315142373795,0.028495218017276724,0.05007798573975031,0.03996697746697764,0.01011100827277267,0.06061334498834503,-0.01614447643859418,0.07675782142693921,0.06061334498834503,-0.01614447643859418,0.07675782142693921,0.0735888294711825,0.04995915032679754,0.023629679144384963,-0.05554439954057222
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,dense,off,11,-0.006011186525892387,0.06636529320352855,-0.04629653434800479,0.021661324786325098,0.002732500342794486,0.018928824443530612,0.02566844919786071,0.037805087069792964,-0.012136637871932254,-0.0036903251976780904,-0.024123017505370437,0.020432692307692346,-0.0036903251976780904,-0.024123017505370437,0.020432692307692346,-0.00369318181818179,-0.024200289089994775,0.020507107271812985,0.04487137301541422
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,diagonal,on,11,-0.007270099181863887,-0.0020927601809954677,0.012976341468988684,0.02721373805932603,0.04136315073815078,-0.014149412678824747,0.021426224918872028,-0.09690585150143971,0.11833207642031174,-0.02493001279765983,-0.0264414507061565,0.0015114379084966711,-0.02697749554367207,-0.01751708259061191,-0.00946041295306016,0.0338643790849672,0.05129047831253725,-0.017426099227570047,0.00894224126455076
pretrained_trainable_x_recurrence,original,pretrained_trainable_vs_dynamics,dense,on,11,-0.036770704785410724,-0.028578774167009463,-0.020508392751039717,0.0025232528908998297,-0.0430922631290277,0.04561551601992753,0.017002605237899315,-0.14519773527126478,0.1622003405091641,0.019812091503268014,0.014181692490515874,0.005630399012752141,-0.0299569507290095,-0.01803298825357641,-0.011923962475433092,0.020941742081447834,0.040982220393985136,-0.020040478312537302,-0.22462200535201582
recurrence_x_fusion,postencode_mask,dynamics_only,diagonal,on_vs_off,11,0.04216843205813797,-0.18018862265185792,-0.031330413867178664,0.008631564513917223,0.006465246354952325,0.002166318158964897,0.0426483443027561,-0.06180427007632916,0.10445261437908526,0.05154785981991872,0.04016679807120982,0.011381061748708898,-0.0033349616070201815,0.021481214863567633,-0.024816176470587814,0.048306595365418925,0.010651052378993497,0.03765554298642543,-0.4042591268861936
recurrence_x_fusion,postencode_mask,dynamics_only,dense,on_vs_off,11,0.12678410233557308,-0.09584276018099552,0.05555241327300148,0.015176939073997975,0.03205728095433985,-0.016880341880341876,0.02499628639334517,0.043728289684171806,-0.018732003290826638,0.05765045820192888,0.01733154508889795,0.04031891311303093,0.12350298802504717,0.07056652497828958,0.05293646304675759,0.17300279377485256,0.06105012226335754,0.11195267151149502,0.6497284994469354
recurrence_x_fusion,postencode_mask,pretrained_trainable,diagonal,on_vs_off,11,-0.013643219525572459,-0.043641019927784575,0.05874125874125857,0.0004512032085559614,-0.042645202020202166,0.04309640522875813,-0.05347293637734807,-0.0019990630284747457,-0.05147387334887332,0.039328808446455366,0.06690305201334601,-0.027574243566890644,-0.0024446958270487595,0.003641334156039955,-0.006086029983088714,-0.043881404543169134,-0.08729075254810553,0.0434093480049364,-0.3938904808956348
recurrence_x_fusion,postencode_mask,pretrained_trainable,dense,on_vs_off,11,0.14706925019425005,0.05910762032085576,0.048362299465240566,0.02650829562594259,-0.0826166072489602,0.10912490287490278,-0.026897367338543865,-0.031222005119064034,0.0043246377805201686,0.09043432058137946,0.1680745520819052,-0.07764023150052574,0.12891971182412354,0.11101755678961572,0.017902155034507816,0.1348520556241145,0.05717354540883951,0.077678510215275,0.4826939783848143
recurrence_x_fusion,postencode_mask,pretrained_frozen,diagonal,on_vs_off,11,-0.0005804652863477533,-0.03909256593080118,0.02093517185428939,0.0,0.0,0.0,0.0,0.0,0.0,0.03590186365921655,0.07657685451803087,-0.04067499085881432,0.03145553384523969,0.049783182503770784,-0.018327648658531093,0.008759112619406761,0.046667609351432826,-0.037908496732026065,-0.41286228994634566
recurrence_x_fusion,postencode_mask,pretrained_frozen,dense,on_vs_off,11,0.10349421820010063,0.05728666758078527,0.022680995475113097,0.0,0.0,0.0,0.0,0.0,0.0,0.036094828374239996,0.09884678230266447,-0.06275195392842448,0.08319321609762781,0.038485105580693735,0.044708110516934074,0.09182192399104167,0.02773250034279434,0.06408942364824732,0.6263217102900294
pretrained_trainable_x_recurrence,postencode_mask,pretrained_trainable_vs_dynamics,diagonal,off,11,0.07842194570135747,0.00338923739659025,-0.01566713515242929,0.005506564513917622,0.026626416883769877,-0.021119852369852254,0.06507324374971424,0.0028749028749027183,0.06219834087481152,0.033735545500251485,0.05335024452671516,-0.019614699026463678,0.033735545500251485,0.05335024452671516,-0.019614699026463678,0.029834687371452118,0.03462981054892822,-0.004795123177476102,-0.06991101176851267
pretrained_trainable_x_recurrence,postencode_mask,pretrained_trainable_vs_dynamics,dense,off,11,0.017575071986836832,-0.056825037707390835,0.043065268065268,0.03441899195575682,0.1143728004022122,-0.07995380844645539,0.0035376388317565066,0.05644482151835084,-0.052907182686594334,0.023428858722976453,-0.07488344988344997,0.09831230860642642,0.023428858722976453,-0.07488344988344997,0.09831230860642642,-0.011329214086567008,-0.03469079939668174,0.02336158531011473,-0.45746781086987953
