variant,l1_init,topology,fusion,architecture_case,seed,layer,dead_neuron_fraction,mean_events_per_neuron_s,mean_events_per_neuron_step,nonzero_fraction,post_valid_event_fraction
original,dynamics_only,ff,off,A,11,l1,0.0390625,7.1509866102889355,0.11173416578576462,0.11173416578576462,0.07903325227940537
original,dynamics_only,ff,off,A,11,readout,0.0,27.550475687103596,0.4304761826109937,0.4304761826109937,0.16105902707922584
original,dynamics_only,ff,off,A,11,rsnn,0.0,27.550475687103596,0.4304761826109937,0.4304761826109937,0.16105902707922584
postencode_mask,dynamics_only,ff,off,A,11,l1,0.0234375,5.660735259572469,0.08844898843081983,0.08844898843081983,0.02047141673991799
postencode_mask,dynamics_only,ff,off,A,11,readout,0.0,25.16919191919192,0.39326862373737376,0.39326862373737376,0.09384874468384258
postencode_mask,dynamics_only,ff,off,A,11,rsnn,0.0,25.16919191919192,0.39326862373737376,0.39326862373737376,0.09384874468384258
original,dynamics_only,ff,off,A,23,l1,0.015625,6.928294573643411,0.1082546027131783,0.1082546027131783,0.07768982703019642
original,dynamics_only,ff,off,A,23,readout,0.0,28.644174301151047,0.4475652234554851,0.4475652234554851,0.16430924222889476
original,dynamics_only,ff,off,A,23,rsnn,0.0,28.644174301151047,0.4475652234554851,0.4475652234554851,0.16430924222889476
postencode_mask,dynamics_only,ff,off,A,23,l1,0.0234375,5.87820061075875,0.09184688454310547,0.09184688454310547,0.022428838612957257
postencode_mask,dynamics_only,ff,off,A,23,readout,0.0,24.6572116513977,0.38526893205308904,0.38526893205308904,0.09416136739966452
postencode_mask,dynamics_only,ff,off,A,23,rsnn,0.0,24.6572116513977,0.38526893205308904,0.38526893205308904,0.09416136739966452
original,dynamics_only,ff,off,A,37,l1,0.0234375,6.810165609584214,0.10640883764975334,0.10640883764975334,0.07104720325235817
original,dynamics_only,ff,off,A,37,readout,0.0,28.22222222222222,0.4409722222222222,0.4409722222222222,0.14865664449885027
original,dynamics_only,ff,off,A,37,rsnn,0.0,28.22222222222222,0.4409722222222222,0.4409722222222222,0.14865664449885027
postencode_mask,dynamics_only,ff,off,A,37,l1,0.0625,5.237549917782476,0.08183671746535119,0.08183671746535119,0.01878592843193883
postencode_mask,dynamics_only,ff,off,A,37,readout,0.0,26.188865398167724,0.4092010218463707,0.4092010218463707,0.09039749113995053
postencode_mask,dynamics_only,ff,off,A,37,rsnn,0.0,26.188865398167724,0.4092010218463707,0.4092010218463707,0.09039749113995053
original,dynamics_only,ff,on,C,11,l1,0.0390625,4.263742071881607,0.06662096987315011,0.06662096987315011,0.07161444180887044
original,dynamics_only,ff,on,C,11,readout,0.0,28.259220108057317,0.4415503141883956,0.4415503141883956,0.18488542273657393
original,dynamics_only,ff,on,C,11,rsnn,0.0,12.800005872680291,0.20000009176062955,0.20000009176062955,0.1350492778468944
postencode_mask,dynamics_only,ff,on,C,11,l1,0.0390625,3.4930408738548273,0.05457876365398168,0.05457876365398168,0.01777693374727525
postencode_mask,dynamics_only,ff,on,C,11,readout,0.0,25.97797744890768,0.4059058976391825,0.4059058976391825,0.13254932875245615
postencode_mask,dynamics_only,ff,on,C,11,rsnn,0.0,12.469491425886774,0.19483580352948085,0.19483580352948085,0.055799020359883225
original,dynamics_only,ff,on,C,23,l1,0.0390625,5.078987549917782,0.07935918046746535,0.07935918046746535,0.07012875305754912
original,dynamics_only,ff,on,C,23,readout,0.0,28.498854827343198,0.44529460667723747,0.44529460667723747,0.18591638371827734
original,dynamics_only,ff,on,C,23,rsnn,0.0078125,13.144174301151045,0.20537772345548508,0.20537772345548508,0.14176211419960197
postencode_mask,dynamics_only,ff,on,C,23,l1,0.0546875,4.020231383603477,0.06281611536880433,0.06281611536880433,0.019205696519907733
postencode_mask,dynamics_only,ff,on,C,23,readout,0.0,25.308844256518675,0.3954506915081043,0.3954506915081043,0.13354872693934666
postencode_mask,dynamics_only,ff,on,C,23,rsnn,0.0,12.309079163730326,0.19232936193328634,0.19232936193328634,0.06578742105286617
original,dynamics_only,ff,on,C,37,l1,0.0,4.1044749823819595,0.06413242159971812,0.06413242159971812,0.06638347326026409
original,dynamics_only,ff,on,C,37,readout,0.0,28.05361757105943,0.4383377745478036,0.4383377745478036,0.18408712234756194
original,dynamics_only,ff,on,C,37,rsnn,0.0,15.783767911674888,0.24662137361992012,0.24662137361992012,0.1272556055267815
