contrast,variant,l1_init,topology,fusion,seed,delta_native_test_ba,delta_window_test_ba,delta_output_lif_test_ba,delta_l1_pre_valid_fixed250_ba,delta_l1_pre_valid_whole_ba,delta_l1_pre_valid_temporal_gap,delta_l1_comm_valid_fixed250_ba,delta_l1_comm_valid_whole_ba,delta_l1_comm_valid_temporal_gap,delta_rsnn_comm_valid_fixed250_ba,delta_rsnn_comm_valid_whole_ba,delta_rsnn_comm_valid_temporal_gap,delta_readout_comm_valid_fixed250_ba,delta_readout_comm_valid_whole_ba,delta_readout_comm_valid_temporal_gap,delta_readout_pre_valid_fixed250_ba,delta_readout_pre_valid_whole_ba,delta_readout_pre_valid_temporal_gap,delta_recurrent_to_external_abs_ratio
pretrained_trainable_minus_dynamics_only,original,pretrained_trainable_vs_dynamics_only,ff,off,11,0.031738339275103944,0.007415501165501104,0.04425247954659711,0.010608060240413053,0.02165161227661222,-0.011043552036199167,0.04139357374651498,0.05537301750537038,-0.013979443758855403,0.026292477946889714,0.026677407559760558,-0.0003849296128708435,0.026292477946889714,0.026677407559760558,-0.0003849296128708435,0.011783273915626835,0.043625594177064686,-0.03184232026143785,0.0
pretrained_frozen_minus_dynamics_only,original,pretrained_frozen_vs_dynamics_only,ff,off,11,0.015313628365098975,-0.015117521367521425,0.01758078522784401,0.020711498468851453,0.016423425430778404,0.004288073038073048,0.007833996069290028,-0.0068614596188126264,0.014695455688102654,0.0013288998583116385,-0.029005124777183644,0.030334024635495282,0.0013288998583116385,-0.029005124777183644,0.030334024635495282,0.007672882672882686,-0.0216807498057498,0.029353632478632485,0.0
pretrained_trainable_minus_frozen,original,pretrained_trainable_vs_pretrained_frozen,ff,off,11,0.01642471091000497,0.02253302253302253,0.026671694318753103,-0.0101034382284384,0.005228186845833815,-0.015331625074272215,0.03355957767722495,0.06223447712418301,-0.028674899446958058,0.024963578088578076,0.0556825323369442,-0.030718954248366126,0.024963578088578076,0.0556825323369442,-0.030718954248366126,0.004110391242744149,0.06530634398281449,-0.061195952740070336,0.0
pretrained_trainable_minus_dynamics_only,original,pretrained_trainable_vs_dynamics_only,diagonal,off,11,0.030269036519036563,0.011247800402212182,0.046415655423008406,0.03223296311531598,0.014781297134238425,0.017451665981077558,0.09147155948626529,0.09533999497234802,-0.003868435486082733,0.08690582293523474,0.010532931121166378,0.07637289181406837,0.08690582293523474,0.010532931121166378,0.07637289181406837,0.08537210338680934,0.09358474450386223,-0.008212641117052888,-0.05554439954057222
pretrained_frozen_minus_dynamics_only,original,pretrained_frozen_vs_dynamics_only,diagonal,off,11,-0.0004889105992046949,0.003610196992549941,0.05865013254719137,0.037579271218977084,0.01631501668266383,0.021264254536313254,0.07945075757575737,0.0281404257507199,0.05131033182503747,0.12210881438822618,0.014713738059326409,0.10739507632889977,0.12210881438822618,0.014713738059326409,0.10739507632889977,0.061674865167512305,0.0528500502765209,0.008824814890991406,-0.10673259084509501
pretrained_trainable_minus_frozen,original,pretrained_trainable_vs_pretrained_frozen,diagonal,off,11,0.030757947118241258,0.007637603409662241,-0.012234477124182963,-0.0053463081036611015,-0.0015337195484254051,-0.0038125885552356964,0.012020801910507917,0.06719956922162812,-0.0551787673111202,-0.03520299145299144,-0.004180806938160031,-0.031022184514831408,-0.03520299145299144,-0.004180806938160031,-0.031022184514831408,0.023697238219297034,0.04073469422734133,-0.017037456008044294,0.05118819130452279
pretrained_trainable_minus_dynamics_only,original,pretrained_trainable_vs_dynamics_only,dense,off,11,0.025727152749211557,0.07378079436902965,-0.00204405480140768,0.03226938502673815,0.024384112619406706,0.007885272407331445,0.06706202294437569,0.09317810457516335,-0.026116081630787658,0.022602152749211624,0.002554390054390121,0.020047762694821503,0.022602152749211624,0.002554390054390121,0.020047762694821503,0.008090092097445045,0.01942530508706991,-0.011335212989624865,0.04487137301541422
pretrained_frozen_minus_dynamics_only,original,pretrained_frozen_vs_dynamics_only,dense,off,11,-0.08279414621326386,-0.012193341788930001,-0.022908810960281523,0.008128513643219648,0.03309009209744512,-0.024961578454225475,0.08379624868595437,0.05032494058229353,0.033471308103660835,0.010762317747611938,-0.07324032176973361,0.08400263951734555,0.010762317747611938,-0.07324032176973361,0.08400263951734555,-0.004394482151835077,-0.04230897778691889,0.03791449563508381,0.4365978397060375
pretrained_trainable_minus_frozen,original,pretrained_trainable_vs_pretrained_frozen,dense,off,11,0.10852129896247542,0.08597413615795965,0.020864756158873843,0.024140871383518503,-0.008705979478038417,0.03284685086155692,-0.01673422574157868,0.042853163992869814,-0.05958738973444849,0.011839835001599686,0.07579471182412373,-0.06395487682252404,0.011839835001599686,0.07579471182412373,-0.06395487682252404,0.012484574249280123,0.0617342828739888,-0.04924970862470868,-0.3917264666906233
diagonal_minus_ff,original,dynamics_only,diagonal_vs_ff,off,11,-0.054111676721970814,-0.1786968954248367,-0.05406268568033279,-0.01686777275012563,0.00010840874811457457,-0.016976181498240206,-0.07161676150646734,-0.035001885369532526,-0.036614876136934815,-0.09887820512820511,-0.06925619315325204,-0.029622011974953066,-0.09887820512820511,-0.06925619315325204,-0.029622011974953066,-0.05506221719457027,-0.029286073403720525,-0.025776143790849748,0.570885255068031
