variant,l1_init,topology,fusion,architecture_case,seed,layer,support,fixed250_ba,whole_ba,temporal_gap
original,dynamics_only,dense,off,B,11,l1,valid,0.5844919786096258,0.4449767756753051,0.13951520293432068
original,dynamics_only,dense,off,B,11,l1,window,0.618026418026418,0.4381140305772659,0.1799123874491521
original,dynamics_only,dense,off,B,11,rsnn,valid,0.5064159696512637,0.4577231591937474,0.04869281045751628
original,dynamics_only,dense,off,B,11,rsnn,window,0.3955295317427671,0.357025572466749,0.03850395927601813
original,dynamics_only,dense,off,B,11,readout,valid,0.5064159696512637,0.4577231591937474,0.04869281045751628
original,dynamics_only,dense,off,B,11,readout,window,0.3955295317427671,0.357025572466749,0.03850395927601813
original,dynamics_only,dense,off,B,23,l1,valid,0.6280314456785047,0.468444912930207,0.15958653274829765
original,dynamics_only,dense,off,B,23,l1,window,0.6332397790118378,0.4510583778966132,0.18218140111522463
original,dynamics_only,dense,off,B,23,rsnn,valid,0.5095915318341789,0.3944960064445359,0.11509552538964302
original,dynamics_only,dense,off,B,23,rsnn,window,0.4670164598473421,0.3788047328488506,0.0882117269984915
original,dynamics_only,dense,off,B,23,readout,valid,0.5095915318341789,0.3944960064445359,0.11509552538964302
original,dynamics_only,dense,off,B,23,readout,window,0.4670164598473421,0.3788047328488506,0.0882117269984915
original,dynamics_only,dense,off,B,37,l1,valid,0.6417799316696375,0.4327404417477947,0.20903948992184285
original,dynamics_only,dense,off,B,37,l1,window,0.6540521161844691,0.4379896247543307,0.21606249143013845
original,dynamics_only,dense,off,B,37,rsnn,valid,0.5186755850358792,0.4617547077105901,0.05692087732528911
original,dynamics_only,dense,off,B,37,rsnn,window,0.4418014991544403,0.3625402783491018,0.07926122080533848
original,dynamics_only,dense,off,B,37,readout,valid,0.5186755850358792,0.4617547077105901,0.05692087732528911
original,dynamics_only,dense,off,B,37,readout,window,0.4418014991544403,0.3625402783491018,0.07926122080533848
original,dynamics_only,dense,on,D,11,l1,valid,0.6519266476987066,0.4595608231637644,0.19236582453494216
original,dynamics_only,dense,on,D,11,l1,window,0.6545627370995016,0.4390561440193793,0.21550659308012232
original,dynamics_only,dense,on,D,11,rsnn,valid,0.4932152406417112,0.3723536267653915,0.12086161387631966
original,dynamics_only,dense,on,D,11,rsnn,window,0.4500447061108825,0.2798181189725308,0.1702265871383517
original,dynamics_only,dense,on,D,11,readout,valid,0.5239571906851319,0.4643766568398921,0.059580533845239814
original,dynamics_only,dense,on,D,11,readout,window,0.4577121612048083,0.3917930721239545,0.06591908908085381
original,dynamics_only,dense,on,D,23,l1,valid,0.6353875291375292,0.4834317439096851,0.1519557852278441
original,dynamics_only,dense,on,D,23,l1,window,0.657518625165684,0.4592691622103387,0.19824946295534535
original,dynamics_only,dense,on,D,23,rsnn,valid,0.5945909890762833,0.4612343742858449,0.13335661479043837
original,dynamics_only,dense,on,D,23,rsnn,window,0.555059789067142,0.3620786484757073,0.19298114059143473
original,dynamics_only,dense,on,D,23,readout,valid,0.5823819358745829,0.5196544060514648,0.06272752982311802
original,dynamics_only,dense,on,D,23,readout,window,0.5429855683532154,0.464850141688377,0.07813542666483841
original,dynamics_only,dense,on,D,37,l1,valid,0.6267972427898898,0.3908336761277938,0.235963566662096
original,dynamics_only,dense,on,D,37,l1,window,0.6481521950271949,0.4133622708990356,0.2347899241281593
original,dynamics_only,dense,on,D,37,rsnn,valid,0.4843285799168151,0.3472187942776177,0.1371097856391974
original,dynamics_only,dense,on,D,37,rsnn,window,0.420526389460213,0.3087161204808263,0.11181026897938667
original,dynamics_only,dense,on,D,37,readout,valid,0.5127853763883176,0.4182859419991773,0.09449943438914027
original,dynamics_only,dense,on,D,37,readout,window,0.4915231214863568,0.4093731431966727,0.08214997828968412
original,dynamics_only,diagonal,off,B,11,l1,valid,0.5888374697198228,0.4671612905068787,0.12167617921294405
original,dynamics_only,diagonal,off,B,11,l1,window,0.5765608574432103,0.4487176630558984,0.1278431943873119
original,dynamics_only,diagonal,off,B,11,rsnn,valid,0.5318181818181819,0.4915938228438228,0.040224358974359053
original,dynamics_only,diagonal,off,B,11,rsnn,window,0.4958767539649893,0.4313251291192467,0.06455162484574262
original,dynamics_only,diagonal,off,B,11,readout,valid,0.5318181818181819,0.4915938228438228,0.040224358974359053
original,dynamics_only,diagonal,off,B,11,readout,window,0.4958767539649893,0.4313251291192467,0.06455162484574262
original,dynamics_only,diagonal,off,B,23,l1,valid,0.6706512237762237,0.5350248811645871,0.13562634261163653
original,dynamics_only,diagonal,off,B,23,l1,window,0.6841916049636638,0.5211736996663469,0.16301790529731697
original,dynamics_only,diagonal,off,B,23,rsnn,valid,0.5530351592851593,0.4776373748800219,0.07539778440513745
original,dynamics_only,diagonal,off,B,23,rsnn,window,0.4958309052059053,0.4448505130490425,0.050980392156862786
original,dynamics_only,diagonal,off,B,23,readout,valid,0.5530351592851593,0.4776373748800219,0.07539778440513745
original,dynamics_only,diagonal,off,B,23,readout,window,0.4958309052059053,0.4448505130490425,0.050980392156862786
original,dynamics_only,diagonal,off,B,37,l1,valid,0.629809691942045,0.4725343080122491,0.15727538392979584
original,dynamics_only,diagonal,off,B,37,l1,window,0.6242541363864894,0.4725343080122492,0.1517198283742402
original,dynamics_only,diagonal,off,B,37,rsnn,valid,0.5528947563874033,0.4518248091777503,0.10106994720965295
original,dynamics_only,diagonal,off,B,37,rsnn,window,0.5310530360162713,0.4170101752822341,0.11404286073403719
original,dynamics_only,diagonal,off,B,37,readout,valid,0.5528947563874033,0.4518248091777503,0.10106994720965295
original,dynamics_only,diagonal,off,B,37,readout,window,0.5310530360162713,0.4170101752822341,0.11404286073403719
original,dynamics_only,diagonal,on,D,11,l1,valid,0.6561050265094382,0.4116161616161616,0.24448886489327665
original,dynamics_only,diagonal,on,D,11,l1,window,0.6262476290049819,0.4222656428538782,0.2039819861511037
original,dynamics_only,diagonal,on,D,11,rsnn,valid,0.617122726130079,0.4992654200374788,0.1178573060926002
original,dynamics_only,diagonal,on,D,11,rsnn,window,0.6235625485625486,0.5061237373737374,0.11743881118881117
original,dynamics_only,diagonal,on,D,11,readout,valid,0.4913845753919283,0.4627470976735683,0.028637477718360005
original,dynamics_only,diagonal,on,D,11,readout,window,0.4358117372823255,0.3196798299739476,0.11613190730837786
original,dynamics_only,diagonal,on,D,23,l1,valid,0.6013120457973399,0.375076128936423,0.22623591686091687
original,dynamics_only,diagonal,on,D,23,l1,window,0.6242837024087023,0.359515545728781,0.2647681566799213
original,dynamics_only,diagonal,on,D,23,rsnn,valid,0.6089577905754376,0.4394397881530234,0.16951800242241422
original,dynamics_only,diagonal,on,D,23,rsnn,window,0.6075874697198227,0.4110115578865579,0.19657591183326478
original,dynamics_only,diagonal,on,D,23,readout,valid,0.5516365578865579,0.4877081048036931,0.06392845308286477
original,dynamics_only,diagonal,on,D,23,readout,window,0.5188484105763517,0.3860288404406052,0.13281957013574647
original,dynamics_only,diagonal,on,D,37,l1,valid,0.6149972576443165,0.4327985739750446,0.18219868366927183
original,dynamics_only,diagonal,on,D,37,l1,window,0.5880236185383244,0.4428117429955664,0.145211875542758
original,dynamics_only,diagonal,on,D,37,rsnn,valid,0.6545161741852918,0.5213119600987248,0.13320421408656702
original,dynamics_only,diagonal,on,D,37,rsnn,window,0.6159150898121487,0.5141271310388957,0.10178795877325297
original,dynamics_only,diagonal,on,D,37,readout,valid,0.5160936285936285,0.4492245703642762,0.0668690582293523
original,dynamics_only,diagonal,on,D,37,readout,window,0.4640171511495041,0.3479936525892408,0.11602349856026328
original,dynamics_only,ff,off,A,11,l1,valid,0.6604542312262901,0.5021631758764112,0.15829105534987886
original,dynamics_only,ff,off,A,11,l1,window,0.6509975318798848,0.4781639928698751,0.17283353901000975
original,dynamics_only,ff,off,A,11,rsnn,valid,0.630696386946387,0.5608500159970748,0.06984637094931212
original,dynamics_only,ff,off,A,11,rsnn,window,0.634053630193336,0.5375421351524293,0.09651149504090673
original,dynamics_only,ff,off,A,11,readout,valid,0.630696386946387,0.5608500159970748,0.06984637094931212
original,dynamics_only,ff,off,A,11,readout,window,0.634053630193336,0.5375421351524293,0.09651149504090673
original,dynamics_only,ff,off,A,23,l1,valid,0.6294357603181132,0.5412154634581106,0.08822029686000266
original,dynamics_only,ff,off,A,23,l1,window,0.6308796391516979,0.506411541889483,0.12446809726221486
original,dynamics_only,ff,off,A,23,rsnn,valid,0.6380223330590978,0.5437111499611499,0.09431118309794795
original,dynamics_only,ff,off,A,23,rsnn,window,0.6466984608528726,0.5091083344759816,0.13759012637689105
original,dynamics_only,ff,off,A,23,readout,valid,0.6380223330590978,0.5437111499611499,0.09431118309794795
original,dynamics_only,ff,off,A,23,readout,window,0.6466984608528726,0.5091083344759816,0.13759012637689105
original,dynamics_only,ff,off,A,37,l1,valid,0.6769939211115682,0.4862770807623749,0.19071684034919328
original,dynamics_only,ff,off,A,37,l1,window,0.6815518019562137,0.4389904417477947,0.24256136020841895
original,dynamics_only,ff,off,A,37,rsnn,valid,0.6516721228118286,0.527704933954934,0.12396718885689462
original,dynamics_only,ff,off,A,37,rsnn,window,0.6810807452351569,0.4840193507472919,0.19706139448786503
original,dynamics_only,ff,off,A,37,readout,valid,0.6516721228118286,0.527704933954934,0.12396718885689462
original,dynamics_only,ff,off,A,37,readout,window,0.6810807452351569,0.4840193507472919,0.19706139448786503
original,dynamics_only,ff,on,C,11,l1,valid,0.6516765505736094,0.3927671797157091,0.2589093708579003
original,dynamics_only,ff,on,C,11,l1,window,0.6516765505736093,0.4096770876182641,0.2419994629553452
