epoch,train_loss,val_balanced_accuracy,seed,condition
1,2.5309673079961463,0.08333333333333333,11,shuffle_5ms
2,2.3077703005150902,0.08333333333333333,11,shuffle_5ms
3,2.1298932848097403,0.08333333333333333,11,shuffle_5ms
4,1.9209088449236713,0.08333333333333333,11,shuffle_5ms
5,1.684813908383816,0.08333333333333333,11,shuffle_5ms
6,1.4191191241711,0.11805555555555554,11,shuffle_5ms
7,1.1537575314316568,0.17361111111111113,11,shuffle_5ms
8,0.8489513118055803,0.10416666666666667,11,shuffle_5ms
9,0.6198891378656218,0.14523809523809522,11,shuffle_5ms
10,0.43010332425938375,0.12916666666666665,11,shuffle_5ms
11,0.2870448095889031,0.1263888888888889,11,shuffle_5ms
12,0.19309169374689272,0.13333333333333333,11,shuffle_5ms
13,0.12933891955055768,0.11157407407407409,11,shuffle_5ms
14,0.08415425681992422,0.12685185185185183,11,shuffle_5ms
15,0.0617828546445581,0.09305555555555556,11,shuffle_5ms
1,2.5533437336547467,0.08333333333333333,11,shuffle_50ms
2,2.3149702971494652,0.08333333333333333,11,shuffle_50ms
3,2.1197945256776447,0.08333333333333333,11,shuffle_50ms
4,1.9164651270154156,0.08333333333333333,11,shuffle_50ms
5,1.6744548097441467,0.10416666666666667,11,shuffle_50ms
6,1.4127322254301626,0.14305555555555555,11,shuffle_50ms
7,1.1239637890948524,0.15972222222222224,11,shuffle_50ms
8,0.8513399498372138,0.13968253968253966,11,shuffle_50ms
9,0.6081798363335525,0.13432539682539682,11,shuffle_50ms
10,0.40150696642791167,0.1369047619047619,11,shuffle_50ms
11,0.2589843872981735,0.10555555555555556,11,shuffle_50ms
12,0.16480261030830914,0.15241402116402117,11,shuffle_50ms
13,0.11411969608898405,0.14801587301587302,11,shuffle_50ms
14,0.08202270201489895,0.11249999999999999,11,shuffle_50ms
15,0.05932090789834155,0.18412698412698414,11,shuffle_50ms
16,0.048836385901970196,0.17023809523809522,11,shuffle_50ms
17,0.03744015621044968,0.14477513227513225,11,shuffle_50ms
18,0.029132134788021256,0.1947751322751323,11,shuffle_50ms
19,0.024348552303412294,0.1781084656084656,11,shuffle_50ms
20,0.02032274323739583,0.21283068783068781,11,shuffle_50ms
21,0.017976018894888177,0.16977513227513227,11,shuffle_50ms
22,0.015895004278119608,0.1892195767195767,11,shuffle_50ms
23,0.014057448393181909,0.19060846560846564,11,shuffle_50ms
24,0.013162974091364613,0.21283068783068781,11,shuffle_50ms
25,0.011109655487197863,0.19894179894179895,11,shuffle_50ms
26,0.010752750501696821,0.19755291005291006,11,shuffle_50ms
27,0.009675062061110629,0.21005291005291005,11,shuffle_50ms
28,0.008888276529651655,0.1892195767195767,11,shuffle_50ms
1,2.5502470927902414,0.08333333333333333,11,shuffle_100ms
2,2.30807675590998,0.08333333333333333,11,shuffle_100ms
3,2.0860917945451374,0.08333333333333333,11,shuffle_100ms
4,1.86901986146275,0.08333333333333333,11,shuffle_100ms
5,1.629301368435727,0.10416666666666667,11,shuffle_100ms
6,1.3622965782503538,0.13194444444444445,11,shuffle_100ms
7,1.0949848701682272,0.1597222222222222,11,shuffle_100ms
8,0.8368251610405838,0.14166666666666666,11,shuffle_100ms
9,0.6205871980401534,0.1337962962962963,11,shuffle_100ms
10,0.4448148483716989,0.15694444444444444,11,shuffle_100ms
11,0.3007694058403184,0.1587962962962963,11,shuffle_100ms
12,0.20159602655640133,0.16944444444444443,11,shuffle_100ms
13,0.13498953079121023,0.1527777777777778,11,shuffle_100ms
14,0.09839139935336536,0.1763888888888889,11,shuffle_100ms
15,0.07111677367098723,0.18055555555555558,11,shuffle_100ms
16,0.05203422441889968,0.15,11,shuffle_100ms
17,0.04165783180277559,0.12569444444444444,11,shuffle_100ms
18,0.032486285024051424,0.16527777777777777,11,shuffle_100ms
19,0.02590018147720566,0.18611111111111112,11,shuffle_100ms
20,0.022813174284145803,0.18472222222222223,11,shuffle_100ms
21,0.01991224435122707,0.16249999999999998,11,shuffle_100ms
22,0.017073058464293238,0.1486111111111111,11,shuffle_100ms
23,0.01558992997566356,0.15833333333333335,11,shuffle_100ms
24,0.013077281108951266,0.1486111111111111,11,shuffle_100ms
25,0.012320287655331667,0.1611111111111111,11,shuffle_100ms
26,0.010832077835368204,0.14953703703703705,11,shuffle_100ms
27,0.010487530533743055,0.14444444444444446,11,shuffle_100ms
1,2.5758953879151165,0.08333333333333333,11,shuffle_200ms
2,2.316679245308985,0.08333333333333333,11,shuffle_200ms
3,2.1196654235260395,0.10416666666666667,11,shuffle_200ms
4,1.8947607233554502,0.08333333333333333,11,shuffle_200ms
5,1.641973554333554,0.06944444444444443,11,shuffle_200ms
6,1.3726847956452188,0.11111111111111112,11,shuffle_200ms
7,1.1116535127917422,0.15138888888888888,11,shuffle_200ms
8,0.843818849400629,0.14027777777777775,11,shuffle_200ms
9,0.6155176547509206,0.18333333333333332,11,shuffle_200ms
10,0.4278532451466669,0.19375,11,shuffle_200ms
11,0.29091010195545003,0.1886574074074074,11,shuffle_200ms
12,0.20341443204427068,0.20532407407407413,11,shuffle_200ms
13,0.14260401322117336,0.1939484126984127,11,shuffle_200ms
14,0.09492255681300465,0.16203703703703706,11,shuffle_200ms
15,0.06303081718049472,0.1625,11,shuffle_200ms
16,0.05046343322418913,0.19652777777777783,11,shuffle_200ms
17,0.03817298510878146,0.14652777777777778,11,shuffle_200ms
18,0.03136463958439948,0.19652777777777783,11,shuffle_200ms
19,0.02741857288004477,0.18287037037037038,11,shuffle_200ms
20,0.02370033849360822,0.1662037037037037,11,shuffle_200ms
1,2.538168442400196,0.08333333333333333,11,shuffle_500ms
2,2.267440153073661,0.08333333333333333,11,shuffle_500ms
3,2.055152238169803,0.08333333333333333,11,shuffle_500ms
4,1.8085928597027743,0.08333333333333333,11,shuffle_500ms
5,1.5551515651654593,0.09722222222222222,11,shuffle_500ms
6,1.2770906898039807,0.12500000000000003,11,shuffle_500ms
7,1.0051051099089128,0.1763888888888889,11,shuffle_500ms
8,0.7661488259894939,0.16527777777777777,11,shuffle_500ms
9,0.5544258469267737,0.1388888888888889,11,shuffle_500ms
10,0.39716494234302374,0.18680555555555553,11,shuffle_500ms
11,0.2660288607017903,0.20833333333333334,11,shuffle_500ms
12,0.17897719578652443,0.10254629629629629,11,shuffle_500ms
13,0.12638480838718294,0.17708333333333334,11,shuffle_500ms
14,0.09127625276016284,0.19861111111111115,11,shuffle_500ms
15,0.06760785474052912,0.16041666666666668,11,shuffle_500ms
16,0.04778214511048945,0.17926587301587302,11,shuffle_500ms
17,0.03890152685815775,0.1777777777777778,11,shuffle_500ms
18,0.030213768110622333,0.2138888888888889,11,shuffle_500ms
19,0.025880292199457748,0.17569444444444446,11,shuffle_500ms
20,0.02287956341346608,0.19583333333333333,11,shuffle_500ms
21,0.019349747019100794,0.22939814814814816,11,shuffle_500ms
22,0.016771680592924734,0.2076388888888889,11,shuffle_500ms
23,0.01531414847962464,0.21805555555555556,11,shuffle_500ms
24,0.01302323300580058,0.2076388888888889,11,shuffle_500ms
25,0.012459264207584194,0.2157407407407407,11,shuffle_500ms
26,0.011451017335528814,0.22430555555555554,11,shuffle_500ms
27,0.010064157362602934,0.20995370370370373,11,shuffle_500ms
28,0.009205973064644804,0.20069444444444443,11,shuffle_500ms
29,0.008815616215991823,0.23680555555555552,11,shuffle_500ms
30,0.008067465010040168,0.18541666666666665,11,shuffle_500ms
31,0.008260842023676709,0.21944444444444441,11,shuffle_500ms
32,0.007292285891650598,0.2215277777777778,11,shuffle_500ms
33,0.0068121238234393955,0.22569444444444445,11,shuffle_500ms
34,0.006582909994581832,0.22013888888888888,11,shuffle_500ms
35,0.006191755450460352,0.23263888888888887,11,shuffle_500ms
36,0.005523406252076354,0.21458333333333335,11,shuffle_500ms
37,0.004959609506863959,0.2333333333333333,11,shuffle_500ms
1,2.5345148678067364,0.08333333333333333,11,original
2,2.2994579635088956,0.08333333333333333,11,original
3,2.09879635255548,0.08333333333333333,11,original
4,1.8684412904932528,0.10416666666666667,11,original
5,1.6133005166355567,0.10416666666666667,11,original
6,1.3614429974857765,0.1638888888888889,11,original
7,1.1181995310360873,0.18472222222222223,11,original
8,0.8592110940172702,0.20972222222222223,11,original
9,0.6476765056199665,0.22023809523809523,11,original
10,0.4551867325849171,0.17301587301587304,11,original
11,0.2973674452757534,0.1909722222222222,11,original
12,0.20686384677132474,0.20496031746031748,11,original
13,0.1389514927434016,0.21111111111111114,11,original
14,0.09500294074982027,0.12648809523809523,11,original
15,0.06583602061565919,0.18425925925925926,11,original
16,0.048636300512884235,0.22671957671957674,11,original
17,0.03853670413358302,0.21352513227513226,11,original
18,0.03259436486736883,0.1982473544973545,11,original
19,0.027393736911914015,0.2020833333333333,11,original
20,0.022890856937517093,0.19120370370370368,11,original
21,0.02028569241962101,0.1591269841269841,11,original
22,0.017091961082401155,0.19745370370370371,11,original
23,0.014644077766828145,0.17741402116402116,11,original
24,0.013972548850446562,0.1892195767195767,11,original
1,2.5332628292373465,0.09027777777777778,23,shuffle_5ms
2,2.324323023421855,0.08333333333333333,23,shuffle_5ms
3,2.1276504963259155,0.08333333333333333,23,shuffle_5ms
4,1.9423853128771238,0.08333333333333333,23,shuffle_5ms
5,1.6984250711489328,0.08333333333333333,23,shuffle_5ms
6,1.42847970014886,0.1111111111111111,23,shuffle_5ms
7,1.1599874043766456,0.10694444444444444,23,shuffle_5ms
8,0.9057251162166837,0.10357142857142858,23,shuffle_5ms
9,0.6601446595373033,0.13829365079365077,23,shuffle_5ms
10,0.46087764184686203,0.1494047619047619,23,shuffle_5ms
11,0.3174498364140716,0.14662698412698413,23,shuffle_5ms
12,0.21201077348823788,0.13749999999999998,23,shuffle_5ms
13,0.13844132253640815,0.1509259259259259,23,shuffle_5ms
14,0.091858406138571,0.13505291005291006,23,shuffle_5ms
15,0.06463740454821647,0.12347883597883597,23,shuffle_5ms
16,0.05132398051740248,0.12083333333333333,23,shuffle_5ms
17,0.04010247406137141,0.12440476190476189,23,shuffle_5ms
18,0.030155986146647717,0.11005291005291006,23,shuffle_5ms
19,0.025444163787591307,0.12625661375661373,23,shuffle_5ms
