experiment,seed,condition,sampling_rate_hz,preserved_ms,block_samples,best_epoch,best_val_balanced_accuracy,accuracy,balanced_accuracy,macro_f1
experiment_1_2,11,shuffle_5ms,64.0,15.625,1.0,7,0.17361111111111113,0.07368421052631578,0.07357804232804233,0.07014250369513526
experiment_1_2,11,shuffle_50ms,64.0,46.875,3.0,20,0.21283068783068781,0.15789473684210525,0.14732142857142858,0.1459677577324636
experiment_1_2,11,shuffle_100ms,64.0,93.75,6.0,19,0.18611111111111112,0.18947368421052632,0.19510582010582012,0.18269143352347686
experiment_1_2,11,shuffle_200ms,64.0,203.125,13.0,12,0.20532407407407413,0.21052631578947367,0.19361772486772488,0.19131323587845328
experiment_1_2,11,shuffle_500ms,64.0,500.0,32.0,29,0.23680555555555552,0.2,0.1896494708994709,0.19505364298965952
experiment_1_2,11,original,64.0,,,16,0.22671957671957674,0.23157894736842105,0.22205687830687829,0.20963677989466564
experiment_1_2,23,shuffle_5ms,64.0,15.625,1.0,13,0.1509259259259259,0.10526315789473684,0.12251984126984126,0.10872599622599621
experiment_1_2,23,shuffle_50ms,64.0,46.875,3.0,17,0.12638888888888888,0.11578947368421053,0.10879629629629632,0.09734940984940983
experiment_1_2,23,shuffle_100ms,64.0,93.75,6.0,17,0.18482142857142858,0.08421052631578947,0.08167989417989419,0.07204709234121
experiment_1_2,23,shuffle_200ms,64.0,203.125,13.0,24,0.2037037037037037,0.1368421052631579,0.12880291005291003,0.12511123136123137
experiment_1_2,23,shuffle_500ms,64.0,500.0,32.0,8,0.25,0.15789473684210525,0.15145502645502645,0.13677248677248677
experiment_1_2,23,original,64.0,,,13,0.2722222222222222,0.23157894736842105,0.22123015873015875,0.2164946212198534
experiment_1_2,37,shuffle_5ms,64.0,15.625,1.0,13,0.16828703703703704,0.09473684210526316,0.09126984126984128,0.08203376644891182
experiment_1_2,37,shuffle_50ms,64.0,46.875,3.0,5,0.1875,0.21052631578947367,0.19659391534391532,0.19853955412778942
experiment_1_2,37,shuffle_100ms,64.0,93.75,6.0,14,0.17533068783068784,0.17894736842105263,0.17113095238095236,0.15715363068304244
experiment_1_2,37,shuffle_200ms,64.0,203.125,13.0,14,0.18078703703703702,0.12631578947368421,0.12367724867724868,0.10987365182142407
experiment_1_2,37,shuffle_500ms,64.0,500.0,32.0,9,0.26640211640211636,0.25263157894736843,0.25644841269841273,0.25810657348436256
experiment_1_2,37,original,64.0,,,27,0.2564814814814815,0.23157894736842105,0.21709656084656084,0.20096760179964512
experiment_1_2,53,shuffle_5ms,64.0,15.625,1.0,9,0.18075396825396825,0.09473684210526316,0.08912037037037036,0.08012065095398428
experiment_1_2,53,shuffle_50ms,64.0,46.875,3.0,8,0.18492063492063493,0.12631578947368421,0.11954365079365081,0.10933500201806835
experiment_1_2,53,shuffle_100ms,64.0,93.75,6.0,9,0.1763888888888889,0.23157894736842105,0.21709656084656084,0.207305306492613
experiment_1_2,53,shuffle_200ms,64.0,203.125,13.0,7,0.21481481481481482,0.2,0.18700396825396823,0.19454333162537496
experiment_1_2,53,shuffle_500ms,64.0,500.0,32.0,9,0.24930555555555556,0.21052631578947367,0.2208994708994709,0.21076059661585977
experiment_1_2,53,original,64.0,,,11,0.3113095238095238,0.21052631578947367,0.2088293650793651,0.18750333200797598
experiment_1_2,71,shuffle_5ms,64.0,15.625,1.0,8,0.17023809523809522,0.12631578947368421,0.11607142857142856,0.10886844636844638
experiment_1_2,71,shuffle_50ms,64.0,46.875,3.0,9,0.20079365079365083,0.09473684210526316,0.08680555555555557,0.07781415207885796
experiment_1_2,71,shuffle_100ms,64.0,93.75,6.0,17,0.17199074074074075,0.15789473684210525,0.1669973544973545,0.14981768145854832
experiment_1_2,71,shuffle_200ms,64.0,203.125,13.0,16,0.22023809523809523,0.1368421052631579,0.12764550264550265,0.12817460317460316
experiment_1_2,71,shuffle_500ms,64.0,500.0,32.0,19,0.20565476190476192,0.24210526315789474,0.22900132275132276,0.22382829943571633
experiment_1_2,71,original,64.0,,,27,0.2831018518518519,0.18947368421052632,0.18237433862433863,0.17279161588624503
