seed,sample_index,relation,lag_steps,lag_ms,layer,state,corr_mean,count
37,0,within,1,15.625,L1,spike50,0.9348513859960602,31
37,0,within,1,15.625,L1,syn_current,0.9452095296712892,31
37,0,within,1,15.625,L1,pre_reset,0.9598902848069552,31
37,0,within,1,15.625,L2,spike50,0.9787946335740503,31
37,0,within,1,15.625,L2,syn_current,0.9835608071825701,31
37,0,within,1,15.625,L2,pre_reset,0.993693631718379,31
37,0,within,2,31.25,L1,spike50,0.9056785866292107,30
37,0,within,2,31.25,L1,syn_current,0.8958199681741884,30
37,0,within,2,31.25,L1,pre_reset,0.9201738240440386,30
37,0,within,2,31.25,L2,spike50,0.9461188917130806,30
37,0,within,2,31.25,L2,syn_current,0.975633110233752,30
37,0,within,2,31.25,L2,pre_reset,0.984885473883882,30
37,0,within,4,62.5,L1,spike50,0.7909491067216224,28
37,0,within,4,62.5,L1,syn_current,0.7926504614746792,28
37,0,within,4,62.5,L1,pre_reset,0.814161675994206,28
37,0,within,4,62.5,L2,spike50,0.8472721138518391,28
37,0,within,4,62.5,L2,syn_current,0.9386601956168769,28
37,0,within,4,62.5,L2,pre_reset,0.9546714352483077,28
37,0,within,8,125.0,L1,spike50,0.7051129060800491,24
37,0,within,8,125.0,L1,syn_current,0.6715639006532553,24
37,0,within,8,125.0,L1,pre_reset,0.6689579642905388,24
37,0,within,8,125.0,L2,spike50,0.6808720731809362,24
37,0,within,8,125.0,L2,syn_current,0.8576292239093691,24
37,0,within,8,125.0,L2,pre_reset,0.881373614913885,24
37,0,within,16,250.0,L1,spike50,0.5882589326120202,16
37,0,within,16,250.0,L1,syn_current,0.5737105737997524,16
37,0,within,16,250.0,L1,pre_reset,0.5571372647860116,16
37,0,within,16,250.0,L2,spike50,0.4093618761374909,16
37,0,within,16,250.0,L2,syn_current,0.6697691686591078,16
37,0,within,16,250.0,L2,pre_reset,0.7166256289304356,16
37,1,within,1,15.625,L1,spike50,0.9506792556914327,66
37,1,within,1,15.625,L1,syn_current,0.9553311422852906,66
37,1,within,1,15.625,L1,pre_reset,0.9656013676146615,66
37,1,within,1,15.625,L2,spike50,0.9764829162282803,66
37,1,within,1,15.625,L2,syn_current,0.9662048915808034,66
37,1,within,1,15.625,L2,pre_reset,0.9861558636503172,66
37,1,within,2,31.25,L1,spike50,0.9176613498238134,64
37,1,within,2,31.25,L1,syn_current,0.9135585750934845,64
37,1,within,2,31.25,L1,pre_reset,0.9345684314718217,64
37,1,within,2,31.25,L2,spike50,0.93743600946206,64
37,1,within,2,31.25,L2,syn_current,0.9464988395356569,64
37,1,within,2,31.25,L2,pre_reset,0.9677986578206492,64
37,1,within,4,62.5,L1,spike50,0.8106821928286606,60
37,1,within,4,62.5,L1,syn_current,0.83871770917283,60
37,1,within,4,62.5,L1,pre_reset,0.8575500705489115,60
37,1,within,4,62.5,L2,spike50,0.8297391026884462,60
37,1,within,4,62.5,L2,syn_current,0.8977210601036283,60
37,1,within,4,62.5,L2,pre_reset,0.9224748190868034,60
37,1,within,8,125.0,L1,spike50,0.7367513093733117,52
37,1,within,8,125.0,L1,syn_current,0.7458738313633658,52
37,1,within,8,125.0,L1,pre_reset,0.750425957306319,52
