seed,sample_index,relation,lag_steps,lag_ms,layer,state,corr_mean,count
23,0,within,1,15.625,L1,spike50,0.9282567549001004,31
23,0,within,1,15.625,L1,syn_current,0.9588355914136294,31
23,0,within,1,15.625,L1,pre_reset,0.9750427705843976,31
23,0,within,1,15.625,L2,spike50,0.9814127663625053,31
23,0,within,1,15.625,L2,syn_current,0.9873196737400893,31
23,0,within,1,15.625,L2,pre_reset,0.9940670266983102,31
23,0,within,2,31.25,L1,spike50,0.8863514342032439,30
23,0,within,2,31.25,L1,syn_current,0.9212219281100805,30
23,0,within,2,31.25,L1,pre_reset,0.9490189922553506,30
23,0,within,2,31.25,L2,spike50,0.953415028030143,30
23,0,within,2,31.25,L2,syn_current,0.9768404320811942,30
23,0,within,2,31.25,L2,pre_reset,0.9848221636725115,30
23,0,within,4,62.5,L1,spike50,0.7454459371178382,28
23,0,within,4,62.5,L1,syn_current,0.8489860471544739,28
23,0,within,4,62.5,L1,pre_reset,0.8833453802596817,28
23,0,within,4,62.5,L2,spike50,0.8679205527475442,28
23,0,within,4,62.5,L2,syn_current,0.9412308954155808,28
23,0,within,4,62.5,L2,pre_reset,0.9546293912808209,28
23,0,within,8,125.0,L1,spike50,0.6463083944375981,24
23,0,within,8,125.0,L1,syn_current,0.7464264286354695,24
23,0,within,8,125.0,L1,pre_reset,0.7761073131846484,24
23,0,within,8,125.0,L2,spike50,0.7289991699502173,24
23,0,within,8,125.0,L2,syn_current,0.8653430599653861,24
23,0,within,8,125.0,L2,pre_reset,0.8870975356048287,24
23,0,within,16,250.0,L1,spike50,0.5252910463322146,16
23,0,within,16,250.0,L1,syn_current,0.6317855745692598,16
23,0,within,16,250.0,L1,pre_reset,0.6560714303013032,16
23,0,within,16,250.0,L2,spike50,0.5333674925962919,16
23,0,within,16,250.0,L2,syn_current,0.7166804311968129,16
23,0,within,16,250.0,L2,pre_reset,0.7504671760256083,16
23,1,within,1,15.625,L1,spike50,0.9521820778278182,66
23,1,within,1,15.625,L1,syn_current,0.9639223385865731,66
23,1,within,1,15.625,L1,pre_reset,0.976648350739363,66
23,1,within,1,15.625,L2,spike50,0.971728585514893,66
23,1,within,1,15.625,L2,syn_current,0.9552686495568936,66
23,1,within,1,15.625,L2,pre_reset,0.9803816345667024,66
23,1,within,2,31.25,L1,spike50,0.9174027049884872,64
23,1,within,2,31.25,L1,syn_current,0.9310022977739578,64
23,1,within,2,31.25,L1,pre_reset,0.9543081290626055,64
23,1,within,2,31.25,L2,spike50,0.9247302738193619,64
23,1,within,2,31.25,L2,syn_current,0.9275194355245122,64
23,1,within,2,31.25,L2,pre_reset,0.9526241547294404,64
