method,synapse_mode,seed,layer,valid_firing_fraction,valid_spikes_per_neuron_second,zero_tail_firing_fraction
local_snn_fixed250_linear,legacy_local,11,L1,0.009548611007630825,0.6111111044883728,0.00032944275881163776
local_snn_fixed250_linear,legacy_local,11,L2,0.11093749850988388,7.099999904632568,0.011812876909971237
local_snn_fixed250_linear,legacy_local,23,L1,0.010503471828997135,0.6722221970558167,0.0002353162708459422
local_snn_fixed250_linear,legacy_local,23,L2,0.11432291567325592,7.316666603088379,0.014777861535549164
local_snn_fixed250_linear,legacy_local,37,L1,0.012760416604578495,0.8166666626930237,0.00032944275881163776
local_snn_fixed250_linear,legacy_local,37,L2,0.11727430671453476,7.505555629730225,0.015625
what_only,legacy,11,middle,0.13559028506278992,8.677778244018555,0.02056664228439331
what_only,legacy,11,output,0.07870370149612427,5.037036895751953,0.011546184308826923
what_only,legacy,11,short,0.0033854166977107525,0.21666666865348816,4.7063251258805394e-05
what_only,legacy,23,middle,0.07543402910232544,4.827777862548828,0.019625376909971237
what_only,legacy,23,output,0.06851851940155029,4.385185241699219,0.01004016026854515
what_only,legacy,23,short,0.003559027798473835,0.22777777910232544,0.0
what_only,legacy,37,middle,0.0256076380610466,1.6388888359069824,0.006777108646929264
what_only,legacy,37,output,0.028703704476356506,1.8370370864868164,0.004518072120845318
what_only,legacy,37,short,0.0019097222248092294,0.12222222238779068,0.0
what_only,normalized,11,middle,0.0,0.0,0.0
what_only,normalized,11,output,0.0,0.0,0.0
what_only,normalized,11,short,0.0,0.0,0.0
what_only,normalized,23,middle,0.0,0.0,0.0
what_only,normalized,23,output,0.0,0.0,0.0
what_only,normalized,23,short,0.0,0.0,0.0
what_only,normalized,37,middle,0.0,0.0,0.0
what_only,normalized,37,output,0.0,0.0,0.0
what_only,normalized,37,short,0.0,0.0,0.0
all_skip,legacy,11,long,0.21449652314186096,13.727777481079102,0.42342808842658997
all_skip,legacy,11,middle,0.13376736640930176,8.561111450195312,0.020425451919436455
all_skip,legacy,11,output,0.0962962955236435,6.162962913513184,0.1310240924358368
all_skip,legacy,11,short,0.003559027798473835,0.22777777910232544,4.7063251258805394e-05
all_skip,legacy,23,long,0.02482638880610466,1.5888888835906982,0.26538968086242676
all_skip,legacy,23,middle,0.006076388992369175,0.3888888955116272,0.00381212355569005
all_skip,legacy,23,output,0.01666666753590107,1.0666667222976685,0.1465863436460495
all_skip,legacy,23,short,0.0013020833721384406,0.0833333358168602,0.0
all_skip,legacy,37,long,0.04392361268401146,2.8111112117767334,0.12212914228439331
all_skip,legacy,37,middle,0.0016493055736646056,0.10555555671453476,0.001270707813091576
all_skip,legacy,37,output,0.032407406717538834,2.0740740299224854,0.019076304510235786
all_skip,legacy,37,short,0.0007812500116415322,0.05000000074505806,4.7063251258805394e-05
all_skip,normalized,11,long,0.0,0.0,0.0
all_skip,normalized,11,middle,0.0,0.0,0.0
all_skip,normalized,11,output,0.0,0.0,0.0
all_skip,normalized,11,short,0.0,0.0,0.0
all_skip,normalized,23,long,0.0,0.0,0.0
all_skip,normalized,23,middle,0.0,0.0,0.0
all_skip,normalized,23,output,0.0,0.0,0.0
all_skip,normalized,23,short,0.0,0.0,0.0
all_skip,normalized,37,long,0.0,0.0,0.0
all_skip,normalized,37,middle,0.0,0.0,0.0
all_skip,normalized,37,output,0.0,0.0,0.0
all_skip,normalized,37,short,0.0,0.0,0.0
additive_context,legacy,11,long,0.22326388955116272,14.288888931274414,0.45317205786705017
additive_context,legacy,11,middle,0.09869791567325592,6.316666603088379,0.012848268263041973
additive_context,legacy,11,output,0.06481481343507767,4.148148059844971,0.09236947447061539
additive_context,legacy,11,short,0.0024305556435137987,0.15555556118488312,4.7063251258805394e-05
additive_context,legacy,23,long,0.1284722238779068,8.222222328186035,0.21136106550693512
additive_context,legacy,23,middle,0.01154513843357563,0.7388888597488403,0.0019295933889225125
additive_context,legacy,23,output,0.07870370149612427,5.037036895751953,0.10542168468236923
additive_context,legacy,23,short,0.0016493055736646056,0.10555555671453476,0.0
additive_context,legacy,37,long,0.0,0.0,0.0
additive_context,legacy,37,middle,0.0,0.0,0.0
additive_context,legacy,37,output,0.0,0.0,0.0
additive_context,legacy,37,short,0.0004340277810115367,0.02777777798473835,0.0
additive_context,normalized,11,long,0.0,0.0,0.0
additive_context,normalized,11,middle,0.0,0.0,0.0
additive_context,normalized,11,output,0.0,0.0,0.0
additive_context,normalized,11,short,0.0,0.0,0.0
additive_context,normalized,23,long,0.0,0.0,0.0
additive_context,normalized,23,middle,0.0,0.0,0.0
additive_context,normalized,23,output,0.0,0.0,0.0
additive_context,normalized,23,short,0.0,0.0,0.0
additive_context,normalized,37,long,0.0,0.0,0.0
additive_context,normalized,37,middle,0.0,0.0,0.0
additive_context,normalized,37,output,0.0,0.0,0.0
additive_context,normalized,37,short,0.0,0.0,0.0
context_gain,legacy,11,long,0.2649305462837219,16.955554962158203,0.5921498537063599
context_gain,legacy,11,middle,0.09279514104127884,5.938889026641846,0.014448418281972408
context_gain,legacy,11,output,0.06574074178934097,4.207407474517822,0.019076304510235786
context_gain,legacy,11,short,0.002864583395421505,0.18333333730697632,4.7063251258805394e-05
