family,method,synapse_mode,seed,best_epoch,stopped_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
raw_fixed250_linear,raw_fixed250_linear,reference,,,,0.9983660130718954,0.5872895622895623,0.548475135975136,0.5547945205479452,0.5372171762394753
local_snn_fixed250_linear,local_snn_fixed250_linear,legacy_local,11.0,95.0,100.0,0.8882152852770103,0.5126322751322752,0.585563048063048,0.6027397260273972,0.5942164804280482
local_snn_fixed250_linear,local_snn_fixed250_linear,legacy_local,23.0,99.0,100.0,0.9932776101893749,0.5725108225108225,0.5991203241203241,0.6095890410958904,0.598812171164245
local_snn_fixed250_linear,local_snn_fixed250_linear,legacy_local,37.0,97.0,100.0,0.9653223302528212,0.5555976430976431,0.6116563991563991,0.6232876712328768,0.6081295645788679
hierarchical_snn,what_only,legacy,11.0,61.0,91.0,0.8427783467759361,0.3712421837421838,0.3641240703740703,0.3835616438356164,0.34894589207711774
hierarchical_snn,what_only,legacy,23.0,62.0,92.0,0.8470296136681007,0.4314574314574315,0.4282363469863469,0.4383561643835616,0.4089187468694868
hierarchical_snn,what_only,legacy,37.0,48.0,78.0,0.7929503711799218,0.3425685425685426,0.40831876456876454,0.4246575342465753,0.3778150688165551
hierarchical_snn,what_only,normalized,11.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,what_only,normalized,23.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,what_only,normalized,37.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,all_skip,legacy,11.0,49.0,79.0,0.7937065969326867,0.35986652236652233,0.3764464701964701,0.3972602739726027,0.34561227099926795
hierarchical_snn,all_skip,legacy,23.0,32.0,62.0,0.7609317271953544,0.3404220779220779,0.3371739371739371,0.3424657534246575,0.33156970875418157
hierarchical_snn,all_skip,legacy,37.0,97.0,100.0,0.8937991583510826,0.3033489658489658,0.3660069097569097,0.3767123287671233,0.35534775916776096
hierarchical_snn,all_skip,normalized,11.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,all_skip,normalized,23.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,all_skip,normalized,37.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,additive_context,legacy,11.0,79.0,100.0,0.8784388960281412,0.3497775372775373,0.34305833055833057,0.3561643835616438,0.32841638378276955
hierarchical_snn,additive_context,legacy,23.0,77.0,100.0,0.8646744316045004,0.38704906204906203,0.36458194583194575,0.363013698630137,0.3391012599990928
hierarchical_snn,additive_context,legacy,37.0,69.0,99.0,0.8565359836041829,0.33519119769119765,0.3139006826506826,0.3287671232876712,0.3031781081694401
hierarchical_snn,additive_context,normalized,11.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,additive_context,normalized,23.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,additive_context,normalized,37.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,context_gain,legacy,11.0,53.0,83.0,0.7670195566851538,0.33208874458874454,0.310755217005217,0.3150684931506849,0.2761335029237843
hierarchical_snn,context_gain,legacy,23.0,73.0,100.0,0.9053315823592278,0.3660173160173161,0.40646991896991896,0.4178082191780822,0.4062053446826179
hierarchical_snn,context_gain,legacy,37.0,78.0,100.0,0.9022743207017103,0.3286796536796537,0.37248029748029743,0.3835616438356164,0.3590826605312735
hierarchical_snn,context_gain,normalized,11.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,context_gain,normalized,23.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
hierarchical_snn,context_gain,normalized,37.0,1.0,31.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932
