synapse_mode,seed,contrast,test_ba_delta
legacy,11,all_skip_minus_what,0.012322399822399799
legacy,11,additive_context_minus_what,-0.021065739815739726
legacy,11,context_gain_minus_what,-0.053368853368853275
legacy,11,context_gain_minus_additive,-0.03230311355311355
legacy,23,all_skip_minus_what,-0.09106240981240976
legacy,23,additive_context_minus_what,-0.06365440115440113
legacy,23,context_gain_minus_what,-0.02176642801642792
legacy,23,context_gain_minus_additive,0.04188797313797321
legacy,37,all_skip_minus_what,-0.04231185481185484
legacy,37,additive_context_minus_what,-0.09441808191808193
legacy,37,context_gain_minus_what,-0.03583846708846711
legacy,37,context_gain_minus_additive,0.05857961482961482
normalized,11,all_skip_minus_what,0.0
normalized,11,additive_context_minus_what,0.0
normalized,11,context_gain_minus_what,0.0
normalized,11,context_gain_minus_additive,0.0
normalized,23,all_skip_minus_what,0.0
normalized,23,additive_context_minus_what,0.0
normalized,23,context_gain_minus_what,0.0
normalized,23,context_gain_minus_additive,0.0
normalized,37,all_skip_minus_what,0.0
normalized,37,additive_context_minus_what,0.0
normalized,37,context_gain_minus_what,0.0
normalized,37,context_gain_minus_additive,0.0
