method,synapse_mode,layer,n_runs,valid_firing_fraction_mean,valid_firing_fraction_std,zero_tail_firing_fraction_mean,zero_tail_firing_fraction_std,valid_spikes_per_neuron_second_mean
additive_context,legacy,long,3,0.11724537114302318,0.11205455261222776,0.22151104112466177,0.22675646630613336,7.503703753153483
additive_context,legacy,middle,3,0.036747684702277184,0.05396013244406296,0.004925953883988162,0.006928429223284701,2.3518518209457397
additive_context,legacy,output,3,0.047839504977067314,0.04200820134487082,0.0659303863843282,0.05746913897426219,3.061728318532308
additive_context,legacy,short,3,0.0015046296660633136,0.0010060960267872824,1.5687750419601798e-05,2.7171980783210287e-05,0.09629629862805207
additive_context,normalized,long,3,0.0,0.0,0.0,0.0,0.0
additive_context,normalized,middle,3,0.0,0.0,0.0,0.0,0.0
additive_context,normalized,output,3,0.0,0.0,0.0,0.0,0.0
additive_context,normalized,short,3,0.0,0.0,0.0,0.0,0.0
all_skip,legacy,long,3,0.09441550821065903,0.10443066407976816,0.27031563719113666,0.15070986205591805,6.042592525482178
all_skip,legacy,middle,3,0.04716435365844518,0.07503306691081481,0.008502761096072694,0.010403250253950622,3.0185186341404915
all_skip,legacy,output,3,0.048456789925694466,0.042171156486255315,0.09889558019737403,0.06956208373889453,3.101234555244446
all_skip,legacy,short,3,0.0018807870607512693,0.001476545233870372,3.1375500839203596e-05,2.7171980783210287e-05,0.12037037188808124
all_skip,normalized,long,3,0.0,0.0,0.0,0.0,0.0
all_skip,normalized,middle,3,0.0,0.0,0.0,0.0,0.0
all_skip,normalized,output,3,0.0,0.0,0.0,0.0,0.0
all_skip,normalized,short,3,0.0,0.0,0.0,0.0,0.0
context_gain,legacy,long,3,0.229890043536822,0.030346741492873506,0.49530936280886334,0.0842359992251323,14.712962786356607
context_gain,legacy,middle,3,0.06322338059544563,0.02568100087158406,0.01943712340046962,0.004545199398933928,4.0462963581085205
context_gain,legacy,output,3,0.09074074029922485,0.022737089677742794,0.032128513480226197,0.02131613778980092,5.807407379150391
context_gain,legacy,short,3,0.003009259312724074,0.0002505860393996823,9.412650251761079e-05,4.7063251258805394e-05,0.19259259601434073
context_gain,normalized,long,3,0.0,0.0,0.0,0.0,0.0
context_gain,normalized,middle,3,0.0,0.0,0.0,0.0,0.0
context_gain,normalized,output,3,0.0,0.0,0.0,0.0,0.0
context_gain,normalized,short,3,0.0,0.0,0.0,0.0,0.0
local_snn_fixed250_linear,legacy_local,L1,3,0.010937499813735485,0.0016493056165544698,0.00029806726282307255,5.434395316486841e-05,0.699999988079071
local_snn_fixed250_linear,legacy_local,L2,3,0.11417824029922485,0.003170880442167592,0.014071912815173468,0.0020017100964507006,7.307407379150391
what_only,legacy,middle,3,0.07887731740872066,0.055072114869035474,0.01565637594709794,0.0077040597068789,5.048148314158122
what_only,legacy,output,3,0.058641975124677025,0.026422708427297437,0.00870147223273913,0.003700358695399884,3.7530864079793296
what_only,legacy,short,3,0.002951388906997939,0.0009062766195613611,1.5687750419601798e-05,2.7171980783210287e-05,0.1888888900478681
what_only,normalized,middle,3,0.0,0.0,0.0,0.0,0.0
what_only,normalized,output,3,0.0,0.0,0.0,0.0,0.0
what_only,normalized,short,3,0.0,0.0,0.0,0.0,0.0
