method,synapse_mode,n_runs,train_ba_mean,train_ba_std,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,test_accuracy_mean,test_macro_f1_mean,best_epoch_mean,stopped_epoch_mean
additive_context,legacy,3,0.8665497704122749,0.011071226892077277,0.35733926567259894,0.02674311736092442,0.340513653013653,0.025436276206766268,0.3493150684931507,0.3235652506504341,75.0,99.66666666666667
additive_context,normalized,3,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.07534246575342465,0.01167728237791932,1.0,31.0
all_skip,legacy,3,0.8161458274930412,0.06921761240165762,0.3345458553791887,0.028713342581611217,0.35987577237577234,0.020341487081609128,0.3721461187214612,0.3441765796404035,59.333333333333336,80.33333333333333
all_skip,normalized,3,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.07534246575342465,0.01167728237791932,1.0,31.0
context_gain,legacy,3,0.8582084865820306,0.07898672302364347,0.3422619047619048,0.020643283366313197,0.3632351444851445,0.04852247606497186,0.3721461187214612,0.34714050271255853,68.0,94.33333333333333
context_gain,normalized,3,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.07534246575342465,0.01167728237791932,1.0,31.0
local_snn_fixed250_linear,legacy_local,3,0.9489384085730688,0.05441367196030802,0.5469135802469136,0.030869399406820385,0.5987799237799237,0.013050005636551608,0.6118721461187214,0.6003860720570536,97.0,100.0
raw_fixed250_linear,reference,1,0.9983660130718954,,0.5872895622895623,,0.548475135975136,,0.5547945205479452,0.5372171762394753,,
what_only,legacy,3,0.8275861105413195,0.03007065260981395,0.38175605258938594,0.045367551406015234,0.4002263939763939,0.03281327245880035,0.4155251141552511,0.37855990258771993,57.0,87.0
what_only,normalized,3,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.07534246575342465,0.01167728237791932,1.0,31.0
