method,seed,legacy,normalized,normalized_minus_legacy_test_ba
additive_context,11.0,0.34305833055833057,0.08333333333333333,-0.25972499722499726
additive_context,23.0,0.36458194583194575,0.08333333333333333,-0.28124861249861244
additive_context,37.0,0.3139006826506826,0.08333333333333333,-0.2305673493173493
all_skip,11.0,0.3764464701964701,0.08333333333333333,-0.2931131368631368
all_skip,23.0,0.3371739371739371,0.08333333333333333,-0.2538406038406038
all_skip,37.0,0.3660069097569097,0.08333333333333333,-0.2826735764235764
context_gain,11.0,0.310755217005217,0.08333333333333333,-0.2274218836718837
context_gain,23.0,0.40646991896991896,0.08333333333333333,-0.32313658563658565
context_gain,37.0,0.37248029748029743,0.08333333333333333,-0.2891469641469641
what_only,11.0,0.3641240703740703,0.08333333333333333,-0.280790737040737
what_only,23.0,0.4282363469863469,0.08333333333333333,-0.34490301365301357
what_only,37.0,0.40831876456876454,0.08333333333333333,-0.3249854312354312
