feature,block_index,layer,aggregation,coef_fro_norm_mean,coef_fro_norm_std,coef_rms_mean,coef_rms_std,coef_norm_fraction_mean,coef_norm_fraction_std
l1_fixed250,0,l1,fixed250,7.0005553822685975,2.12844588632804,0.04465569948607422,0.013577099913097877,1.0,0.0
l1_l2_fixed250,0,l1,fixed250,1.024160153715475,0.9780242228976589,0.006532994248680465,0.0062386987035971475,0.3398416380565947,0.01405059858468799
l1_l2_fixed250,1,l2,fixed250,1.9150266429031682,1.7257489530970465,0.012215724268093269,0.011008344685494857,0.6601583619434054,0.014050598584687978
l1_l2_whole,0,l1,whole_count,0.6655576807016287,0.010756297061660446,0.016982049084470846,0.00027445249294652464,0.27244333949858185,0.0028473477978762088
l1_l2_whole,1,l2,whole_count,1.777299540307214,0.013520859675539572,0.04534871868578936,0.0003449917405088017,0.7275566605014182,0.0028473477978761407
l1_whole,0,l1,whole_count,11.463833536930997,4.874891577910312,0.2925056527258987,0.12438538455491056,1.0,0.0
l1fixed250_l2whole,0,l1,fixed250,2.909134834110566,1.932355236655572,0.018557020668039256,0.012326261280211415,0.5103679885373785,0.03238786251075279
l1fixed250_l2whole,1,l2,whole_count,2.649837459612099,1.4344999610664646,0.06761197580585905,0.03660200979849139,0.48963201146262153,0.03238786251075286
l1whole_l2fixed250,0,l1,whole_count,0.46617421005467335,0.1504223866008232,0.011894676519572635,0.0038381051360800228,0.1664538013852657,0.003880695855926341
l1whole_l2fixed250,1,l2,fixed250,2.334142442103347,0.7478430120902564,0.014889213463872467,0.0047704004878311446,0.8335461986147342,0.003880695855926265
l2_fixed250,0,l2,fixed250,2.4083680352252674,0.7742532445929765,0.015362689581070751,0.004938868179549714,1.0,0.0
l2_whole,0,l2,whole_count,7.4184731502857915,9.497695921957696,0.18928618634101516,0.24233863271780207,1.0,0.0
