seed,aggregation,split,both_correct,both_wrong,l1_only_correct,l2_only_correct,oracle_union_accuracy,prediction_disagreement
11,fixed250,test,0.4863013698630137,0.3561643835616438,0.0547945205479452,0.10273972602739725,0.6438356164383562,0.3082191780821918
11,fixed250,train,0.9845094664371773,0.0034423407917383822,0.012048192771084338,0.0,0.9965576592082617,0.01549053356282272
11,fixed250,val,0.4603174603174603,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.7142857142857143,0.3968253968253968
11,whole,test,0.4726027397260274,0.2945205479452055,0.1095890410958904,0.1232876712328767,0.7054794520547946,0.363013698630137
11,whole,train,0.927710843373494,0.03614457831325301,0.03098106712564544,0.0051635111876075735,0.963855421686747,0.04130808950086059
11,whole,val,0.4603174603174603,0.35714285714285715,0.07142857142857142,0.1111111111111111,0.6428571428571429,0.2777777777777778
23,fixed250,test,0.4726027397260274,0.3150684931506849,0.0547945205479452,0.15753424657534246,0.684931506849315,0.363013698630137
23,fixed250,train,0.9931153184165232,0.0051635111876075735,0.0017211703958691911,0.0,0.9948364888123924,0.0017211703958691911
23,fixed250,val,0.42063492063492064,0.29365079365079366,0.11904761904761904,0.16666666666666666,0.7063492063492064,0.3968253968253968
23,whole,test,0.4589041095890411,0.3287671232876712,0.11643835616438356,0.0958904109589041,0.6712328767123288,0.3082191780821918
23,whole,train,0.8691910499139415,0.0051635111876075735,0.0,0.12564543889845095,0.9948364888123924,0.12908777969018934
23,whole,val,0.46825396825396826,0.35714285714285715,0.0873015873015873,0.0873015873015873,0.6428571428571429,0.29365079365079366
37,fixed250,test,0.4863013698630137,0.3013698630136986,0.10273972602739725,0.1095890410958904,0.6986301369863014,0.3356164383561644
37,fixed250,train,0.9793459552495697,0.0051635111876075735,0.0,0.01549053356282272,0.9948364888123924,0.020654044750430294
37,fixed250,val,0.4603174603174603,0.30952380952380953,0.0873015873015873,0.14285714285714285,0.6904761904761905,0.36507936507936506
37,whole,test,0.5273972602739726,0.3013698630136986,0.0958904109589041,0.07534246575342465,0.6986301369863014,0.3150684931506849
37,whole,train,0.9104991394148021,0.03270223752151463,0.04991394148020654,0.0068846815834767644,0.9672977624784854,0.06540447504302926
37,whole,val,0.4523809523809524,0.31746031746031744,0.09523809523809523,0.1349206349206349,0.6825396825396826,0.35714285714285715
