seed,feature,block_index,layer,aggregation,feature_dim,coef_fro_norm,coef_rms,coef_norm_fraction
11,l1_fixed250,0,l1,fixed250,2048,8.1387620745222,0.05191618286587205,1.0
11,l1_l2_fixed250,0,l1,fixed250,2048,0.6440720155316413,0.0041084578011938615,0.33521661482660564
11,l1_l2_fixed250,1,l2,fixed250,2048,1.277288642157699,0.008147670384215462,0.6647833851733943
11,l1_l2_whole,0,l1,whole_count,128,0.6555045349183211,0.016725537860732134,0.2691844094174436
11,l1_l2_whole,1,l2,whole_count,128,1.7796459120816872,0.04540858757739694,0.7308155905825564
11,l1_whole,0,l1,whole_count,128,14.20204110056957,0.36237243752531545,1.0
11,l1fixed250_l2whole,0,l1,fixed250,2048,2.471740608773147,0.015766935593777273,0.4997402534776721
11,l1fixed250_l2whole,1,l2,whole_count,128,2.474310047687694,0.06313330294037878,0.500259746522328
11,l1whole_l2fixed250,0,l1,whole_count,128,0.29394918438039247,0.00750026575040888,0.16655495039604593
11,l1whole_l2fixed250,1,l2,fixed250,2048,1.4709289154984744,0.009382878361658064,0.833445049603954
11,l2_fixed250,0,l2,fixed250,2048,1.514856248597826,0.009663085527946301,1.0
11,l2_whole,0,l2,whole_count,128,1.9299950970697561,0.04924482493639783,1.0
23,l1_fixed250,0,l1,fixed250,2048,8.317889428505664,0.05305881467898244,1.0
23,l1_l2_fixed250,0,l1,fixed250,2048,0.2932367228468721,0.00187052173130408,0.32868655186501716
23,l1_l2_fixed250,1,l2,fixed250,2048,0.5989102822039967,0.0038203765445470536,0.6713134481349828
23,l1_l2_whole,0,l1,whole_count,128,0.6642677180417831,0.016949135018805583,0.2736960811303223
23,l1_l2_whole,1,l2,whole_count,128,1.7627590603412344,0.044977710805249656,0.7263039188696778
23,l1_whole,0,l1,whole_count,128,5.835477191550201,0.14889522421820212,1.0
23,l1fixed250_l2whole,0,l1,fixed250,2048,5.022696448362785,0.03203917560254724,0.5467344255847603
23,l1fixed250_l2whole,1,l2,whole_count,128,4.16402422134949,0.10624723561350298,0.4532655744152397
23,l1whole_l2fixed250,0,l1,whole_count,128,0.5718008149615842,0.014589794074619399,0.170282933954439
23,l1whole_l2fixed250,1,l2,fixed250,2048,2.7861447036103213,0.01777248144115406,0.8297170660455611
23,l2_fixed250,0,l2,fixed250,2048,2.8814981987872734,0.018380729900462574,1.0
23,l2_whole,0,l2,whole_count,128,18.385466236240124,0.46911469752038154,1.0
37,l1_fixed250,0,l1,fixed250,2048,4.545014643777928,0.028992100913368162,1.0
37,l1_l2_fixed250,0,l1,fixed250,2048,2.1351717227679115,0.013620003213543456,0.35562174747816117
37,l1_l2_fixed250,1,l2,fixed250,2048,3.868881004347809,0.024679125875517294,0.6443782525218389
37,l1_l2_whole,0,l1,whole_count,128,0.6769007891447821,0.017271474373874822,0.2744495279479797
37,l1_l2_whole,1,l2,whole_count,128,1.7894936484987205,0.04565985767472148,0.7255504720520204
37,l1_whole,0,l1,whole_count,128,14.353982318673214,0.36624929643417853,1.0
37,l1fixed250_l2whole,0,l1,fixed250,2048,1.2329674451957666,0.007864950807793257,0.4846292865497032
37,l1fixed250_l2whole,1,l2,whole_count,128,1.3111781097991118,0.033455388863695416,0.5153707134502968
37,l1whole_l2fixed250,0,l1,whole_count,128,0.5327726308220434,0.013593969733689627,0.16252351980531213
37,l1whole_l2fixed250,1,l2,fixed250,2048,2.7453537072012457,0.017512280588805273,0.8374764801946878
37,l2_fixed250,0,l2,fixed250,2048,2.828749658290703,0.01804425331480338,1.0
37,l2_whole,0,l2,whole_count,128,1.9399581175474943,0.04949903656626615,1.0
