seed,feature,feature_dim,probe_C,train_ba,val_ba,test_ba,train_test_gap
11,l1_fixed250,2048,1.0,0.996545584045584,0.5619588744588745,0.5310168997668997,0.4655286842786843
11,l1_l2_fixed250,4096,0.01,0.9858411000646928,0.5782828282828283,0.5851572039072039,0.4006838961574889
11,l1_l2_whole,256,0.01,0.9405052604619244,0.549416786916787,0.5953102453102452,0.34519501515167916
11,l1_whole,128,1.0,0.958034309862185,0.5173039923039923,0.5707944832944832,0.38723982656770173
11,l1fixed250_l2whole,2176,0.1,0.9922548479000092,0.5596019721019722,0.6074266011766012,0.384828246723408
11,l1whole_l2fixed250,2176,0.01,0.9831529280216821,0.5637626262626262,0.5775814463314463,0.4055714816902358
11,l2_fixed250,2048,0.01,0.9831529280216821,0.5978896103896104,0.5716290653790653,0.41152386264261676
11,l2_whole,128,0.01,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.35540983068678544
23,l1_fixed250,2048,1.0,0.9949115971174795,0.5269480519480519,0.5154075091575091,0.47950408795997035
23,l1_l2_fixed250,4096,0.001,0.9301947680313339,0.5881373256373258,0.608342352092352,0.32185241593898195
23,l1_l2_whole,256,0.01,0.9049438537624753,0.5571188071188071,0.6005321067821067,0.30441174698036866
23,l1_whole,128,0.1,0.8667800745702091,0.5401214526214526,0.5631444943944944,0.3036355801757147
23,l1fixed250_l2whole,2176,1.0,0.996545584045584,0.6045875420875421,0.5608287545787545,0.43571682946682955
23,l1whole_l2fixed250,2176,0.1,0.9932776101893749,0.5900613275613275,0.6044032356532355,0.3888743745361394
23,l2_fixed250,2048,0.1,0.9932776101893749,0.5832431457431456,0.6119789932289932,0.3812986169603817
23,l2_whole,128,10.0,0.9948789173789173,0.5480218855218856,0.5489850427350426,0.44589387464387475
37,l1_fixed250,2048,0.1,0.9795506719975352,0.5329244829244829,0.5739600677100677,0.4055906042874675
37,l1_l2_fixed250,4096,1.0,0.9983974358974358,0.5886784511784512,0.5659763847263847,0.4324210511710511
37,l1_l2_whole,256,0.01,0.9250923078385099,0.5703463203463203,0.6125201187701187,0.31257218906839124
37,l1_whole,128,1.0,0.9599365106984404,0.5264069264069263,0.6255293317793318,0.33440717891910865
37,l1fixed250_l2whole,2176,0.01,0.9653454613157244,0.5739598364598365,0.6226280663780664,0.34271739493765796
37,l1whole_l2fixed250,2176,0.1,0.9950023741690409,0.5930976430976431,0.5845980408480408,0.4104043333210001
37,l2_fixed250,2048,0.1,0.9950023741690409,0.5930976430976431,0.5845980408480408,0.4104043333210001
37,l2_whole,128,0.01,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.3191761954352058
