aggregation,split,both_correct_mean,both_correct_std,l1_only_correct_mean,l1_only_correct_std,l2_only_correct_mean,l2_only_correct_std,both_wrong_mean,both_wrong_std,prediction_disagreement_mean,prediction_disagreement_std,oracle_union_accuracy_mean,oracle_union_accuracy_std
fixed250,test,0.4817351598173516,0.00790890779711817,0.07077625570776255,0.027681177289913563,0.1232876712328767,0.02985547221603201,0.3242009132420091,0.02851597259542649,0.3356164383561644,0.0273972602739726,0.6757990867579909,0.028515972595426476
fixed250,train,0.9856569133677567,0.006956027339634049,0.004589787722317843,0.006516245950430607,0.0051635111876075735,0.008943463722386628,0.004589787722317843,0.0009937181913762922,0.01262191623637407,0.00978698916192311,0.9954102122776822,0.0009937181913763332
fixed250,val,0.44708994708994704,0.022910724967842272,0.10582010582010581,0.01652115872592169,0.15079365079365079,0.013746434980705371,0.2962962962962963,0.01212321612422183,0.3862433862433862,0.018328579974273833,0.7037037037037037,0.012123216124221816
whole,test,0.4863013698630137,0.03624316864472042,0.10730593607305934,0.010462501586657168,0.09817351598173514,0.02405400400194689,0.30821917808219174,0.01812158432236019,0.3287671232876712,0.029855472216032013,0.6917808219178082,0.018121584322360204
whole,train,0.9024670109007458,0.030075369872819637,0.026965002868617322,0.02519815405163253,0.04589787722317843,0.06906877588133765,0.024670109007458405,0.016980663897818406,0.07860011474469307,0.045353193744054325,0.9753298909925415,0.016980663897818382
whole,val,0.4603174603174603,0.00793650793650795,0.08465608465608465,0.012123216124221799,0.1111111111111111,0.023809523809523808,0.3439153439153439,0.022910724967842296,0.30952380952380953,0.04199605255658081,0.6560846560846562,0.02291072496784226
