epoch,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,loss
1,train,0.1171875,0.10493295019157088,0.03284251223625221,0.03633807016822277,2.4854949951171874
1,val,0.1103448275862069,0.10606060606060606,0.03322357311719013,0.03278831708765678,2.4872286862340465
2,train,0.1234375,0.11095001741553466,0.03743176202892606,0.0411879266399086,2.4787394046783446
2,val,0.1103448275862069,0.10606060606060606,0.033994708994708994,0.033508483853311434,2.4816969559110444
3,train,0.1328125,0.12071577847439917,0.052640693568140995,0.05681909325356442,2.4733154296875
3,val,0.15172413793103448,0.14219114219114218,0.05807939241046997,0.06086269723025004,2.4769154680186305
4,train,0.16875,0.15598659003831417,0.06337729856802178,0.06810286127216628,2.4680576801300047
4,val,0.15172413793103448,0.14102564102564102,0.04282407407407408,0.046072796934865906,2.472963837919564
5,train,0.159375,0.14831504702194356,0.05697260945497843,0.0614682799519362,2.4632874011993406
5,val,0.14482758620689656,0.1346153846153846,0.042920585161964474,0.04617662955356178,2.469611437567349
6,train,0.1515625,0.14117903169627308,0.04963208160627446,0.05361153317947716,2.4591547012329102
6,val,0.15172413793103448,0.14102564102564102,0.04407122422807536,0.0474145584798604,2.467117718992562
7,train,0.1609375,0.1496333571651176,0.05736022263267806,0.06174383477266342,2.4552460670471192
7,val,0.15172413793103448,0.14102564102564102,0.04396910279263221,0.047304689901038796,2.464374371232658
8,train,0.1703125,0.158158261379677,0.06865398345603985,0.07407729442485413,2.450717639923096
8,val,0.15862068965517243,0.14697802197802198,0.05448325163398693,0.059427822853279244,2.460996443649818
9,train,0.171875,0.15981709105574804,0.07443568052637559,0.08044722631494773,2.4460243701934816
9,val,0.14482758620689656,0.13415750915750915,0.050754097935470484,0.05541576783970294,2.45811542478101
10,train,0.16875,0.15723615464994775,0.07451480006248047,0.08059871426897844,2.4411269187927247
10,val,0.14482758620689656,0.13415750915750915,0.050751879699248124,0.05525883674704002,2.4543951034545897
11,train,0.1703125,0.15872082897944967,0.07705051018298574,0.08333455567921433,2.4361182689666747
11,val,0.15172413793103448,0.14010989010989008,0.0552034032003606,0.06034249609475181,2.4505333736025054
12,train,0.1765625,0.16438958551027516,0.08310553915255198,0.08985244036445043,2.4306439399719237
12,val,0.1724137931034483,0.1605061605061605,0.07329610662870793,0.07777593521674943,2.447246423260919
13,train,0.1890625,0.17574016022291883,0.08980210059135141,0.09701742328198355,2.424721622467041
13,val,0.2,0.1859390609390609,0.09315853351961063,0.09923763017419371,2.44322284665601
14,train,0.1984375,0.18418669453152212,0.09738595895116779,0.10514677756791349,2.4176055431365966
14,val,0.2,0.1859390609390609,0.09278639104220499,0.09898244676111556,2.4381209702327333
15,train,0.2046875,0.19002960640891675,0.10280245884865319,0.11104770442263956,2.4107941150665284
15,val,0.2,0.1859390609390609,0.09190630446313557,0.09784402411206308,2.4323218263428785
16,train,0.2140625,0.1987460815047022,0.11510146304155039,0.12449100467171928,2.4027803897857667
16,val,0.2,0.1859390609390609,0.09219654528478059,0.09828764609291993,2.4272258380363727
17,train,0.225,0.20888192267502614,0.12582097000043505,0.13603664683885625,2.3938436031341555
17,val,0.20689655172413793,0.19189144189144192,0.09442280503007587,0.10075775702728859,2.4203068042623586
18,train,0.23125,0.2144723092998955,0.13499749413791215,0.14587364415443418,2.3850202560424805
18,val,0.20689655172413793,0.19189144189144192,0.09416449228093064,0.1004048856198124,2.4134785635717986
19,train,0.24375,0.2260449320794148,0.14323761503291518,0.15496850752760377,2.375252437591553
19,val,0.20689655172413793,0.19143356643356646,0.0948095998974815,0.10157369505355089,2.405979608667308
20,train,0.2453125,0.22762539184952976,0.1452619869873042,0.1572899395843255,2.365272808074951
20,val,0.21379310344827587,0.1983780108780109,0.10781173949366168,0.1143747975636242,2.3978287417313147
21,train,0.259375,0.2409825525548914,0.1586617650362389,0.17097821609484248,2.354358196258545
21,val,0.22758620689655173,0.21244033744033744,0.12573586618034463,0.13199553303445022,2.3895514981500035
22,train,0.2609375,0.2421615384208101,0.16134265757927155,0.17361877617443847,2.3431416511535645
22,val,0.23448275862068965,0.21938478188478186,0.13839558198223648,0.1446079980506893,2.381605057880796
23,train,0.2578125,0.23871327892672486,0.16104295447910263,0.17341794836517177,2.3314514636993406
23,val,0.22758620689655173,0.21297452547452547,0.13705692455692456,0.14289281599626427,2.3739101886749268
24,train,0.25625,0.23704390826915087,0.16525576199296824,0.17780587660279354,2.3194468021392822
24,val,0.22758620689655173,0.21297452547452547,0.13862491373360938,0.14476361819090452,2.3649312512627962
25,train,0.2578125,0.2384492633496421,0.16825025553295714,0.1808532933667893,2.308381271362305
25,val,0.25517241379310346,0.24327755577755575,0.15772422495568275,0.16229487497147788,2.354197283448844
26,train,0.2609375,0.24159338933859567,0.17567867141475313,0.18859172919450035,2.29512300491333
26,val,0.2482758620689655,0.23686729936729936,0.15753889829976786,0.1619203385320327,2.344951978223077
27,train,0.265625,0.2461562594187072,0.17614864777370218,0.18938900586056293,2.283629608154297
