epoch,train_loss,val_balanced_accuracy,val_accuracy
1,2.6458175659179686,0.1759929884929885,0.1793103448275862
2,2.351949119567871,0.21414927664927666,0.2206896551724138
3,2.197006273269653,0.28219465719465725,0.2896551724137931
4,2.0794326782226564,0.299517612017612,0.3103448275862069
5,1.9908228397369385,0.30022523772523774,0.3103448275862069
6,1.9335336923599242,0.35435166685166686,0.3586206896551724
7,1.890317153930664,0.3732008732008732,0.3793103448275862
8,1.8587477922439575,0.3568237318237319,0.36551724137931035
9,1.8320072174072266,0.34987928737928736,0.3586206896551724
10,1.8112895011901855,0.32540838790838794,0.33793103448275863
11,1.793522024154663,0.328511766011766,0.3448275862068966
12,1.7790172100067139,0.3349220224220224,0.35172413793103446
13,1.7684046745300293,0.3618048618048619,0.3793103448275862
14,1.754582667350769,0.34334646834646837,0.36551724137931035
15,1.7425198078155517,0.3502909127909128,0.3724137931034483
16,1.7328840732574462,0.35074878824878825,0.3724137931034483
17,1.7259932518005372,0.3688094313094313,0.38620689655172413
18,1.715003776550293,0.37567756317756323,0.3931034482758621
19,1.7029306888580322,0.3766696266696267,0.3931034482758621
20,1.6956465005874635,0.4018527768527768,0.4206896551724138
21,1.687767744064331,0.39590039590039594,0.41379310344827586
22,1.6816712856292724,0.3841690716690717,0.4
23,1.6780969858169557,0.3654724904724904,0.3793103448275862
24,1.674195909500122,0.37836931586931594,0.3931034482758621
25,1.6664515733718872,0.3891085766085766,0.4068965517241379
26,1.6579256057739258,0.39696877196877195,0.41379310344827586
27,1.653072190284729,0.41673372923372926,0.43448275862068964
28,1.6492388725280762,0.4167337292337292,0.43448275862068964
29,1.6459686279296875,0.41078134828134827,0.42758620689655175
30,1.6394007205963135,0.4171916046916047,0.43448275862068964
31,1.635261106491089,0.4171916046916047,0.43448275862068964
32,1.631768035888672,0.3979608354608355,0.41379310344827586
33,1.6291795015335082,0.41078134828134827,0.42758620689655175
34,1.6272929191589356,0.4112392237392237,0.42758620689655175
35,1.6231274127960205,0.4232711732711733,0.43448275862068964
36,1.6195550918579102,0.4232711732711733,0.43448275862068964
37,1.6164921283721925,0.414011914011914,0.42758620689655175
38,1.614484977722168,0.42281329781329785,0.43448275862068964
39,1.6097094774246217,0.42004060754060757,0.43448275862068964
40,1.6052726268768311,0.3822913197913198,0.4
41,1.605815553665161,0.38440263440263434,0.4068965517241379
42,1.6048321723937988,0.38440263440263434,0.4068965517241379
43,1.6013065338134767,0.40694028194028187,0.42758620689655175
44,1.599062728881836,0.41619954119954117,0.43448275862068964
45,1.5980849742889405,0.4266243016243016,0.4413793103448276
46,1.5941621303558349,0.42423317423317425,0.4413793103448276
47,1.5905698776245116,0.43064343064343064,0.4482758620689655
48,1.5887920141220093,0.4316354941354941,0.4482758620689655
49,1.5857908010482789,0.43688024938024944,0.45517241379310347
50,1.5833447456359864,0.4235255485255485,0.4413793103448276
51,1.5796823024749755,0.443921818921819,0.46206896551724136
52,1.5745067358016969,0.4375115625115626,0.45517241379310347
53,1.5748130321502685,0.44036056536056534,0.45517241379310347
