step,time_ms,state_envelope,l1_spikes,l2_spikes,l3_spikes,normalized_state_envelope
0,0.0,0.09172523766756058,0.0,0.0,0.0,0.7617312957722985
1,15.625,0.1200646162033081,0.0,0.0,0.0,0.997075374265224
2,31.25,0.1204167902469635,0.0,0.0,0.0,1.0
3,46.875,0.10963858664035797,0.0,0.0,0.0,0.9104925186554097
4,62.5,0.09551629424095154,0.0,0.0,0.0,0.7932140862171846
5,78.125,0.08145230263471603,0.0,0.0,0.0,0.6764198121181028
6,93.75,0.06877182424068451,0.0,0.0,0.0,0.5711149093049231
7,109.375,0.05784836411476135,0.0,0.0,0.0,0.48040114668494155
8,125.0,0.048645708709955215,0.0,0.0,0.0,0.4039777892284576
9,140.625,0.040973108261823654,0.0,0.0,0.0,0.34026075747237294
10,156.25,0.03460096940398216,0.0,0.0,0.0,0.28734339565951583
11,171.875,0.029309680685400963,0.0,0.0,0.0,0.24340194274643567
12,187.5,0.024907201528549194,0.0,0.0,0.0,0.20684159972597566
13,203.125,0.02123264968395233,0.0,0.0,0.0,0.17632632160686368
14,218.75,0.018154172226786613,0.0,0.0,0.0,0.1507611371267588
15,234.375,0.01556483469903469,0.0,0.0,0.0,0.1292580101754305
16,250.0,0.013378297910094261,0.0,0.0,0.0,0.11109993782973812
17,265.625,0.011524869129061699,0.0,0.0,0.0,0.09570815752043613
18,281.25,0.009948182851076126,0.0,0.0,0.0,0.08261458249031002
19,296.875,0.008602491579949856,0.0,0.0,0.0,0.07143930312630785
20,312.5,0.007450497709214687,0.0,0.0,0.0,0.061872581837918265
21,328.125,0.006461647339165211,0.0,0.0,0.0,0.05366068407829988
22,343.75,0.005610773339867592,0.0,0.0,0.0,0.046594609674950015
23,359.375,0.004877043887972832,0.0,0.0,0.0,0.04050136096445084
24,375.0,0.004243123345077038,0.0,0.0,0.0,0.03523697431541558
25,390.625,0.0036945128813385963,0.0,0.0,0.0,0.03068104434407775
26,406.25,0.0032190331257879734,0.0,0.0,0.0,0.026732427589093177
27,421.875,0.002806404372677207,0.0,0.0,0.0,0.02330575633947339
28,437.5,0.002447916427627206,0.0,0.0,0.0,0.02032869687530086
29,453.125,0.002136161085218191,0.0,0.0,0.0,0.017739727830621676
30,468.75,0.0018648167606443167,0.0,0.0,0.0,0.015486351669229457
31,484.375,0.00162847142200917,0.0,0.0,0.0,0.013523624227728778
32,500.0,0.0014224799815565348,0.0,0.0,0.0,0.011812970422473163
33,515.625,0.0012428456684574485,0.0,0.0,0.0,0.010321199111091476
34,531.25,0.0010861216578632593,0.0,0.0,0.0,0.009019686171967597
35,546.875,0.0009493302786722779,0.0,0.0,0.0,0.00788370356596693
36,562.5,0.0008298943284898996,0.0,0.0,0.0,0.006891848942226947
37,578.125,0.0007255803211592138,0.0,0.0,0.0,0.006025574337857012
38,593.75,0.0006344498251564801,0.0,0.0,0.0,0.005268782068142517
39,609.375,0.0005548188928514719,0.0,0.0,0.0,0.004607487807253379
40,625.0,0.0004852230194956064,0.0,0.0,0.0,0.0040295295905202234
41,640.625,0.0004243875155225396,0.0,0.0,0.0,0.0035243217715084482
42,656.25,0.0003712020698003471,0.0,0.0,0.0,0.0030826437828067547
43,671.875,0.0003246990963816643,0.0,0.0,0.0,0.002696460316835692
44,687.5,0.0002840346423909068,0.0,0.0,0.0,0.0023587627755928264
45,703.125,0.0002484725264366716,0.0,0.0,0.0,0.002063437548261151
46,718.75,0.00021737012139055878,0.0,0.0,0.0,0.0018051479444415777
47,734.375,0.00019016634905710816,0.0,0.0,0.0,0.0015792344960125152
