model,seed,best_epoch,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
count_250ms_plus_linear,,,1.0,1.0,1.0,0.7142857142857143,0.7077050264550264,0.7066720517807474,0.5473684210526316,0.5562169312169313,0.548820612365504
continuous_snn_plus_linear,11.0,94.0,0.9857594936708861,0.9863598127590446,0.9866640719781925,0.6349206349206349,0.626818783068783,0.6229484231916974,0.47368421052631576,0.4770171957671958,0.46186433554181566
continuous_snn_plus_linear,23.0,86.0,0.9873417721518988,0.9877405794906884,0.9881660351271879,0.626984126984127,0.6415674603174603,0.6163855047601178,0.45263157894736844,0.48148148148148145,0.45173989088042116
continuous_snn_plus_linear,101.0,80.0,0.9683544303797469,0.9696160713465608,0.9694281756645383,0.6587301587301587,0.6579365079365079,0.6439291986441109,0.43157894736842106,0.45138888888888884,0.43534333313745077
