representation,quantile,threshold,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test
r2_dense,0.0,-inf,0.5065497002997003,0.5136986301369864,0.49354173518260214,1.0,82.68493150684931,0.0
r2_hard_token,0.0,-inf,0.4290854978354978,0.4315068493150685,0.4143375469597033,1.0,82.68493150684931,0.0
magnitude_only,0.0,-inf,0.17261211011211008,0.1780821917808219,0.13453399963203885,1.0,,0.0
r3_gate,0.2,0.10638930648565292,0.5125020812520812,0.5205479452054794,0.5015162340239739,0.7649933730947648,63.25342465753425,0.0
r4_peak,0.2,0.10638930648565292,0.5428300865800865,0.5547945205479452,0.5411057399548448,0.17312789927104041,14.315068493150685,0.0
r4_count_only,0.2,0.10638930648565292,0.13944527694527695,0.14383561643835616,0.11671300549009526,0.17312789927104041,14.315068493150685,0.0
r3_gate,0.4,0.3961535692214966,0.45492632367632363,0.4589041095890411,0.4277861271282324,0.5620444002650762,46.47260273972603,0.0
r4_peak,0.4,0.3961535692214966,0.4808170995670995,0.4863013698630137,0.4654720097444556,0.13162690523525514,10.883561643835616,0.0
r4_count_only,0.4,0.3961535692214966,0.11408868908868908,0.11643835616438356,0.07201036980448744,0.13162690523525514,10.883561643835616,0.0
r3_gate,0.6,0.7587283849716187,0.4060307747807748,0.4041095890410959,0.399206217240273,0.36762756792577866,30.397260273972602,0.0
r4_peak,0.6,0.7587283849716187,0.44077380952380957,0.4383561643835616,0.4319671552217992,0.08788933068257124,7.267123287671233,0.0
r4_count_only,0.6,0.7587283849716187,0.18453629703629704,0.18493150684931506,0.13830176791459306,0.08788933068257124,7.267123287671233,0.0
r3_gate,0.8,1.2741446495056152,0.28577394827394825,0.2876712328767123,0.2903666038213442,0.17768389662027834,14.691780821917808,0.11643835616438356
r4_peak,0.8,1.2741446495056152,0.2704718892218892,0.2808219178082192,0.262561674562582,0.0444831013916501,3.6780821917808217,0.11643835616438356
r4_count_only,0.8,1.2741446495056152,0.13632201132201133,0.14383561643835616,0.06979385045422781,0.0444831013916501,3.6780821917808217,0.11643835616438356
r3_gate,0.9,1.717149257659912,0.2626859251859252,0.2671232876712329,0.2833609055638487,0.08532140490390988,7.054794520547945,0.3835616438356164
r4_peak,0.9,1.717149257659912,0.23389110889110887,0.23972602739726026,0.24785596141094865,0.023277004638833663,1.9246575342465753,0.3835616438356164
r4_count_only,0.9,1.717149257659912,0.15363317238317237,0.14383561643835616,0.11405992381602137,0.023277004638833663,1.9246575342465753,0.3835616438356164
