representation,quantile,threshold,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test
r2_dense,0.0,-inf,0.5162087912087912,0.5205479452054794,0.5060456726242835,1.0,82.68493150684931,0.0
r2_hard_token,0.0,-inf,0.40257034632034633,0.4041095890410959,0.3669358388744117,1.0,82.68493150684931,0.0
magnitude_only,0.0,-inf,0.16733266733266736,0.17123287671232876,0.06959823801929065,1.0,,0.0
r3_gate,0.2,0.023671675473451614,0.5118797868797867,0.5136986301369864,0.5015653085541362,0.7717031146454606,63.80821917808219,0.0
r4_peak,0.2,0.023671675473451614,0.47152777777777777,0.4726027397260274,0.45696517722379787,0.17122266401590458,14.157534246575343,0.0
r4_count_only,0.2,0.023671675473451614,0.16799173049173047,0.1643835616438356,0.1297656397896532,0.17122266401590458,14.157534246575343,0.0
r3_gate,0.4,0.08986816555261612,0.506558719058719,0.5068493150684932,0.49934620037546523,0.5864811133200796,48.49315068493151,0.0
r4_peak,0.4,0.08986816555261612,0.4942550505050504,0.4931506849315068,0.4756455119544447,0.13552021206096754,11.205479452054794,0.0
r4_count_only,0.4,0.08986816555261612,0.15188630813630813,0.15753424657534246,0.11776155131418291,0.13552021206096754,11.205479452054794,0.0
r3_gate,0.6,0.1709463745355606,0.4842372904872905,0.4863013698630137,0.4775800445111591,0.39686878727634195,32.81506849315068,0.00684931506849315
r4_peak,0.6,0.1709463745355606,0.4359487734487735,0.4383561643835616,0.4119378237670291,0.09633863485752153,7.965753424657534,0.00684931506849315
r4_count_only,0.6,0.1709463745355606,0.10930042180042178,0.11643835616438356,0.04497400006553324,0.09633863485752153,7.965753424657534,0.00684931506849315
r3_gate,0.8,0.29002875089645386,0.3777049339549339,0.3767123287671233,0.3635365752238818,0.19897282968853544,16.45205479452055,0.04794520547945205
r4_peak,0.8,0.29002875089645386,0.333289627039627,0.3356164383561644,0.33004609339748653,0.053098078197481774,4.390410958904109,0.04794520547945205
r4_count_only,0.8,0.29002875089645386,0.21909201909201906,0.2191780821917808,0.16890473992714194,0.053098078197481774,4.390410958904109,0.04794520547945205
r3_gate,0.9,0.4052657186985016,0.2198079698079698,0.22602739726027396,0.2337935950358551,0.08722664015904573,7.212328767123288,0.15753424657534246
r4_peak,0.9,0.4052657186985016,0.21692890442890445,0.2191780821917808,0.21442014703753606,0.026673293571901922,2.2054794520547945,0.17123287671232876
r4_count_only,0.9,0.4052657186985016,0.1600815850815851,0.15753424657534246,0.13273059931201447,0.026673293571901922,2.2054794520547945,0.17123287671232876
