representation,quantile,threshold,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test
r2_dense,0.0,-inf,0.5536456598956598,0.5684931506849316,0.5535075558173987,1.0,82.68493150684931,0.0
r2_hard_token,0.0,-inf,0.2920558608058608,0.2945205479452055,0.28124509668369313,1.0,82.68493150684931,0.0
magnitude_only,0.0,-inf,0.18243561993561996,0.1917808219178082,0.13038655954256978,1.0,,0.0
r3_gate,0.2,0.03820831701159477,0.5544032356532356,0.5684931506849316,0.5494393050482652,0.7688866799204771,63.57534246575342,0.0
r4_peak,0.2,0.03820831701159477,0.5018870018870019,0.5205479452054794,0.4989319953589462,0.16757786613651424,13.856164383561644,0.0
r4_count_only,0.2,0.03820831701159477,0.1439990564990565,0.14383561643835616,0.10735622778305705,0.16757786613651424,13.856164383561644,0.0
r3_gate,0.4,0.14108213782310486,0.5210948773448772,0.5342465753424658,0.5156664828308786,0.5712392312789927,47.23287671232877,0.0
r4_peak,0.4,0.14108213782310486,0.42401001776001773,0.4383561643835616,0.4307933473323006,0.12789927104042412,10.575342465753424,0.0
r4_count_only,0.4,0.14108213782310486,0.1437243312243312,0.1506849315068493,0.10888300950145029,0.12789927104042412,10.575342465753424,0.0
r3_gate,0.6,0.2534412741661072,0.47189962814962816,0.4794520547945205,0.4635184743194883,0.38593439363817095,31.910958904109588,0.0
r4_peak,0.6,0.2534412741661072,0.4198093573093573,0.4315068493150685,0.4136946418423278,0.09103711066931743,7.527397260273973,0.0
r4_count_only,0.6,0.2534412741661072,0.16416361416361416,0.1780821917808219,0.11867966410219928,0.09103711066931743,7.527397260273973,0.0
r3_gate,0.8,0.39972853660583496,0.32627095127095124,0.3356164383561644,0.3244045588542271,0.18580185553346587,15.363013698630137,0.08904109589041095
r4_peak,0.8,0.39972853660583496,0.30496447996447995,0.3150684931506849,0.292755306695746,0.04804506295559974,3.9726027397260273,0.0958904109589041
r4_count_only,0.8,0.39972853660583496,0.20988386613386611,0.21232876712328766,0.1636947399415243,0.04804506295559974,3.9726027397260273,0.0958904109589041
r3_gate,0.9,0.5170145630836487,0.21665279165279164,0.2328767123287671,0.21227136102678698,0.08068257123923128,6.671232876712328,0.3013698630136986
r4_peak,0.9,0.5170145630836487,0.22286324786324785,0.22602739726027396,0.21130668841195158,0.02402253147779987,1.9863013698630136,0.3219178082191781
r4_count_only,0.9,0.5170145630836487,0.16348928848928845,0.17123287671232876,0.12822054807610095,0.02402253147779987,1.9863013698630136,0.3219178082191781
