representation,quantile,threshold,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test
r2_dense,0.0,-inf,0.5312250249750249,0.541095890410959,0.5216030235338015,1.0,82.68493150684931,0.0
r2_hard_token,0.0,-inf,0.46533119658119654,0.4726027397260274,0.45587800932430084,1.0,82.68493150684931,0.0
magnitude_only,0.0,-inf,0.13952158952158952,0.14383561643835616,0.09439856808856133,1.0,,0.0
r3_gate,0.2,0.05836086347699165,0.525272644022644,0.5342465753424658,0.5166827023091325,0.7817263088137839,64.63698630136986,0.0
r4_peak,0.2,0.05836086347699165,0.531461593961594,0.541095890410959,0.5214840290193471,0.4556825712392313,37.678082191780824,0.0
r4_count_only,0.2,0.05836086347699165,0.20540362415362415,0.19863013698630136,0.16955079666297113,0.4556825712392313,37.678082191780824,0.0
r3_gate,0.4,0.2517661452293396,0.5237255799755799,0.5342465753424658,0.5175654473702663,0.5840788601722995,48.294520547945204,0.0
r4_peak,0.4,0.2517661452293396,0.5441239316239316,0.5547945205479452,0.5330543225301941,0.35213717693836977,29.116438356164384,0.0
r4_count_only,0.4,0.2517661452293396,0.16949300699300698,0.17123287671232876,0.1443991945903391,0.35213717693836977,29.116438356164384,0.0
r3_gate,0.6,0.5018942356109619,0.47599622599622604,0.4931506849315068,0.4660661771766581,0.38444333996023855,31.78767123287671,0.0
r4_peak,0.6,0.5018942356109619,0.5086822899322899,0.5205479452054794,0.4945256645331239,0.2422962226640159,20.034246575342465,0.0
r4_count_only,0.6,0.5018942356109619,0.1498099123099123,0.1506849315068493,0.11587078401040903,0.2422962226640159,20.034246575342465,0.0
r3_gate,0.8,0.8556208610534668,0.42801642801642803,0.4383561643835616,0.4183470890800112,0.1940026507620941,16.041095890410958,0.0
r4_peak,0.8,0.8556208610534668,0.4450167887667887,0.4520547945205479,0.43603289908465,0.1342776673293572,11.102739726027398,0.0
r4_count_only,0.8,0.8556208610534668,0.13886113886113885,0.14383561643835616,0.1038179543305792,0.1342776673293572,11.102739726027398,0.0
r3_gate,0.9,1.1547919511795044,0.35908397158397154,0.3698630136986301,0.3401637987659493,0.09310801855533465,7.698630136986301,0.00684931506849315
r4_peak,0.9,1.1547919511795044,0.390469252969253,0.4041095890410959,0.3784915711507563,0.06991385023194169,5.780821917808219,0.00684931506849315
r4_count_only,0.9,1.1547919511795044,0.12948856698856698,0.136986301369863,0.09744502775542895,0.06991385023194169,5.780821917808219,0.00684931506849315
