architecture,objective,variant,hidden_cap,output_cap,seed,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,test_last_hidden_events_per_neuron_second
local_234x2,whole_count_ce,binary,1,1,11,84,0.8575890824247637,0.47590788840788845,0.477501665001665,0.5,0.47444899052350736,12.58403744201458
local_234x2,whole_count_ce,binary,1,1,23,83,0.8800692946935472,0.4473965848965849,0.5232559107559107,0.541095890410959,0.5176097417469431,11.725687541418157
local_234x2,whole_count_ce,binary,1,1,37,88,0.891059225772179,0.41706950456950453,0.5040369352869353,0.5136986301369864,0.501420213396747,12.261804174950298
local_234x2,whole_count_ce,binary,1,1,53,94,0.875658922031374,0.4722643097643098,0.5266067266067266,0.541095890410959,0.5151152108760805,11.530815109343937
local_234x2,whole_count_ce,binary,1,1,71,95,0.9113751747497556,0.5067881192881193,0.4729381729381729,0.4931506849315068,0.461906416935376,11.96259940357853
local_234x2,whole_count_ce,multi_h,31,1,11,77,0.819361769220297,0.4555735930735931,0.4713147963147963,0.4863013698630137,0.4578666376460494,35.10043903247183
local_234x2,whole_count_ce,multi_h,31,1,23,87,0.8597698826393273,0.4785834535834536,0.5150086025086025,0.541095890410959,0.4849335994688782,27.45191351888668
local_234x2,whole_count_ce,multi_h,31,1,37,85,0.8284830618538909,0.45569384319384326,0.48190975690975696,0.4931506849315068,0.4704801880266276,30.02886845593108
local_234x2,whole_count_ce,multi_h,31,1,53,92,0.8349457950840597,0.44154040404040407,0.4549929237429237,0.4589041095890411,0.42927781577747376,32.98049204771372
local_234x2,whole_count_ce,multi_h,31,1,71,93,0.8740407602689206,0.5088744588744588,0.46202547452547443,0.4794520547945205,0.4559051941338476,38.596628561961566
local_234x2,timestep_ce,binary,1,1,11,99,0.5465734232197421,0.3131974506974507,0.3594252969252969,0.3835616438356164,0.3261693264101986,4.470137508283631
local_234x2,timestep_ce,binary,1,1,23,97,0.5513780885277834,0.3216931216931217,0.34466089466089467,0.3698630136986301,0.26932560150645257,4.895833333333333
local_234x2,timestep_ce,binary,1,1,37,100,0.49117496927545945,0.24775132275132275,0.2976370851370851,0.3219178082191781,0.23493747430226555,4.373011928429423
local_234x2,timestep_ce,binary,1,1,53,96,0.49935955340852684,0.2906746031746032,0.34413364413364417,0.363013698630137,0.2801265436559554,3.8797216699801194
local_234x2,timestep_ce,binary,1,1,71,95,0.5409876505384335,0.2748015873015873,0.2967060717060717,0.3219178082191781,0.22821988623407063,3.574884029158383
local_234x2,timestep_ce,multi_h,31,1,11,92,0.4823616098345118,0.29563492063492064,0.3462121212121212,0.3698630136986301,0.24914986213369306,8.137176938369782
local_234x2,timestep_ce,multi_h,31,1,23,98,0.5296267067564714,0.3235810485810486,0.3048409923409923,0.3219178082191781,0.23593189648575827,11.899685222001326
local_234x2,timestep_ce,multi_h,31,1,37,88,0.47489480468045947,0.30291005291005296,0.26224747474747473,0.2876712328767123,0.18507194152478126,9.82571239231279
local_234x2,timestep_ce,multi_h,31,1,53,98,0.49325912758812146,0.2724867724867725,0.3303210678210678,0.3493150684931507,0.2714837954371271,8.418903247183565
local_234x2,timestep_ce,multi_h,31,1,71,100,0.5357539608102903,0.31617364117364116,0.37750721500721496,0.3972602739726027,0.3061758208935628,9.605160702451954
