system,family,architecture,objective,variant,mean_test_ba,sd_test_ba,n
direct_snn:mid_long:timestep_ce:binary,direct_snn,mid_long,timestep_ce,binary,0.304034299034299,0.0449970945089102,5
direct_snn:mid_long:timestep_ce:multi_h,direct_snn,mid_long,timestep_ce,multi_h,0.2386770174270174,0.0588156384190677,5
direct_snn:mid_long:whole_count_ce:binary,direct_snn,mid_long,whole_count_ce,binary,0.4007899045399045,0.0306368736022209,5
direct_snn:mid_long:whole_count_ce:multi_h,direct_snn,mid_long,whole_count_ce,multi_h,0.4137624875124874,0.011693478772687,5
direct_snn:short_mid:timestep_ce:binary,direct_snn,short_mid,timestep_ce,binary,0.2814635364635364,0.0251649721244545,5
direct_snn:short_mid:timestep_ce:multi_h,direct_snn,short_mid,timestep_ce,multi_h,0.2921688034188034,0.0271460585803139,5
direct_snn:short_mid:whole_count_ce:binary,direct_snn,short_mid,whole_count_ce,binary,0.4572102897102897,0.0269846767094237,5
direct_snn:short_mid:whole_count_ce:multi_h,direct_snn,short_mid,whole_count_ce,multi_h,0.4345732045732046,0.024066565755432,5
direct_snn:short_mid_long:timestep_ce:binary,direct_snn,short_mid_long,timestep_ce,binary,0.1321045621045621,0.0156818327882521,5
direct_snn:short_mid_long:timestep_ce:multi_h,direct_snn,short_mid_long,timestep_ce,multi_h,0.136017316017316,0.0135440166558578,5
direct_snn:short_mid_long:whole_count_ce:binary,direct_snn,short_mid_long,whole_count_ce,binary,0.2187230824730824,0.0157200414102801,5
direct_snn:short_mid_long:whole_count_ce:multi_h,direct_snn,short_mid_long,whole_count_ce,multi_h,0.188539516039516,0.0288372455392707,5
snn_fixed250_linear:local_234x2:timestep_ce:binary,snn_fixed250_linear,local_234x2,timestep_ce,binary,0.5954369241869242,0.032058440445968,5
snn_fixed250_linear:local_234x2:timestep_ce:multi_h,snn_fixed250_linear,local_234x2,timestep_ce,multi_h,0.6009740259740259,0.0143640080970576,5
Raw Fixed250 + Linear,raw_linear_baseline,fixed250,posthoc_linear,deterministic,0.548475135975136,,1
Raw Relative10 + Linear,raw_linear_baseline,relative10,posthoc_linear,deterministic,0.739481351981352,,1
direct_snn:local_234x2:timestep_ce:binary,direct_snn,local_234x2,timestep_ce,binary,0.3285125985125985,0.029263167684130367,5
direct_snn:local_234x2:timestep_ce:multi_h,direct_snn,local_234x2,timestep_ce,multi_h,0.3242257742257742,0.0435216709367454,5
direct_snn:local_234x2:whole_count_ce:binary,direct_snn,local_234x2,whole_count_ce,binary,0.500867882117882,0.024999017966170812,5
direct_snn:local_234x2:whole_count_ce:multi_h,direct_snn,local_234x2,whole_count_ce,multi_h,0.47705031080031074,0.023503277862890484,5
