objective,seed,binary_test_ba,multi_h_test_ba,delta_test_ba_multi_h_minus_binary
whole_count_ce,11,0.477501665001665,0.4713147963147963,-0.006186868686868741
whole_count_ce,23,0.5232559107559107,0.5150086025086025,-0.008247308247308238
whole_count_ce,37,0.5040369352869353,0.48190975690975696,-0.022127178377178314
whole_count_ce,53,0.5266067266067266,0.4549929237429237,-0.07161380286380287
whole_count_ce,71,0.4729381729381729,0.46202547452547443,-0.010912698412698485
timestep_ce,11,0.3594252969252969,0.3462121212121212,-0.013213175713175707
timestep_ce,23,0.34466089466089467,0.3048409923409923,-0.039819902319902345
timestep_ce,37,0.2976370851370851,0.26224747474747473,-0.03538961038961036
timestep_ce,53,0.34413364413364417,0.3303210678210678,-0.013812576312576375
timestep_ce,71,0.2967060717060717,0.37750721500721496,0.08080114330114324
