variant,seed,whole_count_ce_test_ba,timestep_ce_test_ba,delta_test_ba_whole_minus_timestep
binary,11,0.477501665001665,0.3594252969252969,0.11807636807636812
binary,23,0.5232559107559107,0.34466089466089467,0.17859501609501605
binary,37,0.5040369352869353,0.2976370851370851,0.20639985014985018
binary,53,0.5266067266067266,0.34413364413364417,0.18247308247308242
binary,71,0.4729381729381729,0.2967060717060717,0.1762321012321012
multi_h,11,0.4713147963147963,0.3462121212121212,0.1251026751026751
multi_h,23,0.5150086025086025,0.3048409923409923,0.21016761016761015
multi_h,37,0.48190975690975696,0.26224747474747473,0.21966228216228223
multi_h,53,0.4549929237429237,0.3303210678210678,0.12467185592185592
multi_h,71,0.46202547452547443,0.37750721500721496,0.08451825951825948
