contrast,coding,l2_mem_shift,seed,delta_native_test_ba,delta_lif_test_ba,delta_l1_pre_reset_fixed250_ba,delta_l1_communication_fixed250_ba,delta_l1_communication_delta,delta_l2_pre_reset_fixed250_ba,delta_l2_communication_fixed250_ba,delta_l2_communication_delta,delta_l2_communication_whole_ba,delta_l2_temporal_ordering_gain,delta_output_weight_fro_norm,delta_output_weight_mean_abs,delta_mean_abs_evidence_per_valid_step,delta_mean_l2_evidence_norm_per_valid_step,delta_mean_native_score_l2_norm
l2mem2_minus_l2mem1,binary,2,11,-0.03425559326294614,-0.02461192810457513,0.004700854700854684,0.03393450911833262,0.02923365441747794,-0.05807880844645563,-0.008627136752136666,0.049451671694318966,0.019230769230769162,-0.02785790598290583,0.07195472717285156,0.001431286334991455,-0.030605324227008346,-0.11664198305731865,-0.169730350889008
l2mem3_minus_l2mem1,binary,3,11,-0.08613282142693907,-0.03283999497234791,0.013131313131313105,0.019370315142373973,0.006239002011060868,-0.05701800242241428,0.01964555052790351,0.07666355295031779,-0.09501134078339968,0.11465689131130319,0.06196880340576172,0.001263946294784546,-0.04583317275223164,-0.18940173904745272,-0.24698717840786522
l2mem2_minus_l2mem1,weighted31,2,11,0.009189319667260831,-0.01895110608345907,0.006757478632478664,-0.00655637254901964,-0.013313851181498304,0.006649069884364089,-0.027124183006536073,-0.03377325289090016,-0.053206699346405206,0.026082516339869133,0.031101703643798828,0.0002293810248374939,-0.34847544302031963,-1.30342028570589,-1.5907382307381468
l2mem3_minus_l2mem1,weighted31,3,11,-0.00894922071392662,-0.01975081699346415,0.01686777275012563,-0.013509244023949818,-0.03037701677407545,-0.026940359477124032,-0.01419840372046266,0.012741955756661372,-0.037207767722473584,0.023009364002010924,-0.23606109619140625,-0.005086876451969147,-1.7188697476215644,-7.158834896934458,-6.261365167025861
weighted31_minus_binary,weighted31_vs_binary,1,11,-0.0957689165409753,-0.04885178138854601,-0.011695861328214319,0.014198403720462438,0.025894265048676757,0.00757132981397679,0.01789844142785335,0.01032711161387656,-0.0590042106586226,0.07690265208647595,-3.660195827484131,-0.08590690791606903,7.287201709133486,30.90166609775076,24.68690157484734
weighted31_minus_binary,weighted31_vs_binary,2,11,-0.05232400361076833,-0.04319095936742995,-0.009639237396590339,-0.026292477946889825,-0.016653240550299486,0.07229920814479651,-0.0005986048265460564,-0.07289781297134257,-0.13144167923579697,0.13084307440925091,-3.7010488510131836,-0.08710881322622299,6.969331590340175,29.714887795102186,23.265893694998205
weighted31_minus_binary,weighted31_vs_binary,3,11,-0.018585315827962856,-0.03576260340966225,-0.007959401709401792,-0.018681155445861353,-0.01072175373645956,0.03764897275926704,-0.01594551282051282,-0.05359448557977986,-0.0012006375976965078,-0.014744875222816312,-3.958225727081299,-0.09225773066282272,5.614165134264153,23.932232939863752,18.672523586229346
l2mem2_minus_l2mem1,binary,2,23,0.02200854700854682,0.0073325163398693105,-0.004017408245349574,-0.04563065610859729,-0.041613247863247715,0.030824220713926542,0.04439416792357964,0.0135699472096531,0.019375599890305795,0.025018568033273847,0.16733074188232422,0.002283528447151184,-0.029447534483644233,-0.1411494119978851,-0.19935274672234193
l2mem3_minus_l2mem1,binary,3,23,-0.029862396590337736,0.003569347319347327,-0.006795186023127342,-0.05234728506787323,-0.045552099044745886,0.051723541980894905,0.03115887380593263,-0.020564668174962275,0.004833116230175016,0.026325757575757613,-0.4389686584472656,-0.011399134993553162,-0.2750302351274372,-1.1396950060194957,-0.7838382063240843
l2mem2_minus_l2mem1,weighted31,2,23,0.01238059326294616,0.02991452991452992,-0.005756661639014782,0.0117647058823529,0.01752136752136768,-0.019992772750125565,0.0006284565108094498,0.020621229260935015,-0.034964177978883904,0.03559263448969335,-0.017242908477783203,-0.0006336942315101624,-0.12877801452020154,-0.4430327071587996,-0.7035424243444695
l2mem3_minus_l2mem1,weighted31,3,23,0.008026960784313697,0.009723793363499267,0.00165441176470571,0.008639705882352966,0.006985294117647256,-0.01323400863842028,0.015200791855203621,0.028434800493623902,-0.019403594771241928,0.03460438662644555,0.046543121337890625,0.0006366074085235596,0.21397999572395499,1.042728795953721,0.24699963098284883
weighted31_minus_binary,weighted31_vs_binary,1,23,-0.10475713012477728,-0.1527165032679738,-0.04625782714018012,-0.04604229512317748,0.0002155320170026398,0.03243778280542975,-0.022050967823026624,-0.05448875062845637,-0.08253490790255497,0.06048394007952834,-5.62355899810791,-0.1279255598783493,0.9914532429124088,4.142420755520321,3.9022572835286464
weighted31_minus_binary,weighted31_vs_binary,2,23,-0.11438508387037793,-0.1301344896933132,-0.04799708053384533,0.01135306686777271,0.059350147401618036,-0.018379210658622358,-0.06581667923579682,-0.04743746857717446,-0.13687468577174466,0.07105800653594785,-5.808132648468018,-0.13084278255701065,0.8921227628758515,3.840537460359407,3.398067605906519
weighted31_minus_binary,weighted31_vs_binary,3,23,-0.06686777275012584,-0.14656205722382187,-0.03780822935234707,0.014944695827048715,0.05275292517939578,-0.032519767813885436,-0.03800904977375563,-0.005489281959870196,-0.10677161890397191,0.06876256913021628,-5.138047218322754,-0.11588981747627258,1.480463473763801,6.324844557493538,4.9330951208355796
l2mem2_minus_l2mem1,binary,2,37,-0.003348387723387636,-0.025532902554961323,-0.03263517528223425,-0.08098419146213254,-0.048349016179898285,-0.020768916540975457,-0.04898661387631975,-0.028217697335344294,-0.008096091000502903,-0.04089052287581685,0.18776226043701172,0.004778817296028137,-0.012601888709038,-0.03270440597838942,-0.10594528022853744
