coding,l2_mem_shift,seed,layer,cap_hit_fraction,communication_cap,count,dead_neuron_fraction,large_event_fraction_ge_4,mean_count_per_neuron_step,mean_events_per_neuron_s,multi_event_fraction_ge_2,nonzero_communication_fraction,shift,start,stop
binary,1,11,l1,0.012604410792620636,1,43,0.04651162773370743,0.0,0.012604410792620636,0.8066822907277207,0.0,0.012604410792620636,2,0,43
binary,1,11,l1,0.03927593949227264,1,43,0.04651162773370743,0.0,0.03927593949227264,2.513660127505449,0.0,0.03927593949227264,3,43,86
binary,1,11,l1,0.12959047842768773,1,42,0.02380952425301075,0.0,0.12959047842768773,8.293790619372015,0.0,0.12959047842768773,4,86,128
binary,1,11,l2,0.36415671042496356,1,43,0.0,0.0,0.36415671042496356,23.306029467197668,0.0,0.36415671042496356,2,0,43
binary,1,11,l2,0.39170640968910303,1,43,0.0,0.0,0.39170640968910303,25.069210220102594,0.0,0.39170640968910303,3,43,86
binary,1,11,l2,0.3831588308332494,1,42,0.0,0.0,0.3831588308332494,24.522165173327963,0.0,0.3831588308332494,4,86,128
binary,1,23,l1,0.012913067942813751,1,43,0.04651162773370743,0.0,0.012913067942813751,0.8264363483400801,0.0,0.012913067942813751,2,0,43
binary,1,23,l1,0.04412977803999978,1,43,0.023255813866853714,0.0,0.04412977803999978,2.824305794559986,0.0,0.04412977803999978,3,43,86
binary,1,23,l1,0.12456094723536584,1,42,0.0,0.0,0.12456094723536584,7.971900623063414,0.0,0.12456094723536584,4,86,128
binary,1,23,l2,0.3741757761498162,1,43,0.0,0.0,0.3741757761498162,23.947249673588235,0.0,0.3741757761498162,2,0,43
binary,1,23,l2,0.3978645295573365,1,43,0.0,0.0,0.3978645295573365,25.463329891669535,0.0,0.3978645295573365,3,43,86
binary,1,23,l2,0.3964730360079197,1,42,0.0,0.0,0.3964730360079197,25.374274304506862,0.0,0.3964730360079197,4,86,128
binary,1,37,l1,0.010920453862584743,1,43,0.04651162773370743,0.0,0.010920453862584743,0.6989090472054236,0.0,0.010920453862584743,2,0,43
binary,1,37,l1,0.035576150908763135,1,43,0.04651162773370743,0.0,0.035576150908763135,2.2768736581608406,0.0,0.035576150908763135,3,43,86
binary,1,37,l1,0.11798774008076333,1,42,0.02380952425301075,0.0,0.11798774008076333,7.551215365168853,0.0,0.11798774008076333,4,86,128
binary,1,37,l2,0.381106904633135,1,43,0.0,0.0,0.381106904633135,24.39084189652064,0.0,0.381106904633135,2,0,43
binary,1,37,l2,0.3901890729905873,1,43,0.0,0.0,0.3901890729905873,24.972100671397587,0.0,0.3901890729905873,3,43,86
binary,1,37,l2,0.39585081154848595,1,42,0.0,0.0,0.39585081154848595,25.3344519391031,0.0,0.39585081154848595,4,86,128
binary,2,11,l1,0.01485651539734828,1,43,0.04651162773370743,0.0,0.01485651539734828,0.9508169854302899,0.0,0.01485651539734828,2,0,43
binary,2,11,l1,0.038777444537314736,1,43,0.04651162773370743,0.0,0.038777444537314736,2.481756450388143,0.0,0.038777444537314736,3,43,86
binary,2,11,l1,0.1307873866013401,1,42,0.02380952425301075,0.0,0.1307873866013401,8.370392742485766,0.0,0.1307873866013401,4,86,128
binary,2,11,l2,0.3679698553954909,1,43,0.0,0.0,0.3679698553954909,23.550070745311416,0.0,0.3679698553954909,2,0,43
binary,2,11,l2,0.39817455244713224,1,43,0.0,0.0,0.39817455244713224,25.483171356616463,0.0,0.39817455244713224,3,43,86
binary,2,11,l2,0.3885784757877781,1,42,0.0,0.0,0.3885784757877781,24.8690224504178,0.0,0.3885784757877781,4,86,128
binary,2,23,l1,0.013451169346247767,1,43,0.023255813866853714,0.0,0.013451169346247767,0.8608748381598571,0.0,0.013451169346247767,2,0,43
binary,2,23,l1,0.045425864922890344,1,43,0.023255813866853714,0.0,0.045425864922890344,2.907255355064982,0.0,0.045425864922890344,3,43,86
binary,2,23,l1,0.11721730035683524,1,42,0.0,0.0,0.11721730035683524,7.501907222837455,0.0,0.11721730035683524,4,86,128
binary,2,23,l2,0.3737127904245265,1,43,0.0,0.0,0.3737127904245265,23.917618587169695,0.0,0.3737127904245265,2,0,43
