coding,l2_mem_shift,probe,count,mean,std
binary,1,input__events__whole_count,3,0.4066306446821153,0.0
binary,1,input__events__fixed250_count,3,0.6578262831939302,0.0
binary,1,l1__syn_current__whole_mean,3,0.47971342383107096,0.02879383691731688
binary,1,l1__syn_current__fixed250_ordered_mean,3,0.7024533132989016,0.010343689849901331
binary,1,l1__pre_reset__whole_mean,3,0.5038299187196246,0.02633119232343351
binary,1,l1__pre_reset__fixed250_ordered_mean,3,0.7422179468135351,0.008271472993763037
binary,1,l1__spike__whole_mean,3,0.5083940841293783,0.043631670729249734
binary,1,l1__spike__fixed250_ordered_mean,3,0.6615578865578866,0.044853581708060634
binary,1,l1__post_reset__whole_mean,3,0.5295076043237809,0.018092210271356823
binary,1,l1__post_reset__fixed250_ordered_mean,3,0.743152775873364,0.008623644893662522
binary,1,l1__spike__whole_count,3,0.5355825887075887,0.0665590064092506
binary,1,l1__spike__fixed250_count,3,0.6794674211953623,0.05446034222379544
binary,1,l2__syn_current__whole_mean,3,0.5245184690037631,0.03369544151411484
binary,1,l2__syn_current__fixed250_ordered_mean,3,0.6164732258482258,0.05389465932131392
binary,1,l2__pre_reset__whole_mean,3,0.5302361853832441,0.031825890300382714
binary,1,l2__pre_reset__fixed250_ordered_mean,3,0.6058565005256182,0.03796088145492954
binary,1,l2__spike__whole_mean,3,0.5644435969803617,0.02314362043976174
binary,1,l2__spike__fixed250_ordered_mean,3,0.6112765094382742,0.024305415858655914
binary,1,l2__post_reset__whole_mean,3,0.5231300086079497,0.024971703083787905
binary,1,l2__post_reset__fixed250_ordered_mean,3,0.6084651187592364,0.032090879740330244
binary,1,l2__spike__whole_count,3,0.5971802299008182,0.018768095928102205
binary,1,l2__spike__fixed250_count,3,0.6333263346130993,0.03462180374854559
binary,2,input__events__whole_count,3,0.4066306446821153,0.0
binary,2,input__events__fixed250_count,3,0.6578262831939302,0.0
binary,2,l1__syn_current__whole_mean,3,0.48313222724987437,0.0186218851507918
binary,2,l1__syn_current__fixed250_ordered_mean,3,0.7005663726251962,0.0005888977960965907
binary,2,l1__pre_reset__whole_mean,3,0.504826117509941,0.015469544215213375
binary,2,l1__pre_reset__fixed250_ordered_mean,3,0.7315673705379587,0.0190134847925312
binary,2,l1__spike__whole_mean,3,0.5216051921934275,0.05828874502682167
binary,2,l1__spike__fixed250_ordered_mean,3,0.6399514564955742,0.016090584913508493
binary,2,l1__post_reset__whole_mean,3,0.5231876171214407,0.023967075150442826
binary,2,l1__post_reset__fixed250_ordered_mean,3,0.7532358368755427,0.02662877879252992
binary,2,l1__spike__whole_count,3,0.5340884333531393,0.05188976026324572
binary,2,l1__spike__fixed250_count,3,0.6485739750445633,0.0232879861729002
binary,2,l2__syn_current__whole_mean,3,0.5260051019242196,0.057588393470668055
binary,2,l2__syn_current__fixed250_ordered_mean,3,0.6053077437268614,0.02257194572484284
binary,2,l2__pre_reset__whole_mean,3,0.524101926123985,0.0415126942751268
binary,2,l2__pre_reset__fixed250_ordered_mean,3,0.5898486657677834,0.03146443523487452
binary,2,l2__spike__whole_mean,3,0.5579008409890762,0.03729524121981795
binary,2,l2__spike__fixed250_ordered_mean,3,0.6268758474640826,0.03408000998722301
binary,2,l2__post_reset__whole_mean,3,0.5242166194372077,0.02631355295896855
binary,2,l2__post_reset__fixed250_ordered_mean,3,0.5807266195133843,0.03823186450828506
binary,2,l2__spike__whole_count,3,0.6073503226076755,0.009254412916136125
binary,2,l2__spike__fixed250_count,3,0.6289198070448071,0.02616337744488395
binary,3,input__events__whole_count,3,0.4066306446821153,0.0
binary,3,input__events__fixed250_count,3,0.6578262831939302,0.0
binary,3,l1__syn_current__whole_mean,3,0.48153018686106924,0.025378379359802455
binary,3,l1__syn_current__fixed250_ordered_mean,3,0.7025527236924297,0.01125167878628257
binary,3,l1__pre_reset__whole_mean,3,0.5119655739141034,0.02939212532854747
binary,3,l1__pre_reset__fixed250_ordered_mean,3,0.7320431406828466,0.022744119763656378
binary,3,l1__spike__whole_mean,3,0.4439516297972181,0.0612738302378249
binary,3,l1__spike__fixed250_ordered_mean,3,0.6225538758626994,0.03241900313643144
binary,3,l1__post_reset__whole_mean,3,0.5146129469658881,0.022424705962150068
binary,3,l1__post_reset__fixed250_ordered_mean,3,0.7396417988329754,0.021184361956061302
binary,3,l1__spike__whole_count,3,0.4701237011898776,0.05994844502713655
binary,3,l1__spike__fixed250_count,3,0.6240538872891814,0.024028237911584056
binary,3,l2__syn_current__whole_mean,3,0.5018767520605756,0.035411121801507586
binary,3,l2__syn_current__fixed250_ordered_mean,3,0.5831091838444779,0.036294082952767925
binary,3,l2__pre_reset__whole_mean,3,0.4756882551000197,0.022034690674246432
binary,3,l2__pre_reset__fixed250_ordered_mean,3,0.575555565077624,0.03522439897751703
binary,3,l2__spike__whole_mean,3,0.5258410842969666,0.04684969218962405
binary,3,l2__spike__fixed250_ordered_mean,3,0.590719173255938,0.004031844076900183
binary,3,l2__post_reset__whole_mean,3,0.47987220432073374,0.026144939896794606
binary,3,l2__post_reset__fixed250_ordered_mean,3,0.5773361918582507,0.03854740190046636
binary,3,l2__spike__whole_count,3,0.5361139201212731,0.042171969566838774
binary,3,l2__spike__fixed250_count,3,0.6329576401267577,0.011245418789590239
weighted31,1,input__events__whole_count,3,0.4066306446821153,0.0
weighted31,1,input__events__fixed250_count,3,0.6578262831939302,0.0
weighted31,1,l1__syn_current__whole_mean,3,0.46510609488550664,0.010037806626226291
weighted31,1,l1__syn_current__fixed250_ordered_mean,3,0.6924250518000518,0.02279067795129261
weighted31,1,l1__pre_reset__whole_mean,3,0.5185792693145634,0.01695492977213898
weighted31,1,l1__pre_reset__fixed250_ordered_mean,3,0.7171617189999543,0.011554887890260705
weighted31,1,l1__spike__whole_mean,3,0.4436300695491872,0.02451804773757568
weighted31,1,l1__spike__fixed250_ordered_mean,3,0.6420988733488734,0.017296597236221428
