coding,l2_mem_shift,layer,shift,mean_count_per_neuron_step_count,mean_count_per_neuron_step_mean,mean_count_per_neuron_step_std,mean_events_per_neuron_s_count,mean_events_per_neuron_s_mean,mean_events_per_neuron_s_std,nonzero_communication_fraction_count,nonzero_communication_fraction_mean,nonzero_communication_fraction_std,multi_event_fraction_ge_2_count,multi_event_fraction_ge_2_mean,multi_event_fraction_ge_2_std,large_event_fraction_ge_4_count,large_event_fraction_ge_4_mean,large_event_fraction_ge_4_std,cap_hit_fraction_count,cap_hit_fraction_mean,cap_hit_fraction_std,dead_neuron_fraction_count,dead_neuron_fraction_mean,dead_neuron_fraction_std
binary,1,l1,2,3,0.012145977532673042,0.0010724963909269605,3,0.7773425620910747,0.06863976901932548,3,0.012145977532673042,0.0010724963909269605,3,0.0,0.0,3,0.0,0.0,3,0.012145977532673042,0.0010724963909269605,3,0.04651162773370743,0.0
binary,1,l1,3,3,0.03966062281367852,0.004289769250015997,3,2.5382798600754253,0.2745452320010238,3,0.03966062281367852,0.004289769250015997,3,0.0,0.0,3,0.0,0.0,3,0.03966062281367852,0.004289769250015997,3,0.03875968977808952,0.013426750396251824
binary,1,l1,4,3,0.1240463885812723,0.0058184587515229935,3,7.938968869201427,0.3723813600974716,3,0.1240463885812723,0.0058184587515229935,3,0.0,0.0,3,0.0,0.0,3,0.1240463885812723,0.0058184587515229935,3,0.015873016168673832,0.01374643523675268
binary,1,l2,2,3,0.3731464637359716,0.008521847449799419,3,23.881373679102182,0.5453982367871628,3,0.3731464637359716,0.008521847449799419,3,0.0,0.0,3,0.0,0.0,3,0.3731464637359716,0.008521847449799419,3,0.0,0.0
binary,1,l2,3,3,0.3932533374123423,0.004064836701850126,3,25.168213594389908,0.2601495489184081,3,0.3932533374123423,0.004064836701850126,3,0.0,0.0,3,0.0,0.0,3,0.3932533374123423,0.004064836701850126,3,0.0,0.0
binary,1,l2,4,3,0.39182755946321834,0.00751378285981914,3,25.076963805645974,0.48088210302842493,3,0.39182755946321834,0.00751378285981914,3,0.0,0.0,3,0.0,0.0,3,0.39182755946321834,0.00751378285981914,3,0.0,0.0
binary,2,l1,2,3,0.013307311441437998,0.0016259130447242828,3,0.8516679322520319,0.1040584348623541,3,0.013307311441437998,0.0016259130447242828,3,0.0,0.0,3,0.0,0.0,3,0.013307311441437998,0.0016259130447242828,3,0.03875968977808952,0.013426750396251824
binary,2,l1,3,3,0.0397771659264358,0.0052211222932383415,3,2.545738619291891,0.33415182676725386,3,0.0397771659264358,0.0052211222932383415,3,0.0,0.0,3,0.0,0.0,3,0.0397771659264358,0.0052211222932383415,3,0.03875968977808952,0.013426750396251824
binary,2,l1,4,3,0.12140880939330552,0.00813732556391635,3,7.770163801171553,0.5207888360906464,3,0.12140880939330552,0.00813732556391635,3,0.0,0.0,3,0.0,0.0,3,0.12140880939330552,0.00813732556391635,3,0.015873016168673832,0.01374643523675268
binary,2,l2,2,3,0.3761652035043057,0.009657972842886253,3,24.074573024275566,0.6181102619447202,3,0.3761652035043057,0.009657972842886253,3,0.0,0.0,3,0.0,0.0,3,0.3761652035043057,0.009657972842886253,3,0.0,0.0
binary,2,l2,3,3,0.39039529967058356,0.007320507085287003,3,24.985299178917348,0.46851245345836817,3,0.39039529967058356,0.007320507085287003,3,0.0,0.0,3,0.0,0.0,3,0.39039529967058356,0.007320507085287003,3,0.0,0.0
binary,2,l2,4,3,0.39513770037025847,0.0058740019949968985,3,25.288812823696542,0.3759361276798015,3,0.39513770037025847,0.0058740019949968985,3,0.0,0.0,3,0.0,0.0,3,0.39513770037025847,0.0058740019949968985,3,0.0,0.0
binary,3,l1,2,3,0.012303492833509058,0.0035185675664814392,3,0.7874235413445797,0.2251883242548121,3,0.012303492833509058,0.0035185675664814392,3,0.0,0.0,3,0.0,0.0,3,0.012303492833509058,0.0035185675664814392,3,0.04651162773370743,0.0
binary,3,l1,3,3,0.039316911680351375,0.007936237151922728,3,2.516282347542488,0.5079191777230546,3,0.039316911680351375,0.007936237151922728,3,0.0,0.0,3,0.0,0.0,3,0.039316911680351375,0.007936237151922728,3,0.05426356568932533,0.03552384246422027
binary,3,l1,4,3,0.12009537978530227,0.015319264304887724,3,7.686104306259345,0.9804329155128143,3,0.12009537978530227,0.015319264304887724,3,0.0,0.0,3,0.0,0.0,3,0.12009537978530227,0.015319264304887724,3,0.02380952425301075,0.02380952425301075
