seed,model_kind,split,layer,state,mean_state_norm,mean_per_neuron_variance,nonzero_fraction,firing_rate_per_step
11,c2,test,L1,spike50,7.304702281951904,0.3126921057701111,0.11904080350432168,0.05851668119430542
11,c2,test,L1,syn_current,2.016144037246704,0.01598529703915119,0.991826381059752,
11,c2,test,L1,pre_reset,3.3026041984558105,0.03959837928414345,0.991826381059752,
11,c2,test,L2,spike50,23.12516975402832,2.908839225769043,0.46731066211010897,0.37535303831100464
11,c2,test,L2,syn_current,8.021278381347656,0.5621844530105591,0.8723224351747464,
11,c2,test,L2,pre_reset,13.332709312438965,1.7075198888778687,0.8723224351747464,
11,c2,test,L3,spike50,22.686250686645508,2.544020652770996,0.3576802365182262,0.3318139910697937
11,c2,test,L3,syn_current,39.27638626098633,7.959219455718994,0.853250657647501,
11,c2,test,L3,pre_reset,75.74856567382812,30.341407775878906,0.853250657647501,
11,c2,test,L1,spike50,5.55192756652832,0.1723397672176361,0.08265493697478991,0.0374813973903656
11,c2,test,L1,syn_current,1.6739833354949951,0.008557295426726341,0.9908963585434174,
11,c2,test,L1,pre_reset,2.828754186630249,0.022311190143227577,0.9908963585434174,
11,c2,test,L2,spike50,20.54079246520996,2.4704596996307373,0.4366793592436975,0.33154433965682983
11,c2,test,L2,syn_current,5.780381679534912,0.26045316457748413,0.8494397759103641,
11,c2,test,L2,pre_reset,9.124241828918457,0.7231694459915161,0.8494397759103641,
11,c2,test,L3,spike50,21.341449737548828,2.4198708534240723,0.34202118347338933,0.31347382068634033
11,c2,test,L3,syn_current,34.110511779785156,6.778088569641113,0.819327731092437,
11,c2,test,L3,pre_reset,65.45465850830078,25.777503967285156,0.819327731092437,
