seed,model_kind,split,layer,state,mean_state_norm,mean_per_neuron_variance,nonzero_fraction,firing_rate_per_step
23,random_a2,test,L1,spike50,1.22940993309021,0.02568179741501808,0.013608018602029313,0.0047319792211055756
23,random_a2,test,L1,syn_current,1.0766843557357788,0.005879641510546207,0.991826381059752,
23,random_a2,test,L1,pre_reset,1.9773001670837402,0.017989374697208405,0.991826381059752,
23,random_a2,test,L2,spike50,3.629220724105835,0.2859925925731659,0.05084657436114243,0.03022976592183113
23,random_a2,test,L2,syn_current,1.3523142337799072,0.026734935119748116,0.6799135663284479,
23,random_a2,test,L2,pre_reset,2.3893239498138428,0.08139806240797043,0.6799135663284479,
23,random_a2,test,L1,spike50,0.45060378313064575,0.006114327814429998,0.004322041316526611,0.0012856705579906702
23,random_a2,test,L1,syn_current,0.8685796856880188,0.0031298482790589333,0.9908963585434174,
23,random_a2,test,L1,pre_reset,1.6255947351455688,0.009855316951870918,0.9908963585434174,
23,random_a2,test,L2,spike50,0.8169536590576172,0.04837462306022644,0.009951636904761904,0.005142682231962681
23,random_a2,test,L2,syn_current,0.5016904473304749,0.00549935782328248,0.6148459383753502,
23,random_a2,test,L2,pre_reset,0.926619827747345,0.01755988970398903,0.6148459383753502,
