seed,model_kind,split,layer,state,mean_state_norm,mean_per_neuron_variance,nonzero_fraction,firing_rate_per_step
37,a2,test,L1,spike50,7.362026691436768,0.30432674288749695,0.11651003499624202,0.057994820177555084
37,a2,test,L1,syn_current,2.005831003189087,0.015612496063113213,0.991826381059752,
37,a2,test,L1,pre_reset,3.2802305221557617,0.03916485235095024,0.991826381059752,
37,a2,test,L2,spike50,22.865215301513672,2.8871564865112305,0.46274529664599773,0.3700529634952545
37,a2,test,L2,syn_current,8.050596237182617,0.5272181034088135,0.8636790680195415,
37,a2,test,L2,pre_reset,13.474913597106934,1.5983319282531738,0.8636790680195415,
37,a2,test,L1,spike50,5.265535354614258,0.15708987414836884,0.07506127450980392,0.034384846687316895
37,a2,test,L1,syn_current,1.6203597784042358,0.008193899877369404,0.9908963585434174,
37,a2,test,L1,pre_reset,2.744828701019287,0.021638670936226845,0.9908963585434174,
37,a2,test,L2,spike50,20.228544235229492,2.406108856201172,0.42897080707282914,0.32439929246902466
37,a2,test,L2,syn_current,5.581916332244873,0.23067069053649902,0.8270308123249299,
37,a2,test,L2,pre_reset,8.792187690734863,0.6335471868515015,0.8270308123249299,
