label_idx,label,test_samples,intra_cosine_distance
0,A,11,0.049931877184372975
1,B,9,0.05523874869272105
2,C,12,0.06450013577899183
3,D,11,0.06497800971156642
4,E,12,0.03578361143432873
5,G,12,0.04724633089914332
6,H,12,0.05862459027580691
7,I,11,0.04406542055355167
8,J,12,0.043393877478482
9,K,12,0.04580953022793577
10,L,6,0.050178337364429115
11,X,7,0.0867354698173014
