transition,count,fraction
reference_wrong -> query_wrong,64,0.5039370078740157
reference_correct -> query_wrong,36,0.28346456692913385
reference_correct -> query_correct,20,0.15748031496062992
reference_wrong -> query_correct,7,0.05511811023622047
