label_idx,label,samples,mean_embedding_cosine_similarity,mean_embedding_cosine_distance,prediction_agreement
0,A,11,0.9682987163761673,0.031701283623832725,0.18181818181818182
1,B,9,0.9649171009037089,0.03508289909629114,0.8888888888888888
2,C,12,0.9434665803299972,0.05653341967000272,0.3333333333333333
3,D,11,0.941295555123181,0.05870444487681903,0.18181818181818182
4,E,12,0.9443508148520171,0.05564918514798298,0.3333333333333333
5,G,12,0.9582455173585488,0.04175448264145113,0.3333333333333333
6,H,12,0.9369505970749795,0.06304940292502047,0.25
7,I,11,0.9303818120754812,0.06961818792451885,0.18181818181818182
8,J,12,0.9617897784466513,0.038210221553348724,0.6666666666666666
9,K,12,0.9556009329635563,0.04439906703644387,0.08333333333333333
10,L,6,0.944812212703135,0.055187787296864986,0.3333333333333333
11,X,7,0.9451153569831591,0.054884643016841025,0.8571428571428571
