split_seed,train_users,val_users,test_users,n_train,n_val,n_test
11,user_0|user_10|user_13|user_15|user_18|user_19|user_20|user_4|user_5|user_6|user_7|user_8,user_11|user_12|user_16|user_9,user_1|user_14|user_2|user_3,477,168,208
23,user_0|user_1|user_12|user_13|user_15|user_18|user_19|user_2|user_20|user_4|user_7|user_9,user_10|user_11|user_14|user_3,user_16|user_5|user_6|user_8,495,181,177
37,user_0|user_11|user_12|user_15|user_16|user_18|user_19|user_2|user_3|user_6|user_7|user_8,user_1|user_13|user_20|user_5,user_10|user_14|user_4|user_9,519,176,158
53,user_1|user_10|user_12|user_13|user_14|user_15|user_19|user_20|user_5|user_7|user_8|user_9,user_16|user_3|user_4|user_6,user_0|user_11|user_18|user_2,514,199,140
71,user_1|user_10|user_11|user_12|user_13|user_14|user_18|user_19|user_20|user_5|user_7|user_9,user_0|user_15|user_3|user_8,user_16|user_2|user_4|user_6,503,170,180
