split_seed,representation,n_bins,feature_dim,mean_train_bin_samples,mean_val_bin_samples,mean_test_bin_samples,probe,eval_split,accuracy,balanced_accuracy,macro_f1
11,relative_bin_count,1,30,98.10433070866142,104.75208913649026,90.38901098901098,logreg,val,0.1977715877437326,0.19597421808960266,0.1815930055449021
11,relative_bin_count,1,30,98.10433070866142,104.75208913649026,90.38901098901098,logreg,test,0.2835164835164835,0.2855807268926464,0.26425414849810597
11,relative_bin_count,1,30,98.10433070866142,104.75208913649026,90.38901098901098,knn5,val,0.13649025069637882,0.12641236968160047,0.1152236719974209
11,relative_bin_count,1,30,98.10433070866142,104.75208913649026,90.38901098901098,knn5,test,0.14285714285714285,0.13964684051758355,0.12853168684158306
11,relative_bin_rate,1,30,98.10433070866142,104.75208913649026,90.38901098901098,logreg,val,0.1615598885793872,0.16212489433643282,0.15618579019646078
11,relative_bin_rate,1,30,98.10433070866142,104.75208913649026,90.38901098901098,logreg,test,0.23076923076923078,0.23453368526897939,0.21718013393407418
11,relative_bin_rate,1,30,98.10433070866142,104.75208913649026,90.38901098901098,knn5,val,0.10306406685236769,0.09854536489151873,0.08619355421643589
11,relative_bin_rate,1,30,98.10433070866142,104.75208913649026,90.38901098901098,knn5,test,0.09230769230769231,0.09116075917546507,0.07440105147177373
11,relative_bin_count,2,60,49.05216535433071,52.37604456824513,45.19450549450549,logreg,val,0.2590529247910863,0.2680215084061238,0.2606041939599399
11,relative_bin_count,2,60,49.05216535433071,52.37604456824513,45.19450549450549,logreg,test,0.44835164835164837,0.44833988251170914,0.4472194399859274
11,relative_bin_count,2,60,49.05216535433071,52.37604456824513,45.19450549450549,knn5,val,0.21727019498607242,0.20642199680661222,0.1887500261308091
11,relative_bin_count,2,60,49.05216535433071,52.37604456824513,45.19450549450549,knn5,test,0.27692307692307694,0.2704921476012807,0.26226481647823646
11,relative_bin_rate,2,60,49.05216535433071,52.37604456824513,45.19450549450549,logreg,val,0.2590529247910863,0.26545564478256783,0.26744063866809903
11,relative_bin_rate,2,60,49.05216535433071,52.37604456824513,45.19450549450549,logreg,test,0.4197802197802198,0.41853020560450904,0.41848930359837877
11,relative_bin_rate,2,60,49.05216535433071,52.37604456824513,45.19450549450549,knn5,val,0.181058495821727,0.17495597351366585,0.15908086997143447
11,relative_bin_rate,2,60,49.05216535433071,52.37604456824513,45.19450549450549,knn5,test,0.22417582417582418,0.2194740480537694,0.19838967885466757
11,relative_bin_count,4,120,24.526082677165356,26.188022284122564,22.597252747252746,logreg,val,0.38997214484679665,0.3858598666290974,0.39108041114001024
11,relative_bin_count,4,120,24.526082677165356,26.188022284122564,22.597252747252746,logreg,test,0.5868131868131868,0.5893976078960599,0.5882086250671695
11,relative_bin_count,4,120,24.526082677165356,26.188022284122564,22.597252747252746,knn5,val,0.27019498607242337,0.26526192824269745,0.2615847773827457
11,relative_bin_count,4,120,24.526082677165356,26.188022284122564,22.597252747252746,knn5,test,0.4153846153846154,0.4124624579926437,0.4096680086528132
11,relative_bin_rate,4,120,24.526082677165356,26.188022284122564,22.597252747252746,logreg,val,0.3816155988857939,0.3790222597914905,0.3861472723125966
11,relative_bin_rate,4,120,24.526082677165356,26.188022284122564,22.597252747252746,logreg,test,0.5846153846153846,0.588620802572041,0.5821298789147274
11,relative_bin_rate,4,120,24.526082677165356,26.188022284122564,22.597252747252746,knn5,val,0.2395543175487465,0.23171198459659997,0.23133020039715474
11,relative_bin_rate,4,120,24.526082677165356,26.188022284122564,22.597252747252746,knn5,test,0.37142857142857144,0.36889222963139373,0.37214445083739967
11,relative_bin_count,6,180,16.3507217847769,17.458681522748375,15.064835164835165,logreg,val,0.4373259052924791,0.4332828496290035,0.4280157431393352
11,relative_bin_count,6,180,16.3507217847769,17.458681522748375,15.064835164835165,logreg,test,0.6197802197802198,0.6178919914794528,0.6207461643719893
11,relative_bin_count,6,180,16.3507217847769,17.458681522748375,15.064835164835165,knn5,val,0.28690807799442897,0.2810715459753921,0.26283804859418897
