representation,n_bins,probe,n_splits,mean_balanced_accuracy,sd_balanced_accuracy,mean_accuracy,sd_accuracy,mean_macro_f1,sd_macro_f1
relative_bin_count,1,knn5,3,0.14666123295261185,0.006298604146999044,0.15099214391110535,0.00777890237443431,0.13483329470793973,0.006317353601476745
relative_bin_count,1,logreg,3,0.25216979762407243,0.03521187611727681,0.2526460397428139,0.030649571337291955,0.2383494411131323,0.030932627481173505
relative_bin_count,2,knn5,3,0.25846862777084256,0.027018233717974384,0.263762603337741,0.02425462897014243,0.24644822025545143,0.02940217085510292
relative_bin_count,2,logreg,3,0.40103971662527266,0.0489333672342278,0.39802069888615915,0.05073889464610957,0.3969476648030858,0.052480286209413
relative_bin_count,4,knn5,3,0.3651571600473124,0.055660652081571615,0.3704006515965603,0.0532177872926491,0.3620854063764604,0.05715248393122075
relative_bin_count,4,logreg,3,0.5036338416815912,0.07814005550391843,0.4975194284399635,0.07969501555064396,0.4993647261677525,0.08050584844175997
relative_bin_count,6,knn5,3,0.3983391037287798,0.06245417848947619,0.4043600424402942,0.05915102535479129,0.3989914266669796,0.06109353538149649
relative_bin_count,6,logreg,3,0.5444330695655416,0.06845802448955347,0.544170594682003,0.0680596702610243,0.549027241164865,0.06413874830165807
relative_bin_count,8,knn5,3,0.3993951351432299,0.04738413587279803,0.4035351715918199,0.04547637763342052,0.4081919416838667,0.045688617176565596
relative_bin_count,8,logreg,3,0.5627262034248817,0.08805120701750505,0.5576562552172308,0.08743324111452441,0.5573693289218249,0.08603366962621152
relative_bin_count,10,knn5,3,0.3423356363014615,0.06575799822865792,0.3525806710700495,0.062075760817561124,0.34105520650383364,0.07258213223520606
relative_bin_count,10,logreg,3,0.5628644748167253,0.08417334138815638,0.5620448613367575,0.08301520143136044,0.5606747401080854,0.0826118795293448
relative_bin_count,12,knn5,3,0.33074894656074694,0.051498632892231125,0.3364502094635848,0.046906721784783625,0.34713148510921404,0.05394327722374088
relative_bin_count,12,logreg,3,0.5678978458717683,0.08999337876056028,0.5649326283472624,0.08848946995503564,0.5708113639166297,0.0864207129686269
relative_bin_count,16,knn5,3,0.2610044937399665,0.026477096360946622,0.2686682842465691,0.024222278626576662,0.2696619612444414,0.0244530063588621
relative_bin_count,16,logreg,3,0.515598677098439,0.09122930701958804,0.5153014249788442,0.08447868119222149,0.5141958815795078,0.08278529843681873
relative_bin_count,20,knn5,3,0.2114443844945155,0.014750368075347322,0.21816042744445577,0.011474540603756382,0.22088535397293285,0.025387785513983338
relative_bin_count,20,logreg,3,0.499847358215422,0.09322644125977544,0.5005442498754852,0.0886815965063496,0.49869990465838954,0.0843260244473346
relative_bin_rate,1,knn5,3,0.10124690961795035,0.02383615869454311,0.10366445630017622,0.024667501741776624,0.0850219035821035,0.013544782392672103
relative_bin_rate,1,logreg,3,0.20784669704352962,0.024741881291946693,0.20850906531473012,0.019907483376188185,0.19527690065840955,0.021705763386695172
relative_bin_rate,2,knn5,3,0.19752567638671473,0.020568241013604244,0.2058662146781738,0.019861750659962235,0.17277273584512318,0.024924647125641203
relative_bin_rate,2,logreg,3,0.37783746302738913,0.03902210577626041,0.37315331461672924,0.04267194242451035,0.37673619289030524,0.042396381322931
relative_bin_rate,4,knn5,3,0.32296597886470474,0.03981647023193267,0.32566813086089247,0.03963652165575264,0.320053246712299,0.04597725272223214
relative_bin_rate,4,logreg,3,0.4904318865887096,0.09003516017121545,0.48565002034710925,0.08906930537327638,0.4846542160353611,0.09012877570663004
relative_bin_rate,6,knn5,3,0.3698184037148671,0.04373867049280216,0.3743889935864759,0.04172310157060668,0.36159772586944205,0.042003436928615454
relative_bin_rate,6,logreg,3,0.5205028530165468,0.06841559268862438,0.5200134189906023,0.06681772208416258,0.5217393147461625,0.06367225909515206
relative_bin_rate,8,knn5,3,0.3858003792556663,0.01634200666569486,0.39126924303950267,0.019347033423480865,0.38068443414443426,0.01168470910333449
relative_bin_rate,8,logreg,3,0.5342644026631286,0.07087275044447897,0.5307639587734001,0.06853393085842638,0.5239825671082309,0.0705555982433712
relative_bin_rate,10,knn5,3,0.33786739190704423,0.05827576936656103,0.3448907883211581,0.05574440393256853,0.32568336047575674,0.05817388145105579
relative_bin_rate,10,logreg,3,0.5478855704221862,0.08754883150290806,0.5470225260941233,0.08613045212894058,0.5446026378474311,0.08824319157867763
relative_bin_rate,12,knn5,3,0.3291365098521564,0.022023819381667642,0.33531249471454033,0.024212366149255125,0.32723970648947476,0.013922717972789427
relative_bin_rate,12,logreg,3,0.5395549843349915,0.08140610621085999,0.5379842525397206,0.08036136361793764,0.5370273762573684,0.07744012601457202
relative_bin_rate,16,knn5,3,0.27652767218139923,0.03950612142907147,0.2856098181039172,0.03596252466969942,0.27027245376731807,0.03931938154072371
relative_bin_rate,16,logreg,3,0.4940150534637317,0.0878354497314617,0.4955441504615384,0.07839987253768489,0.49225302306002344,0.08108330541971656
relative_bin_rate,20,knn5,3,0.21510290859987216,0.0290546037209813,0.21937426736797314,0.029086733345759862,0.2101404454622856,0.018726208973927013
relative_bin_rate,20,logreg,3,0.47864495028403103,0.08503508041758089,0.47795099093289495,0.08115705493137004,0.47288548713153417,0.08003147087798738
