split_seed,n_bins,probe,relative_bin_count,relative_bin_rate,delta_rate_minus_count_BA
11,1,knn5,0.13964684051758355,0.09116075917546507,-0.04848608134211849
11,1,logreg,0.2855807268926464,0.23453368526897939,-0.05104704162366702
11,2,knn5,0.2704921476012807,0.2194740480537694,-0.0510180995475113
11,2,logreg,0.44833988251170914,0.41853020560450904,-0.0298096769072001
11,4,knn5,0.4124624579926437,0.36889222963139373,-0.04357022836124996
11,4,logreg,0.5893976078960599,0.588620802572041,-0.0007768053240189143
11,6,knn5,0.47040680982244454,0.41706970575004626,-0.05333710407239828
11,6,logreg,0.6178919914794528,0.5960782659892566,-0.021813725490196223
11,8,knn5,0.4505431187319732,0.3938105302849885,-0.0567325884469847
11,8,logreg,0.6539488568706834,0.6089971818686989,-0.04495167500198449
11,10,knn5,0.41826641925326136,0.40434098065677015,-0.013925438596491202
11,10,logreg,0.6582142573628642,0.6479710777698393,-0.010243179593024898
11,12,knn5,0.3739777658701806,0.350592899102961,-0.023384866767219625
11,12,logreg,0.6629729962160303,0.6332256688100342,-0.02974732740599617
11,16,knn5,0.2880700762086211,0.3213614021857056,0.03329132597708451
11,16,logreg,0.6136724021592443,0.586760571300045,-0.026911830859199348
11,20,knn5,0.21605656770130455,0.24859490354846392,0.03253833584715937
11,20,logreg,0.6059619023047815,0.5762711359847582,-0.02969076632002332
23,1,knn5,0.14850375554561074,0.08411196332576423,-0.0643917922198465
23,1,logreg,0.21539797871811445,0.1856706390643042,-0.029727339653810247
23,2,knn5,0.22752573909248117,0.19440987933634993,-0.03311585975613124
23,2,logreg,0.3506222064762789,0.34073399576793234,-0.009888210708346556
23,4,knn5,0.3038247448880933,0.2981492301062437,-0.005675514781849578
23,4,logreg,0.436476444621241,0.4117480276134122,-0.024728417007828796
23,6,knn5,0.36458751153321284,0.36163804772402053,-0.0029494638091923098
23,6,logreg,0.4824184111514428,0.46279126542135596,-0.019627145730086837
23,8,knn5,0.356993512395096,0.3965919010602269,0.03959838866513088
23,8,logreg,0.4782325454836768,0.4680153964939033,-0.010217148989773495
23,10,knn5,0.30433175735777546,0.2955745611854209,-0.008757196172354542
23,10,logreg,0.4988658086508765,0.4855153550572103,-0.013350453593666212
23,12,knn5,0.27377126392963497,0.3302305882905431,0.056459324360908114
23,12,logreg,0.4840374808700601,0.4859147702473494,0.0018772893772893151
23,16,knn5,0.2351579981104868,0.26140368869441266,0.026245690583925868
23,16,logreg,0.4332609917734352,0.41209278089934204,-0.021168210874093152
23,20,knn5,0.19493902590622045,0.20005535251575976,0.005116326609539312
23,20,logreg,0.43110738871485477,0.42073181343543337,-0.0103755752794214
37,1,knn5,0.15183310279464127,0.12846800635262173,-0.023365096442019534
37,1,logreg,0.2555306872614565,0.20333576679730528,-0.05219492046415122
37,2,knn5,0.27738799661876584,0.17869310177002484,-0.098694894848741
37,2,logreg,0.4041570608878301,0.3742481877097262,-0.029908873178103923
37,4,knn5,0.3791842772612003,0.3018564768564768,-0.07732780040472348
37,4,logreg,0.4850274725274725,0.4709268295806757,-0.014100642946796804
37,6,knn5,0.3600229898306821,0.3307474576705346,-0.0292755321601475
37,6,logreg,0.5329888060657291,0.5026390276390277,-0.03034977842670139
37,8,knn5,0.3906487743026204,0.36699870642178334,-0.023650067880837067
37,8,logreg,0.5559972079202848,0.5257806296267835,-0.03021657829350133
37,10,knn5,0.3044087322933477,0.3136866338789416,0.009277901585593884
37,10,logreg,0.5315133584364353,0.5101702784395092,-0.021343079996926084
37,12,knn5,0.3444978098824253,0.30658604216296526,-0.03791176771946003
37,12,logreg,0.5566830605292143,0.4995245139475909,-0.05715854658162345
37,16,knn5,0.25978540690079155,0.24681792566407948,-0.01296748123671207
37,16,logreg,0.4998626373626373,0.48319180819180807,-0.016670829170829238
37,20,knn5,0.22333755987602144,0.19665846973539283,-0.02667909014062861
37,20,logreg,0.46247278362662975,0.4389319014319014,-0.02354088219472833
