architecture,routing,seed,sample_index,label,routing_disagreement_rate,oracle_true_class_margin,predicted_true_class_margin,margin_delta_pred_minus_oracle
gru64_progress,hard,37,0,8,0.7894736842105263,0.733148540928596,-0.7690530876010371,-1.5022016285296331
gru64_progress,hard,37,1,1,0.47058823529411764,0.7952496495317973,-1.4777190368305355,-2.272968686362333
gru64_progress,hard,37,2,11,0.3142857142857143,-2.3067656968462416,-2.7632936109100683,-0.45652791406382676
gru64_progress,hard,37,3,4,0.6929824561403509,2.9458113762843823,0.31177619335676354,-2.6340351829276187
gru64_progress,hard,37,4,5,0.7614678899082569,6.240204852049374,-4.838522563829201,-11.078727415878575
gru64_progress,hard,37,5,2,0.2916666666666667,5.740866319492511,4.4030940176775175,-1.3377723018149936
gru64_progress,hard,37,6,7,0.6236559139784946,3.9599832546734888,0.02458694284609919,-3.9353963118273896
gru64_progress,hard,37,7,3,0.4105263157894737,2.090996662299972,0.6604392569354331,-1.4305574053645387
gru64_progress,hard,37,8,6,0.4019607843137255,5.366861559881613,4.500513878778975,-0.8663476811026385
gru64_progress,hard,37,9,0,0.6330275229357798,2.8326345182010755,3.2615627742413835,0.42892825604030804
gru64_progress,hard,37,10,9,0.5092592592592593,4.619460071644312,3.4023993508316153,-1.2170607208126967
gru64_progress,hard,37,11,0,0.6057692307692307,2.844050557843275,2.59360587438573,-0.25044468345754467
gru64_progress,hard,37,12,5,0.7543859649122807,4.827221066369702,-3.1521963243424125,-7.979417390712115
gru64_progress,hard,37,13,6,0.5784313725490197,-0.13115978085022562,-0.9146086622988605,-0.7834488814486349
gru64_progress,hard,37,14,4,0.6956521739130435,3.412118333051694,-0.6252493952495115,-4.037367728301206
gru64_progress,hard,37,15,3,0.6,2.9835187534580427,1.5627750436017322,-1.4207437098563105
gru64_progress,hard,37,16,8,0.7413793103448276,0.013043406589531514,-1.9494460873586377,-1.9624894939481692
gru64_progress,hard,37,17,7,0.4065934065934066,1.649351733587082,2.3106077939164607,0.6612560603293787
gru64_progress,hard,37,18,1,0.7815126050420168,3.3155706420083106,-0.20186185056036265,-3.5174324925686733
gru64_progress,hard,37,19,11,0.5581395348837209,-3.654906725136925,-7.4363467338614555,-3.7814400087245303
gru64_progress,hard,37,20,9,0.39805825242718446,4.636000343781063,5.268701336990944,0.6327009932098804
gru64_progress,hard,37,21,2,0.5714285714285714,4.943226803763423,4.16996674001939,-0.7732600637440328
gru64_progress,hard,37,22,10,0.819672131147541,3.1539136613179437,-0.8343345567705569,-3.9882482180885006
gru64_progress,hard,37,23,9,0.5925925925925926,3.0467882574964733,0.82603258500626,-2.2207556724902133
gru64_progress,hard,37,24,11,0.7553191489361702,-3.587695883034371,-7.6573831987414,-4.069687315707029
gru64_progress,hard,37,25,2,0.2236842105263158,1.180391637779934,0.7225054382330143,-0.45788619954691967
gru64_progress,hard,37,26,0,0.6890756302521008,1.0909934274748139,0.8265242768470387,-0.2644691506277752
gru64_progress,hard,37,27,10,0.3246753246753247,1.7176082985743903,1.0419797364393446,-0.6756285621350457
gru64_progress,hard,37,28,6,0.6727272727272727,2.82757496537414,-1.7262795584788648,-4.553854523853005
gru64_progress,hard,37,29,1,0.3412698412698413,1.435429998093241,1.8827976795840868,0.4473676814908458
gru64_progress,hard,37,30,7,0.2755102040816326,2.8418390867559538,2.660616353988871,-0.18122273276708256
gru64_progress,hard,37,31,5,0.8230088495575221,2.6585279751315056,-8.50319176084372,-11.161719735975225
gru64_progress,hard,37,32,4,0.632,2.9982146726624705,-3.1428068034408625,-6.141021476103333
gru64_progress,hard,37,33,8,0.9347826086956522,-0.9012322075177508,-0.5949776401002964,0.3062545674174544
gru64_progress,hard,37,34,1,0.35064935064935066,-2.3589253282698337,-2.8773657695878683,-0.5184404413180346
gru64_progress,hard,37,35,11,0.8448275862068966,1.0177914327383348,-2.9040231528312006,-3.9218145855695354
gru64_progress,hard,37,36,4,0.6477272727272727,0.05114516188859852,-0.07070553378412114,-0.12185069567271967
gru64_progress,hard,37,37,5,0.5267857142857143,4.380813609306301,3.41174612362272,-0.9690674856835813
gru64_progress,hard,37,38,2,0.9,2.045346168258334,-0.8313927431913726,-2.8767389114497064
gru64_progress,hard,37,39,7,0.8979591836734694,0.8536615113835069,0.9308496940238911,0.07718818264038418
gru64_progress,hard,37,40,3,0.5783132530120482,1.7065946667676144,0.3718461588725859,-1.3347485078950285
gru64_progress,hard,37,41,6,0.5632183908045977,2.7065337311897224,3.236445435496762,0.5299117043070396
gru64_progress,hard,37,42,0,0.30952380952380953,2.1528070522409735,0.8656168740375279,-1.2871901782034456
gru64_progress,hard,37,43,9,0.5915492957746479,2.435444848465835,2.2338793682406504,-0.2015654802251845
gru64_progress,hard,37,44,5,0.5929203539823009,0.7160273019767374,1.5497569202927934,0.8337296183160561
gru64_progress,hard,37,45,8,0.8846153846153846,-0.6785051245224167,-1.6317044209254163,-0.9531992964029996
gru64_progress,hard,37,46,3,0.717948717948718,-0.9146684006334453,0.1729432344450288,1.0876116350784741
gru64_progress,hard,37,47,4,0.24468085106382978,0.287011972884784,-0.3517646262469043,-0.6387765991316883
gru64_progress,hard,37,48,6,0.5977011494252874,1.3553344362089774,2.125561340501008,0.7702269042920307
gru64_progress,hard,37,49,1,0.46078431372549017,0.07576715635696019,-0.7372291566098284,-0.8129963129667885
gru64_progress,hard,37,50,10,0.9090909090909091,-2.0581355587284804,-2.5433295570596215,-0.4851939983311411
gru64_progress,hard,37,51,0,0.7786259541984732,1.2340010529496794,-0.384910995219343,-1.6189120481690225
gru64_progress,hard,37,52,9,0.6375,3.4080173349428833,3.218593441453322,-0.18942389348956112
gru64_progress,hard,37,53,7,0.8548387096774194,0.8427805728115345,0.08545995035638043,-0.7573206224551541
gru64_progress,hard,37,54,6,0.48,0.2676878357979149,-1.2866609470192998,-1.5543487828172147
gru64_progress,hard,37,55,4,0.4148936170212766,-0.24367362815041815,-0.8910165475808753,-0.6473429194304572
gru64_progress,hard,37,56,3,0.3924050632911392,-1.67979954377779,-2.465018373514795,-0.7852188297370049
gru64_progress,hard,37,57,8,0.8947368421052632,-0.19370967113991355,-0.11189814687986654,0.08181152426004701
gru64_progress,hard,37,58,7,0.94,1.218641603019023,-1.5314095168960193,-2.7500511199150424
gru64_progress,hard,37,59,1,0.7419354838709677,-1.5735881827895355,-0.47523789896331436,1.0983502838262211
gru64_progress,hard,37,60,11,0.7419354838709677,-0.5641531013261556,-3.148228380259525,-2.584075278933369
gru64_progress,hard,37,61,9,0.5581395348837209,0.02401455318340595,0.07606536967716693,0.052050816493760976
gru64_progress,hard,37,62,2,0.9074074074074074,1.8568807669489615,-1.0301354231178266,-2.887016190066788
gru64_progress,hard,37,63,10,0.9074074074074074,-0.7464380309497471,-1.8629854656145142,-1.116547434664767
gru64_progress,hard,37,64,8,0.9074074074074074,-0.4631225218245163,-0.7282591678635981,-0.2651366460390818
gru64_progress,hard,37,65,1,0.24691358024691357,-1.4804221135450462,-2.559920768691427,-1.0794986551463808
gru64_progress,hard,37,66,11,0.75,3.220150605092357,2.400743854840016,-0.819406750252341
gru64_progress,hard,37,67,4,0.3373493975903614,-0.06869970785476198,0.6477352178235378,0.7164349256782998
gru64_progress,hard,37,68,5,0.6081081081081081,-0.07996219657729853,-1.2440863218425307,-1.1641241252652321
gru64_progress,hard,37,69,2,0.8947368421052632,0.32869657140054187,-0.841926023200358,-1.1706225946009
gru64_progress,hard,37,70,7,0.9375,0.884618483122722,-1.0797212577001574,-1.9643397408228793
gru64_progress,hard,37,71,3,0.7941176470588235,-0.7826590668632889,-0.8100154110320545,-0.027356344168765645
gru64_progress,hard,37,72,6,0.6842105263157895,0.3876004392466257,1.2006876502210844,0.8130872109744587
gru64_progress,hard,37,73,0,0.7083333333333334,-0.6611394312741936,-1.8063865175117826,-1.145247086237589
gru64_progress,hard,37,74,9,0.5384615384615384,0.36712882114898093,-0.7336026895557097,-1.1007315107046907
gru64_progress,hard,37,75,8,0.7611940298507462,1.405986737533567,0.4306886651120294,-0.9752980724215377
gru64_progress,hard,37,76,1,0.6475409836065574,3.554756360485726,1.3702702215139198,-2.184486138971806
gru64_progress,hard,37,77,11,0.2716049382716049,-0.9756313860925729,-1.198632168938218,-0.22300078284564506
gru64_progress,hard,37,78,4,0.7933884297520661,1.928624511497219,-0.05155159079586724,-1.9801761022930862
gru64_progress,hard,37,79,5,0.6890756302521008,0.7867605134515543,-0.8487926899924787,-1.635553203444033
gru64_progress,hard,37,80,2,0.6933333333333334,0.6120543224237736,-0.2535335726042831,-0.8655878950280567
gru64_progress,hard,37,81,7,0.6,1.3476858220683425,0.27861226161621744,-1.069073560452125
gru64_progress,hard,37,82,3,0.3870967741935484,2.0936733414955597,1.612915953490642,-0.48075738800491763
gru64_progress,hard,37,83,6,0.42718446601941745,-0.33039388146153215,0.510231463729724,0.8406253451912562
gru64_progress,hard,37,84,0,0.45555555555555555,2.82235470750652,2.064181356594702,-0.758173350911818
gru64_progress,hard,37,85,9,0.5384615384615384,3.700985128164575,2.7177402513648303,-0.9832448767997448
gru64_progress,hard,37,86,6,0.3253012048192771,-0.7228425049241878,-1.2961510286650082,-0.5733085237408204
gru64_progress,hard,37,87,4,0.3010752688172043,3.171984385163796,3.1546091642867395,-0.017375220877056563
gru64_progress,hard,37,88,3,0.4939759036144578,1.6104251968730523,1.0139012339095643,-0.596523962963488
gru64_progress,hard,37,89,8,0.8813559322033898,-1.8693353896651388,0.1469174473422754,2.016252837007414
gru64_progress,hard,37,90,7,0.4186046511627907,3.5175053792327162,3.7461220679761027,0.22861668874338648
gru64_progress,hard,37,91,1,0.4854368932038835,1.9198416489765577,-0.3102141756044148,-2.2300558245809725
gru64_progress,hard,37,92,11,0.8055555555555556,-3.3893180210870923,-2.5931032350296164,0.796214786057476
gru64_progress,hard,37,93,9,0.5,1.8900632438666207,2.9285236012277664,1.0384603573611457
gru64_progress,hard,37,94,2,0.8571428571428571,1.6232541353551255,-0.5969195120673021,-2.2201736474224276
gru64_progress,hard,37,95,10,0.8947368421052632,-0.3572726884131612,-0.15657418068337847,0.2006985077297827
gru64_progress,hard,37,96,9,0.34,4.48716262740561,4.292602017565514,-0.19456060984009582
gru64_progress,hard,37,97,2,0.859375,1.7946781369846576,0.3627448842805734,-1.4319332527040842
