transition,count,fraction
reference_wrong -> query_wrong,108,0.8503937007874016
reference_wrong -> query_correct,9,0.07086614173228346
reference_correct -> query_wrong,8,0.06299212598425197
reference_correct -> query_correct,2,0.015748031496062992
