label_idx,label,samples,mean_embedding_cosine_similarity,mean_embedding_cosine_distance,prediction_agreement
0,A,11,0.9202413127706751,0.07975868722932486,0.2727272727272727
1,B,9,0.9382914322997485,0.06170856770025146,0.1111111111111111
2,C,12,0.9210683793941623,0.0789316206058378,0.3333333333333333
3,D,11,0.9170353790437208,0.08296462095627914,0.09090909090909091
4,E,12,0.9250964542668445,0.0749035457331556,0.16666666666666666
5,G,12,0.9424424615615467,0.05755753843845337,0.25
6,H,12,0.9446383182659273,0.05536168173407283,0.25
7,I,11,0.9299332552261241,0.07006674477387591,0.0
8,J,12,0.9160480494261961,0.08395195057380384,0.16666666666666666
9,K,12,0.9369396158264435,0.06306038417355662,0.25
10,L,6,0.9212748010269108,0.0787251989730892,0.16666666666666666
11,X,7,0.9534277713379972,0.0465722286620029,0.2857142857142857
