when,routing,seed,trainable_parameter_count,test_balanced_accuracy,test_accuracy,test_macro_f1,test_loss
oracle,hard,11,0,0.7153339715839716,0.7397260273972602,0.7170528081895419,0.9380430214496701
oracle,local2,11,0,0.7194375069375071,0.7465753424657534,0.72052009709431,0.948999488594243
oracle,hard,23,0,0.630476467976468,0.6438356164383562,0.6454019574415234,1.2627628319091821
oracle,local2,23,0,0.6428391053391054,0.6575342465753424,0.6583444229544999,1.2518851198617185
oracle,hard,37,0,0.7174152236652236,0.7397260273972602,0.7191265840089827,0.9092468789244699
oracle,local2,37,0,0.7038870851370852,0.726027397260274,0.7059063240191427,0.9178188719750737
oracle,hard,53,0,0.7077200577200577,0.726027397260274,0.7103824155235446,0.9727292529829823
oracle,local2,53,0,0.6937340437340437,0.7123287671232876,0.6925252726664017,0.9859527484301931
oracle,hard,71,0,0.6622655122655122,0.678082191780822,0.6608761397443701,1.1061637777102376
oracle,local2,71,0,0.6827380952380953,0.6986301369863014,0.6808378165715122,1.1159847014325956
gru64_progress,hard,11,37313,0.427997002997003,0.4452054794520548,0.38638382466135196,1.6185834063881874
gru64_progress,local2,11,37313,0.4474775224775225,0.4657534246575342,0.4152283029870582,1.5794883843438619
gru64_progress,hard,23,37313,0.3681034243534244,0.3767123287671233,0.35957864271358453,4.1903299763005055
gru64_progress,local2,23,37313,0.3690954878454879,0.3767123287671233,0.3602880204817858,3.903168888584083
gru64_progress,hard,37,37313,0.4387230824730824,0.4589041095890411,0.41742583396995164,1.530183867563419
gru64_progress,local2,37,37313,0.43709970584970587,0.4589041095890411,0.41458333333333347,1.485580373908518
gru64_progress,hard,53,37313,0.4254807692307692,0.4315068493150685,0.4027220656593722,1.7471851794896502
gru64_progress,local2,53,37313,0.42534548784548787,0.4383561643835616,0.4023105209566884,1.7128548748081216
gru64_progress,hard,71,37313,0.3973353035853036,0.4178082191780822,0.37538891179720607,3.7571140381063763
gru64_progress,local2,71,37313,0.3738504551004551,0.3972602739726027,0.3500577481920056,3.5810842285264317
rsnn64_progress,hard,11,12353,0.41132131757131757,0.4315068493150685,0.3916084106525283,1.6562074437794325
rsnn64_progress,local2,11,12353,0.42606698856698855,0.4452054794520548,0.4102272472209263,1.609286083747681
rsnn64_progress,hard,23,12353,0.32873862248862246,0.3424657534246575,0.3149459832335307,3.5803049567672276
rsnn64_progress,local2,23,12353,0.32903832278832273,0.3424657534246575,0.29981642132377423,3.2435520942764553
rsnn64_progress,hard,37,12353,0.44202394827394825,0.4589041095890411,0.4316854575398755,1.4966125546282016
rsnn64_progress,local2,37,12353,0.452763209013209,0.4726027397260274,0.43767635652355047,1.4610891904170569
rsnn64_progress,hard,53,12353,0.4311015373515373,0.4383561643835616,0.4170330758566052,1.6614223600214453
rsnn64_progress,local2,53,12353,0.4383075258075258,0.4520547945205479,0.419117097425921,1.6062417971890153
rsnn64_progress,hard,71,12353,0.2979194416694417,0.3082191780821918,0.29669182963137364,4.284633066089961
rsnn64_progress,local2,71,12353,0.31669233544233544,0.3287671232876712,0.312165221346807,3.9718284808433406
