seed,true_phase,substitute_phase,n_timesteps,mean_evidence_l2
11,0,0,1276,0.0
11,0,1,1276,0.0104405601812283
11,0,2,1276,0.0103018453048299
11,0,3,1276,0.0103912190402836
11,0,4,1276,0.0096948991100315
11,0,5,1276,0.0106218063262574
11,0,6,1276,0.0120081598361456
11,0,7,1276,0.0121419337139651
11,0,8,1276,0.0134850858848558
11,0,9,1276,0.0116129917948341
11,1,0,1198,0.0761618323191446
11,1,1,1198,0.0
11,1,2,1198,0.0390096166741718
11,1,3,1198,0.0499486041360434
11,1,4,1198,0.0494534254659405
11,1,5,1198,0.0544047879413378
11,1,6,1198,0.0552758366619954
11,1,7,1198,0.0598452736991459
11,1,8,1198,0.0810600083807426
11,1,9,1198,0.0635839912470123
11,2,0,1211,0.2077760633445589
11,2,1,1211,0.0932445608510404
11,2,2,1211,0.0
11,2,3,1211,0.0626700888266299
11,2,4,1211,0.078199377301641
11,2,5,1211,0.1171045083414103
11,2,6,1211,0.1187208709716829
11,2,7,1211,0.1315083937872809
11,2,8,1211,0.1651047446720847
11,2,9,1211,0.1365406904084901
11,3,0,1207,0.2915377601868904
11,3,1,1207,0.1578108834855331
11,3,2,1207,0.0792662401023508
11,3,3,1207,0.0
11,3,4,1207,0.0901980456808035
11,3,5,1207,0.1583423890784058
11,3,6,1207,0.1741604972632975
11,3,7,1207,0.175050726024911
11,3,8,1207,0.200303217421928
11,3,9,1207,0.1863148931550294
11,4,0,1179,0.3398699237334185
11,4,1,1179,0.2098882675795532
11,4,2,1179,0.1302823295902418
11,4,3,1179,0.1123815924057004
11,4,4,1179,0.0
11,4,5,1179,0.1546503432264669
11,4,6,1179,0.1863411420276085
11,4,7,1179,0.2079078785140688
11,4,8,1179,0.2561273018921269
11,4,9,1179,0.22980456537094
11,5,0,1232,0.3517920615441097
11,5,1,1232,0.2308876077827605
11,5,2,1232,0.1886802767634867
11,5,3,1232,0.2024404492068949
11,5,4,1232,0.1567355821637385
11,5,5,1232,0.0
11,5,6,1232,0.1395204793428797
11,5,7,1232,0.2285072724777591
11,5,8,1232,0.2829234723876954
11,5,9,1232,0.2498624925118949
11,6,0,1219,0.3768467471015582
11,6,1,1219,0.2251421218072979
11,6,2,1219,0.1882780903097473
11,6,3,1219,0.221389310020046
11,6,4,1219,0.1924088958100437
11,6,5,1219,0.1382790723800661
11,6,6,1219,0.0
11,6,7,1219,0.1535882428535523
11,6,8,1219,0.2299442785504844
11,6,9,1219,0.2387385825042181
11,7,0,1199,0.4263522993776129
11,7,1,1199,0.2294967442908541
11,7,2,1199,0.1708732135500897
11,7,3,1199,0.2022390980748162
11,7,4,1199,0.2066939555383036
11,7,5,1199,0.2287908018965891
11,7,6,1199,0.1563737095074677
11,7,7,1199,0.0
11,7,8,1199,0.1647977613102162
11,7,9,1199,0.2411926345716613
11,8,0,1210,0.415374240019117
11,8,1,1210,0.2398806668845053
11,8,2,1210,0.2039427674200636
11,8,3,1210,0.2412925676231277
11,8,4,1210,0.264236080541992
11,8,5,1210,0.2819733602744976
11,8,6,1210,0.2318161298371737
11,8,7,1210,0.1683498524700846
11,8,8,1210,0.0
11,8,9,1210,0.2346579854883294
11,9,0,1141,0.4217326811561199
11,9,1,1141,0.2820631451713109
11,9,2,1141,0.2267164508819446
11,9,3,1141,0.2542314038875779
11,9,4,1141,0.2503525307413359
11,9,5,1141,0.2650478433763432
11,9,6,1141,0.2471567011987983
11,9,7,1141,0.2516711609983855
11,9,8,1141,0.235641254411018
11,9,9,1141,0.0
23,0,0,1276,0.0
23,0,1,1276,0.0451882483242074
23,0,2,1276,0.0434633195990458
23,0,3,1276,0.0451062988437521
23,0,4,1276,0.0457433146642957
23,0,5,1276,0.0450392958115983
23,0,6,1276,0.0417687802571347
23,0,7,1276,0.0491772470800215
23,0,8,1276,0.0492396326698641
23,0,9,1276,0.0555576550952636
23,1,0,1198,0.2437668442609073
23,1,1,1198,0.0
23,1,2,1198,0.1455725193691676
23,1,3,1198,0.1545430895045129
23,1,4,1198,0.1462234024812034
23,1,5,1198,0.1659643190769537
23,1,6,1198,0.1423689455800429
23,1,7,1198,0.1909193469889046
23,1,8,1198,0.2203549679821785
23,1,9,1198,0.2610113741527326
23,2,0,1211,0.6233630404148977
23,2,1,1211,0.3664079827708513
23,2,2,1211,0.0
23,2,3,1211,0.2797090285920517
23,2,4,1211,0.328381835924756
23,2,5,1211,0.3704546211979242
23,2,6,1211,0.3387225233007999
23,2,7,1211,0.4288241581368013
23,2,8,1211,0.5987241589353629
23,2,9,1211,0.5998624339311664
23,3,0,1207,0.8458792779455717
23,3,1,1207,0.506842634721638
23,3,2,1207,0.3742574982042933
23,3,3,1207,0.0
23,3,4,1207,0.3179230636260705
23,3,5,1207,0.4515106513133365
23,3,6,1207,0.4716394228268678
23,3,7,1207,0.5016629587524433
23,3,8,1207,0.6817321123265105
23,3,9,1207,0.7836348230673874
23,4,0,1179,1.060580389693413
23,4,1,1179,0.5879548545889001
23,4,2,1179,0.4855573902096853
23,4,3,1179,0.384368348590247
23,4,4,1179,0.0
23,4,5,1179,0.391777943115831
23,4,6,1179,0.4476024261982248
23,4,7,1179,0.5762925422032528
23,4,8,1179,0.8023476858653619
23,4,9,1179,0.8732992126718391
23,5,0,1232,1.125928165590755
23,5,1,1232,0.718114744552154
23,5,2,1232,0.5475449742662613
23,5,3,1232,0.5903015271540811
23,5,4,1232,0.4107569400193263
23,5,5,1232,0.0
23,5,6,1232,0.4950105666295417
23,5,7,1232,0.7134384219826799
